file,executable_sorry_count,executable_axiom_count,theorem_count,lemma_count
RA_AQFT_Proofs.lean,7,3,4,3
RA_Proofs_Lean4.lean,1,3,9,8
RA_AQFT_Proofs_v10.lean,1,2,4,5
RA_PACT_conservation_lean.lean,0,1,6,0
RA_D1_Proofs.lean,0,0,67,9
RA_O14_Uniqueness.lean,0,0,50,0
RA_Alpha_EM_Proof.lean,0,0,14,6
RA_BaryonChirality.lean,0,0,12,1
RA_AQFT_Proofs_v2.lean,0,0,10,10
RA_Koide.lean,0,0,7,5
RA_CFC_Port.lean,0,0,5,0
RA_GraphCore.lean,0,0,2,11
RA_AmpLocality.lean,0,0,2,3
RA_Spin2_Macro.lean,0,0,1,1
lakefile.lean,0,0,0,0
RA_AQFT_CFC_Patch.lean,0,0,0,0
lakefile_v1.lean,0,0,0,0
