artifact_id,filename,type,status,artifact_role,path_observed,notes
ART-0028,RA_MotifDynamics_Core.lean,lean,superseded_wrapper,superseded_source,/mnt/data/RA_MotifDynamics_Core.lean,superseded by D1-native family; not active result support
ART-0029,D1_BDG_MCMC_simulation.py,py,uploaded_verified,unlinked_uploaded_candidate,/mnt/data/RA_archive_sources_extracted/D1_BDG_MCMC_simulation.py,uploaded but not cited by registry
ART-0030,Epsilon_Env_Forecast_Memo_v3.md,md,uploaded_verified,paper_or_audit_support,/mnt/data/RA_archive_sources_extracted/Epsilon_Env_Forecast_Memo_v3.md,uploaded but not cited by registry
ART-0031,RAKB_tools_status_v0_3_scaffold.md,md,uploaded_verified,derived_kb_output_or_legacy_registry,/mnt/data/RAKB_v0_4/RAKB_tools_status_v0_3_scaffold.md,uploaded but not cited by registry
ART-0032,RAKB_v0_4_1_dependency_analysis.md,md,uploaded_verified,derived_kb_output_or_legacy_registry,/mnt/data/RAKB_v0_4_1/RAKB_v0_4_1_dependency_analysis.md,uploaded but not cited by registry
ART-0033,RAKB_v0_4_1_hygiene_audit.md,md,uploaded_verified,derived_kb_output_or_legacy_registry,/mnt/data/RAKB_v0_4_1/RAKB_v0_4_1_hygiene_audit.md,uploaded but not cited by registry
ART-0034,RAKB_v0_4_2_dependency_analysis.md,md,uploaded_verified,derived_kb_output_or_legacy_registry,/mnt/data/RAKB_v0_4_2/RAKB_v0_4_2_dependency_analysis.md,uploaded but not cited by registry
ART-0035,RAKB_v0_4_2_source_accountability_audit.md,md,uploaded_verified,derived_kb_output_or_legacy_registry,/mnt/data/RAKB_v0_4_2/RAKB_v0_4_2_source_accountability_audit.md,uploaded but not cited by registry
ART-0036,RAKB_v0_4_3_dependency_analysis.md,md,uploaded_verified,derived_kb_output_or_legacy_registry,/mnt/data/RAKB_v0_4_3/RAKB_v0_4_3_dependency_analysis.md,uploaded but not cited by registry
ART-0037,RAKB_v0_4_3_source_verification_audit.md,md,uploaded_verified,derived_kb_output_or_legacy_registry,/mnt/data/RAKB_v0_4_3/RAKB_v0_4_3_source_verification_audit.md,uploaded but not cited by registry
