path,parse_status,main_guard,top_level_exec_count,top_level_call_count,top_level_calls
data/DFT_Survey/actualization_thermo.py,ok,True,0,0,
data/DFT_Survey/thermo_batch_b3lyp.py,ok,True,0,0,
src/RA_AQFT/D1_BDG_MCMC_simulation.py,ok,True,0,0,
src/RA_AQFT/RA_BDG_Simulation.py,ok,True,0,0,
src/RA_AQFT/RA_D1_Proof.py,ok,False,1,1,256:main
src/RA_AQFT/RA_RASM_Verification.py,ok,False,68,66,34:sec;36:check;38:check;39:check;40:check;41:check;44:check;45:check;46:print;48:sec
src/RA_AQFT/antichain_drift.py,ok,False,44,37,22:seed;26:print;27:print;28:print;34:print;79:print;80:print;117:print;118:print;131:print
src/RA_AQFT/bdg_multicoupling.py,ok,False,43,39,32:seed;221:print;222:print;223:print;225:print;226:print;227:print;228:print;235:print;236:print
src/RA_AQFT/berry_bridge.py,ok,False,50,48,51:print;52:print;53:print;54:print;69:print;109:print;110:print;111:print;112:print;113:print
src/RA_AQFT/berry_computation.py,ok,False,31,26,35:print;36:print;37:print;39:print;130:print;131:print;142:print;143:print;149:print;150:print
src/RA_AQFT/berry_decomposition.py,ok,False,51,39,17:print;18:print;19:print;39:print;40:print;56:print;57:print;73:print;74:print;85:print
src/RA_AQFT/berry_derive_f.py,ok,False,37,30,50:print;51:print;52:print;65:print;66:print;72:print;73:print;74:print;114:print;115:print
src/RA_AQFT/berry_final.py,ok,False,49,43,22:print;23:print;24:print;30:print;31:print;32:print;34:print;81:print;82:print;83:print
src/RA_AQFT/berry_gauge.py,ok,False,58,51,30:print;31:print;32:print;38:print;56:print;59:print;60:print;76:print;77:print;84:print
src/RA_AQFT/berry_theorems.py,ok,False,74,65,32:print;33:print;34:print;40:print;41:print;42:print;44:print;77:print;87:print;88:print
src/RA_AQFT/berry_thinning.py,ok,False,42,38,49:print;50:print;51:print;57:print;103:print;104:print;111:print;112:print;113:print;114:print
src/RA_AQFT/berry_transfer.py,ok,False,76,66,31:print;32:print;33:print;34:print;40:print;92:print;99:print;129:print;130:print;131:print
src/RA_AQFT/born_rule_derivation.py,ok,False,33,30,27:print;28:print;29:print;30:print;37:print;63:print;65:print;94:print;121:print;122:print
src/RA_AQFT/branching_volume.py,ok,False,28,24,102:print;103:print;104:print;155:print;177:print;178:print;179:print;218:print;219:print;220:print
src/RA_AQFT/bullet_cluster.py,ok,False,57,56,30:print;31:print;32:print;45:print;71:print;72:print;73:print;74:print;75:print;76:print
src/RA_AQFT/casimir_benchmark.py,ok,False,34,32,77:print;78:print;79:print;80:print;86:print;99:print;100:print;101:print;105:print;107:print
src/RA_AQFT/cross_dimensional_exclusion.py,ok,False,10,8,65:print;66:print;67:print;69:print;85:print;87:print;110:print;202:print
src/RA_AQFT/d1_BDG_string_tension.py,ok,False,9,9,50:print;51:print;55:print;56:print;65:print;66:print;67:print;68:print;69:print
src/RA_AQFT/d2_two_phases.py,ok,False,33,32,48:print;49:print;50:print;51:print;52:print;53:print;54:print;55:print;56:print;58:print
src/RA_AQFT/d3_alpha_s_BDG.py,ok,False,5,5,15:print;16:print;17:print;18:print;19:print
src/RA_AQFT/d3_alpha_s_proof.py,ok,False,5,2,23:print;24:print
src/RA_AQFT/d3i_complete.py,ok,False,9,9,45:print;46:print;56:print;57:print;62:print;63:print;69:print;70:print;71:print
src/RA_AQFT/d4u02_enumeration.py,ok,True,0,0,
src/RA_AQFT/daughter_universe.py,ok,False,25,22,38:print;39:print;40:print;41:print;47:print;194:print;195:print;196:print;208:print;209:print
src/RA_AQFT/f0_enumeration.py,ok,True,0,0,
src/RA_AQFT/hard_wall_4_summary.py,ok,False,1,1,5:print
src/RA_AQFT/kernel_saturation.py,ok,False,32,28,18:seed;22:print;23:print;24:print;30:print;72:print;73:print;84:print;85:print;117:print
src/RA_AQFT/mu_derivation.py,ok,False,44,41,28:print;29:print;30:print;32:print;51:print;52:print;60:print;61:print;62:print;63:print
src/RA_AQFT/mu_int_derive.py,syntax_error,False,,,"invalid character '—' (U+2014) (<unknown>, line 132)"
src/RA_AQFT/n_eff_alternative.py,ok,False,60,48,22:seed;39:print;40:print;41:print;44:print;49:print;54:print;59:print;68:print;69:print
src/RA_AQFT/n_eff_factorization.py,ok,False,63,59,11:seed;28:print;29:print;30:print;31:print;32:print;55:print;56:print;57:print;64:print
src/RA_AQFT/n_eff_mc_test.py,ok,False,65,61,25:seed;52:print;53:print;54:print;55:print;56:print;57:print;63:print;64:print;65:print
src/RA_AQFT/o14_incidence_algebra.py,ok,False,88,83,60:print;61:print;62:print;64:print;99:print;100:print;101:print;137:print;138:print;173:print
src/RA_AQFT/o14_proof.py,ok,False,73,66,17:print;18:print;19:print;25:print;26:print;27:print;44:print;45:print;48:print;49:print
src/RA_AQFT/pathwise_exit.py,ok,False,24,18,133:print;134:print;135:print;137:print;138:print;139:print;142:print;143:print;156:print;157:print
src/RA_AQFT/qcd_running_proof.py,ok,False,4,4,30:print;31:print;32:print;33:print
src/RA_AQFT/ra_calibration.py,ok,False,14,13,16:print;17:print;18:print;37:print;43:print;44:print;46:print;78:print;80:print;123:print
src/RA_AQFT/ra_dark_energy.py,ok,False,28,25,21:seed;25:print;26:print;27:print;33:print;34:print;53:print;54:print;81:print;82:print
src/RA_AQFT/ra_desi_verify.py,ok,False,42,37,17:print;18:print;19:print;25:print;57:print;58:print;65:print;71:print;72:print;98:print
src/RA_AQFT/ra_early_bh.py,ok,False,34,32,23:seed;27:print;28:print;29:print;35:print;69:print;70:print;72:print;104:print;105:print
src/RA_AQFT/ra_flat_rotation_curve.py,ok,False,14,14,30:print;50:figure;53:plot;54:plot;55:plot;57:title;58:xlabel;59:ylabel;60:ylim;61:xlim
src/RA_AQFT/ra_structure_formation.py,ok,False,37,30,29:seed;33:print;34:print;35:print;41:print;42:print;67:print;68:print;87:print;88:print
src/RA_AQFT/ra_verify_heraclitus.py,ok,False,16,14,57:print;58:print;59:print;68:print;69:print;111:print;112:print;113:print;114:print;120:print
src/RA_AQFT/rho_native.py,ok,False,60,55,39:print;40:print;41:print;42:print;51:print;52:print;53:print;54:print;55:print;56:print
src/RA_AQFT/rindler_relative_entropy.py,ok,False,44,38,47:print;48:print;49:print;50:print;58:print;75:print;77:print;96:print;97:print;125:print
src/RA_AQFT/severed_outdegree.py,ok,False,23,19,20:seed;22:print;23:print;24:print;30:print;31:print;111:print;112:print;123:print;124:print
src/RA_AQFT/sigma_analysis.py,ok,False,11,9,77:print;78:print;79:print;81:print;83:print;122:print;123:print;124:print;154:print
src/RA_AQFT/sigma_table.py,ok,False,50,42,152:print;153:print;154:print;155:print;156:print;158:print;178:print;179:print;180:print;185:print
src/RA_AQFT/t1_forecast_deliverables.py,ok,True,0,0,
src/RA_AQFT/t1_forecast_deliverables_v2.py,ok,True,1,1,24:use
src/RA_AQFT/vwyler_proof.py,ok,False,6,4,9:print;10:print;11:print;12:print
src/RA_Complexity/assembly_mapper.py,ok,True,0,0,
src/ra_audit.py,ok,False,96,96,16:print;17:print;18:print;24:print;34:print;35:print;49:print;50:print;51:print;52:print
