measure,seed,profile,count,pct
parent_subset_uniform,asym_branch,1|2|1|0,177,14.16
parent_subset_uniform,asym_branch,1|2|1|1,74,5.92
parent_subset_uniform,asym_branch,2|2|1|1,73,5.84
parent_subset_uniform,asym_branch,2|1|1|2,65,5.2
parent_subset_uniform,asym_branch,2|1|0|2,62,4.96
parent_subset_uniform,asym_branch,2|2|1|0,58,4.64
parent_subset_uniform,asym_branch,2|2|1|2,40,3.2
parent_subset_uniform,asym_branch,2|3|2|1,37,2.96
parent_subset_uniform,asym_branch,1|1|0|0,36,2.88
parent_subset_uniform,asym_branch,2|1|0|0,34,2.72
parent_subset_uniform,asym_branch,2|2|0|1,31,2.48
parent_subset_uniform,asym_branch,2|3|0|0,30,2.4
parent_subset_uniform,asym_branch,2|2|2|2,27,2.16
parent_subset_uniform,asym_branch,1|3|0|0,26,2.08
parent_subset_uniform,asym_branch,1|3|1|0,24,1.92
closure_uniform,asym_branch,1|2|1|0,92,7.36
closure_uniform,asym_branch,1|1|0|0,79,6.32
closure_uniform,asym_branch,2|1|0|0,75,6.0
closure_uniform,asym_branch,0|0|0|0,55,4.4
closure_uniform,asym_branch,2|2|1|0,49,3.92
closure_uniform,asym_branch,3|2|1|1,38,3.04
closure_uniform,asym_branch,3|1|0|1,37,2.96
closure_uniform,asym_branch,4|2|1|1,34,2.72
closure_uniform,asym_branch,3|2|0|1,29,2.32
closure_uniform,asym_branch,3|1|0|0,28,2.24
closure_uniform,asym_branch,2|2|1|1,28,2.24
closure_uniform,asym_branch,4|1|0|1,27,2.16
closure_uniform,asym_branch,2|1|0|2,27,2.16
closure_uniform,asym_branch,4|1|0|0,21,1.68
closure_uniform,asym_branch,3|3|1|1,19,1.52
profile_uniform,asym_branch,2|1|0|0,80,6.4
profile_uniform,asym_branch,0|0|0|0,75,6.0
profile_uniform,asym_branch,1|2|1|0,71,5.68
profile_uniform,asym_branch,1|1|0|0,69,5.52
profile_uniform,asym_branch,3|1|0|0,43,3.44
profile_uniform,asym_branch,2|2|1|0,40,3.2
profile_uniform,asym_branch,2|2|1|1,28,2.24
profile_uniform,asym_branch,2|1|0|2,23,1.84
profile_uniform,asym_branch,3|1|0|1,22,1.76
profile_uniform,asym_branch,4|1|0|1,22,1.76
profile_uniform,asym_branch,4|1|0|0,21,1.68
profile_uniform,asym_branch,3|0|0|2,18,1.44
profile_uniform,asym_branch,1|3|1|0,18,1.44
profile_uniform,asym_branch,3|1|0|2,17,1.36
profile_uniform,asym_branch,3|2|0|1,16,1.28
