seed,profile,candidate_count,admitted_candidate_count,unique_closure_count,admitted_unique_closure_count
asym_branch,0|0|0|0,500,500,500,500
asym_branch,1|0|0|0,1200,0,1200,0
asym_branch,1|1|0|0,1000,1000,500,500
asym_branch,1|1|1|0,1356,0,339,0
asym_branch,1|1|2|1,133425,0,1690,0
asym_branch,1|1|2|2,1976,0,2,0
asym_branch,1|1|3|0,16461,0,158,0
asym_branch,1|1|3|1,33010,0,174,0
asym_branch,1|1|3|2,5410,0,4,0
asym_branch,1|1|4|1,2964,0,3,0
asym_branch,1|2|0|1,5210,5210,27,27
asym_branch,1|2|1|0,35488,35488,1032,1032
asym_branch,1|2|1|1,91164,91164,520,520
asym_branch,1|2|2|0,70499,0,337,0
asym_branch,1|2|2|1,204485,0,879,0
asym_branch,1|2|2|2,11140,11140,17,17
asym_branch,1|2|3|0,60633,0,248,0
asym_branch,1|2|3|1,91218,0,198,0
asym_branch,1|2|3|2,34654,0,44,0
asym_branch,1|2|4|0,16251,0,30,0
asym_branch,1|2|4|1,22506,0,22,0
asym_branch,1|2|4|2,3588,0,2,0
asym_branch,1|3|0|0,9184,9184,126,126
asym_branch,1|3|0|1,2646,2646,7,7
asym_branch,1|3|1|0,19838,19838,154,154
asym_branch,1|3|1|1,16348,16348,33,33
asym_branch,1|3|2|0,27295,0,103,0
asym_branch,1|3|2|1,19985,19985,29,29
asym_branch,1|3|3|0,12344,0,51,0
asym_branch,1|3|3|1,32574,0,35,0
asym_branch,1|3|4|0,3336,0,4,0
asym_branch,1|3|4|1,21646,0,24,0
asym_branch,1|3|4|2,2325,0,1,0
asym_branch,1|4|1|1,5004,5004,6,6
asym_branch,1|4|2|0,176,176,1,1
asym_branch,2|0|0|0,941,0,941,0
asym_branch,2|0|1|1,348,0,87,0
asym_branch,2|0|1|2,30581,0,1155,0
asym_branch,2|0|1|3,7363,7363,161,161
asym_branch,2|0|2|0,460,0,10,0
asym_branch,2|0|2|1,7394,0,387,0
asym_branch,2|0|2|2,11838,0,288,0
asym_branch,2|0|2|3,8974,0,134,0
asym_branch,2|0|2|4,254,0,1,0
asym_branch,2|0|3|1,418,0,19,0
