seed,run_seed,step_idx,n_vertices,total_parent_subsets,admitted_parent_subsets,unique_closures,admitted_unique_closures,unique_profiles,admitted_unique_profiles,mean_closure_multiplicity,max_closure_multiplicity,mean_adm_closure_multiplicity,max_adm_closure_multiplicity
chain2,1,1,2,4,3,3,2,3,2,1.3333333333,2,1.5000000000,2
chain2,1,2,3,8,3,4,2,4,2,2.0000000000,4,1.5000000000,2
chain2,1,3,4,16,3,6,2,5,2,2.6666666667,4,1.5000000000,2
chain2,1,4,5,31,5,12,3,9,3,2.5833333333,4,1.6666666667,2
chain2,1,5,6,57,9,24,5,13,4,2.3750000000,4,1.8000000000,2
chain2,1,6,7,99,16,47,9,16,5,2.1063829787,4,1.7777777778,2
chain2,1,7,8,163,80,51,13,19,8,3.1960784314,26,6.1538461538,26
chain2,1,8,9,256,80,53,13,21,8,4.8301886792,64,6.1538461538,26
chain2,1,9,10,386,120,74,21,33,13,5.2162162162,64,5.7142857143,26
chain2,1,10,11,562,250,78,23,37,15,7.2051282051,93,10.8695652174,93
chain2,1,11,12,794,306,82,25,41,17,9.6829268293,130,12.2400000000,93
chain2,1,12,13,1093,418,90,29,43,19,12.1444444444,130,14.4137931034,93
chain2,1,13,14,1471,796,94,33,47,23,15.6489361702,232,24.1212121212,232
chain2,1,14,15,1941,796,96,33,49,23,20.2187500000,378,24.1212121212,232
chain2,1,15,16,2517,796,100,33,51,23,25.1700000000,378,24.1212121212,232
chain2,1,16,17,3214,1008,110,37,55,23,29.2181818182,378,27.2432432432,232
chain2,1,17,18,4048,1842,114,41,55,23,35.5087719298,576,44.9268292683,576
chain2,1,18,19,5036,1842,116,41,55,23,43.4137931034,834,44.9268292683,576
chain2,1,19,20,6196,2014,122,43,55,23,50.7868852459,834,46.8372093023,576
chain2,1,20,21,7547,3192,138,53,64,28,54.6884057971,834,60.2264150943,576
chain2,1,21,22,9109,4735,144,58,65,29,63.2569444444,988,81.6379310345,988
chain2,1,22,23,10903,5331,172,73,73,32,63.3895348837,988,73.0273972603,988
chain2,1,23,24,12951,7084,184,78,75,32,70.3858695652,1160,90.8205128205,1160
chain2,1,24,25,15276,8105,227,99,86,40,67.2951541850,1160,81.8686868687,1160
chain2,1,25,26,17902,8384,256,109,91,43,69.9296875000,1160,76.9174311927,1160
chain2,2,1,2,4,3,3,2,3,2,1.3333333333,2,1.5000000000,2
chain2,2,2,3,8,5,6,3,5,3,1.3333333333,2,1.6666666667,2
chain2,2,3,4,16,5,8,3,7,3,2.0000000000,4,1.6666666667,2
chain2,2,4,5,31,13,10,4,9,4,3.1000000000,8,3.2500000000,8
chain2,2,5,6,57,13,12,4,10,4,4.7500000000,15,3.2500000000,8
chain2,2,6,7,99,13,16,4,12,4,6.1875000000,15,3.2500000000,8
chain2,2,7,8,163,19,24,6,14,6,6.7916666667,15,3.1666666667,8
chain2,2,8,9,256,76,41,14,19,8,6.2439024390,15,5.4285714286,11
chain2,2,9,10,386,206,49,22,24,13,7.8775510204,42,9.3636363636,42
chain2,2,10,11,562,206,57,22,28,13,9.8596491228,64,9.3636363636,42
chain2,2,11,12,794,392,69,30,34,19,11.5072463768,64,13.0666666667,64
chain2,2,12,13,1093,515,75,34,40,23,14.5733333333,130,15.1470588235,64
chain2,2,13,14,1471,638,101,40,46,23,14.5643564356,130,15.9500000000,64
chain2,2,14,15,1941,809,107,44,52,27,18.1401869159,232,18.3863636364,79
chain2,2,15,16,2517,1064,141,60,71,36,17.8510638298,232,17.7333333333,79
chain2,2,16,17,3214,1211,173,77,77,37,18.5780346821,232,15.7272727273,79
chain2,2,17,18,4048,1454,185,84,81,38,21.8810810811,378,17.3095238095,106
chain2,2,18,19,5036,1454,189,84,84,38,26.6455026455,697,17.3095238095,106
chain2,2,19,20,6196,2044,264,124,101,47,23.4696969697,697,16.4838709677,106
chain2,2,20,21,7547,3103,292,141,118,58,25.8458904110,697,22.0070921986,299
chain2,2,21,22,9109,3123,320,145,133,60,28.4656250000,697,21.5379310345,299
chain2,2,22,23,10903,3123,328,145,136,60,33.2408536585,1160,21.5379310345,299
chain2,2,23,24,12951,4398,392,193,150,72,33.0382653061,1160,22.7875647668,299
chain2,2,24,25,15276,5465,579,281,175,85,26.3834196891,1160,19.4483985765,299
chain2,2,25,26,17902,6776,841,421,196,97,21.2865636147,1160,16.0950118765,299
chain2,3,1,2,4,3,3,2,3,2,1.3333333333,2,1.5000000000,2
chain2,3,2,3,8,3,4,2,4,2,2.0000000000,4,1.5000000000,2
chain2,3,3,4,16,5,8,3,7,3,2.0000000000,4,1.6666666667,2
chain2,3,4,5,31,13,10,4,9,4,3.1000000000,8,3.2500000000,8
chain2,3,5,6,57,17,16,5,12,5,3.5625000000,8,3.4000000000,8
chain2,3,6,7,99,29,32,9,19,8,3.0937500000,8,3.2222222222,8
chain2,3,7,8,163,93,34,11,21,10,4.7941176471,42,8.4545454545,42
chain2,3,8,9,256,93,35,11,22,10,7.3142857143,93,8.4545454545,42
chain2,3,9,10,386,93,37,11,23,10,10.4324324324,93,8.4545454545,42
chain2,3,10,11,562,167,42,13,26,11,13.3809523810,93,12.8461538462,42
chain2,3,11,12,794,399,44,15,28,13,18.0454545455,176,26.6000000000,176
chain2,3,12,13,1093,399,45,15,29,13,24.2888888889,299,26.6000000000,176
chain2,3,13,14,1471,399,47,15,30,13,31.2978723404,299,26.6000000000,176
chain2,3,14,15,1941,557,52,17,33,14,37.3269230769,299,32.7647058824,176
chain2,3,15,16,2517,650,60,20,35,16,41.9500000000,299,32.5000000000,176
chain2,3,16,17,3214,1347,64,24,36,17,50.2187500000,470,56.1250000000,470
chain2,3,17,18,4048,1866,85,36,43,21,47.6235294118,470,51.8333333333,470
chain2,3,18,19,5036,2649,123,53,50,25,40.9430894309,470,49.9811320755,470
chain2,3,19,20,6196,3357,159,76,60,31,38.9685534591,470,44.1710526316,470
chain2,3,20,21,7547,3357,181,76,63,31,41.6961325967,576,44.1710526316,470
chain2,3,21,22,9109,4081,229,97,70,32,39.7772925764,576,42.0721649485,470
chain2,3,22,23,10903,4292,282,108,74,33,38.6631205674,576,39.7407407407,470
chain2,3,23,24,12951,4546,324,124,81,37,39.9722222222,834,36.6612903226,470
chain2,3,24,25,15276,5308,487,191,82,37,31.3675564682,834,27.7905759162,470
chain2,3,25,26,17902,5886,573,235,89,38,31.2425828970,834,25.0468085106,470
chain2,4,1,2,4,3,3,2,3,2,1.3333333333,2,1.5000000000,2
chain2,4,2,3,8,5,6,3,5,3,1.3333333333,2,1.6666666667,2
chain2,4,3,4,16,5,8,3,7,3,2.0000000000,4,1.6666666667,2
chain2,4,4,5,31,5,12,3,9,3,2.5833333333,4,1.6666666667,2
chain2,4,5,6,57,17,16,5,12,5,3.5625000000,8,3.4000000000,8
chain2,4,6,7,99,17,20,5,14,5,4.9500000000,15,3.4000000000,8
chain2,4,7,8,163,17,28,5,16,5,5.8214285714,15,3.4000000000,8
chain2,4,8,9,256,24,43,8,18,7,5.9534883721,15,3.0000000000,8
chain2,4,9,10,386,103,73,23,23,9,5.2876712329,15,4.4782608696,11
chain2,4,10,11,562,149,115,39,24,9,4.8869565217,15,3.8205128205,11
chain2,4,11,12,794,381,130,54,30,15,6.1076923077,64,7.0555555556,64
chain2,4,12,13,1093,613,156,69,34,15,7.0064102564,64,8.8840579710,64
chain2,4,13,14,1471,692,171,76,41,18,8.6023391813,130,9.1052631579,64
chain2,4,14,15,1941,850,208,94,53,24,9.3317307692,130,9.0425531915,64
chain2,4,15,16,2517,1101,266,128,56,27,9.4624060150,130,8.6015625000,64
chain2,4,16,17,3214,1473,303,155,74,40,10.6072607261,176,9.5032258065,67
chain2,4,17,18,4048,2110,437,243,99,57,9.2631578947,176,8.6831275720,67
chain2,4,18,19,5036,2978,510,296,106,64,9.8745098039,176,10.0608108108,176
chain2,4,19,20,6196,2996,583,300,116,66,10.6277873070,232,9.9866666667,176
chain2,4,20,21,7547,4281,708,410,124,74,10.6596045198,232,10.4414634146,176
chain2,4,21,22,9109,4677,755,425,136,81,12.0649006623,470,11.0047058824,176
chain2,4,22,23,10903,5157,922,495,136,81,11.8253796095,470,10.4181818182,176
chain2,4,23,24,12951,6483,1127,646,144,84,11.4915705413,470,10.0356037152,176
chain2,4,24,25,15276,7382,1334,747,150,87,11.4512743628,470,9.8821954485,176
chain2,4,25,26,17902,8900,1533,892,169,100,11.6777560339,470,9.9775784753,176
chain2,5,1,2,4,3,3,2,3,2,1.3333333333,2,1.5000000000,2
chain2,5,2,3,8,3,4,2,4,2,2.0000000000,4,1.5000000000,2
chain2,5,3,4,16,5,8,3,7,3,2.0000000000,4,1.6666666667,2
chain2,5,4,5,31,13,10,4,9,4,3.1000000000,8,3.2500000000,8
chain2,5,5,6,57,13,12,4,10,4,4.7500000000,15,3.2500000000,8
chain2,5,6,7,99,24,24,7,16,6,4.1250000000,15,3.4285714286,8
chain2,5,7,8,163,29,40,9,22,8,4.0750000000,15,3.2222222222,8
chain2,5,8,9,256,29,55,9,24,8,4.6545454545,15,3.2222222222,8
chain2,5,9,10,386,129,74,21,29,13,5.2162162162,16,6.1428571429,16
chain2,5,10,11,562,175,82,25,34,15,6.8536585366,64,7.0000000000,29
chain2,5,11,12,794,259,126,38,38,17,6.3015873016,64,6.8157894737,29
chain2,5,12,13,1093,259,134,38,42,17,8.1567164179,130,6.8157894737,29
chain2,5,13,14,1471,338,146,42,45,20,10.0753424658,130,8.0476190476,56
chain2,5,14,15,1941,539,216,72,53,24,8.9861111111,130,7.4861111111,56
chain2,5,15,16,2517,965,263,100,65,31,9.5703422053,130,9.6500000000,67
chain2,5,16,17,3214,1149,311,111,69,31,10.3344051447,130,10.3513513514,67
chain2,5,17,18,4048,1349,326,116,73,32,12.4171779141,378,11.6293103448,92
chain2,5,18,19,5036,2021,428,159,87,37,11.7663551402,378,12.7106918239,92
chain2,5,19,20,6196,2839,443,162,88,38,13.9864559819,576,17.5246913580,576
chain2,5,20,21,7547,3347,491,185,89,38,15.3706720978,576,18.0918918919,576
chain2,5,21,22,9109,4547,524,202,92,41,17.3835877863,576,22.5099009901,576
chain2,5,22,23,10903,4758,557,209,96,41,19.5745062837,697,22.7655502392,576
chain2,5,23,24,12951,6519,586,230,101,43,22.1006825939,834,28.3434782609,834
chain2,5,24,25,15276,6519,615,230,104,43,24.8390243902,988,28.3434782609,834
chain2,5,25,26,17902,8079,700,272,113,50,25.5742857143,988,29.7022058824,834
chain2,6,1,2,4,3,3,2,3,2,1.3333333333,2,1.5000000000,2
chain2,6,2,3,8,3,4,2,4,2,2.0000000000,4,1.5000000000,2
chain2,6,3,4,16,3,6,2,5,2,2.6666666667,4,1.5000000000,2
chain2,6,4,5,31,5,12,3,9,3,2.5833333333,4,1.6666666667,2
chain2,6,5,6,57,17,16,5,12,5,3.5625000000,8,3.4000000000,8
chain2,6,6,7,99,59,17,6,13,6,5.8235294118,42,9.8333333333,42
chain2,6,7,8,163,59,18,6,14,6,9.0555555556,64,9.8333333333,42
chain2,6,8,9,256,81,24,7,18,7,10.6666666667,64,11.5714285714,42
chain2,6,9,10,386,118,26,8,20,8,14.8461538462,93,14.7500000000,42
chain2,6,10,11,562,155,30,9,21,8,18.7333333333,93,17.2222222222,42
chain2,6,11,12,794,387,32,11,23,10,24.8125000000,176,35.1818181818,176
chain2,6,12,13,1093,686,35,14,24,11,31.2285714286,176,49.0000000000,176
chain2,6,13,14,1471,985,41,17,27,11,35.8780487805,176,57.9411764706,176
chain2,6,14,15,1941,1307,62,28,35,13,31.3064516129,176,46.6785714286,176
chain2,6,15,16,2517,1505,68,32,40,17,37.0147058824,299,47.0312500000,176
chain2,6,16,17,3214,2006,96,47,46,23,33.4791666667,299,42.6808510638,176
chain2,6,17,18,4048,2462,124,71,59,34,32.6451612903,299,34.6760563380,176
chain2,6,18,19,5036,3025,170,103,64,37,29.6235294118,299,29.3689320388,176
chain2,6,19,20,6196,3696,217,126,68,38,28.5529953917,299,29.3333333333,176
chain2,6,20,21,7547,4511,273,162,75,42,27.6446886447,299,27.8456790123,176
chain2,6,21,22,9109,5667,334,192,94,54,27.2724550898,378,29.5156250000,378
chain2,6,22,23,10903,6453,432,240,102,58,25.2384259259,378,26.8875000000,378
chain2,6,23,24,12951,6896,494,262,136,73,26.2165991903,576,26.3206106870,378
