seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,mu_depth,mu_v4,mu_mle
chain2,1,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,1,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,1,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,1,4,6,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,1,5,7,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,1,6,8,4,1,0,0,5,6,4,2.5000000000,1.8312368960,1.4702785181
chain2,1,7,9,2,3,1,1,7,18,4,2.3333333333,2.1488813703,2.1338144785
chain2,1,8,10,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,1,9,11,3,2,1,1,7,8,4,2.6666666667,2.1488813703,2.0785553499
chain2,1,10,12,1,3,2,1,7,3,3,2.2500000000,2.1488813703,2.2364152990
chain2,1,11,13,1,3,2,1,7,3,4,2.2500000000,2.1488813703,2.2364152990
chain2,1,12,14,2,1,1,2,6,8,4,2.2000000000,2.0000000000,2.1338144785
chain2,1,13,15,2,2,1,1,6,9,4,2.1666666667,2.0000000000,2.0202072359
chain2,1,14,16,2,2,1,1,6,9,4,2.1666666667,2.0000000000,2.0202072359
chain2,1,15,17,1,2,1,1,5,10,3,2.0000000000,1.8312368960,1.9583417612
chain2,1,16,18,2,1,1,2,6,8,4,2.1428571429,2.0000000000,2.1338144785
chain2,1,17,19,2,2,1,1,6,9,4,2.1250000000,2.0000000000,2.0202072359
chain2,1,18,20,1,2,1,1,5,10,4,2.0000000000,1.8312368960,1.9583417612
chain2,1,19,21,2,1,1,2,6,8,4,2.1428571429,2.0000000000,2.1338144785
chain2,1,20,22,2,1,0,2,5,24,4,2.0000000000,1.8312368960,1.9583417612
chain2,1,21,23,1,2,1,1,5,10,4,2.0000000000,1.8312368960,1.9583417612
chain2,1,22,24,2,1,1,2,6,8,4,2.1111111111,2.0000000000,2.1338144785
chain2,1,23,25,1,2,1,1,5,10,4,2.0000000000,1.8312368960,1.9583417612
chain2,1,24,26,1,2,1,0,4,2,4,1.9000000000,1.6354633478,1.6627514257
chain2,1,25,27,1,2,1,1,5,10,4,2.0000000000,1.8312368960,1.9583417612
chain2,2,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,2,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,2,3,5,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,2,4,6,1,2,1,0,4,2,2,1.3333333333,1.6354633478,1.6627514257
chain2,2,5,7,1,2,1,0,4,2,2,1.3333333333,1.6354633478,1.6627514257
chain2,2,6,8,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,2,7,9,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,2,8,10,2,1,0,2,5,24,3,1.5000000000,1.8312368960,1.9583417612
chain2,2,9,11,1,2,1,0,4,2,3,1.4000000000,1.6354633478,1.6627514257
chain2,2,10,12,3,1,0,1,5,15,4,1.7500000000,1.8312368960,1.7456210551
chain2,2,11,13,2,3,0,1,6,34,3,1.8000000000,2.0000000000,1.9583417612
chain2,2,12,14,1,2,1,0,4,2,4,1.4000000000,1.6354633478,1.6627514257
chain2,2,13,15,3,2,0,2,7,32,4,1.8333333333,2.1488813703,2.1338144785
chain2,2,14,16,1,3,1,0,5,11,4,1.6000000000,1.8312368960,1.8218071621
chain2,2,15,17,2,2,0,2,6,33,4,1.6666666667,2.0000000000,2.0785553499
chain2,2,16,18,2,3,1,1,7,18,4,1.8571428571,2.1488813703,2.1338144785
chain2,2,17,19,2,3,2,1,8,2,4,2.0000000000,2.2824720047,2.2842970862
chain2,2,18,20,2,2,0,1,5,25,2,1.6000000000,1.8312368960,1.8218071621
chain2,2,19,21,4,1,0,1,6,14,4,2.0000000000,2.0000000000,1.8218071621
chain2,2,20,22,1,4,1,0,6,20,3,1.8571428571,2.0000000000,1.9583417612
chain2,2,21,23,2,3,1,2,8,26,3,2.1111111111,2.2824720047,2.3301921157
chain2,2,22,24,2,3,1,0,6,10,4,2.0000000000,2.0000000000,1.8924299483
chain2,2,23,25,2,2,0,1,5,25,4,1.6000000000,1.8312368960,1.8218071621
chain2,2,24,26,3,2,0,1,6,24,4,1.8000000000,2.0000000000,1.8924299483
