artifact_id,filename,type,status,supports_results,path_observed,notes
ART-0001,D4U02_analytic_proof.md,md,uploaded_verified,RA-D4-001;RA-D4-002,/mnt/data/RA_archive_sources_extracted/D4U02_analytic_proof.md,cited source artifact
ART-0002,RA_BDG_LLC_Kernel.lean,lean,uploaded_verified,RA-GRAV-006,/mnt/data/RA_BDG_LLC_Kernel.lean,cited source artifact
ART-0003,RA_CausalOrientation_Core.lean,lean,uploaded_compiles_user_verified,RA-MOTIF-008,/mnt/data/RA_CausalOrientation_Core.lean,cited source artifact
ART-0004,RA_D1_NativeClosure_v1.lean,lean,uploaded_compiles_user_verified,RA-MOTIF-002;RA-MOTIF-004,/mnt/data/RA_D1_NativeClosure_v1.lean,cited source artifact
ART-0005,RA_D1_NativeConfinement_v1.lean,lean,uploaded_compiles_user_verified,RA-MOTIF-003;RA-MOTIF-007,/mnt/data/RA_D1_NativeConfinement_v1.lean,cited source artifact
ART-0006,RA_D1_NativeKernel_v1.lean,lean,uploaded_compiles_user_verified,RA-MOTIF-002,/mnt/data/RA_D1_NativeKernel_v1.lean,cited source artifact
ART-0007,RA_D1_NativeLedgerOrientation_v1.lean,lean,uploaded_compiles_user_verified,RA-MOTIF-005;RA-MOTIF-006;RA-MOTIF-008,/mnt/data/RA_D1_NativeLedgerOrientation_v1.lean,cited source artifact
ART-0008,RA_GraphCore_Native.lean,lean,uploaded_compiles_user_verified,RA-LLC-001;RA-COMP-003;RA-OPEN-006,/mnt/data/RA_GraphCore_Native.lean,cited source artifact
ART-0009,RA_KvalRatio.lean,lean,uploaded_verified,RA-ARITH-003,/mnt/data/RA_KvalRatio.lean,cited source artifact
ART-0010,RA_O01_KernelLocality_v2.lean,lean,uploaded_verified,RA-KERNEL-002,/mnt/data/RA_O01_KernelLocality_v2.lean,cited source artifact
ART-0011,RA_O14_ArithmeticCore_v1.lean,lean,uploaded_verified,RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,/mnt/data/RA_O14_ArithmeticCore_v1.lean,cited source artifact
ART-0012,antichain_drift.py,py,uploaded_verified,RA-GRAV-007,/mnt/data/RA_archive_sources_extracted/antichain_drift.py,cited source artifact
ART-0013,bullet_cluster.py,py,uploaded_unverified_exploratory,RA-PRED-006,/mnt/data/RA_archive_sources_extracted/bullet_cluster.py,cited source artifact
ART-0014,d3_alpha_s_proof.py,py,uploaded_verified,RA-ARITH-004,/mnt/data/RA_archive_sources_extracted/d3_alpha_s_proof.py,cited source artifact
ART-0015,d4u02_enumeration.py,py,uploaded_verified,RA-D4-001;RA-ARITH-005,/mnt/data/RA_archive_sources_extracted/d4u02_enumeration.py,cited source artifact
ART-0016,daughter_universe.py,py,uploaded_unverified_exploratory,RA-OPEN-005;RA-PRED-007,/mnt/data/RA_archive_sources_extracted/daughter_universe.py,cited source artifact
ART-0017,f0_enumeration.py,py,uploaded_verified,RA-ARITH-006;RA-PRED-004,/mnt/data/RA_archive_sources_extracted/f0_enumeration.py,cited source artifact
ART-0018,kernel_saturation.py,py,uploaded_verified,RA-GRAV-001;RA-GRAV-002;RA-GRAV-003,/mnt/data/RA_archive_sources_extracted/kernel_saturation.py,cited source artifact
ART-0019,mu_derivation.py,py,uploaded_verified,RA-ARITH-005,/mnt/data/RA_archive_sources_extracted/mu_derivation.py,cited source artifact
ART-0020,qcd_running_proof.py,py,uploaded_unverified_exploratory,RA-NONTARGET-002;RA-PRED-004,/mnt/data/RA_archive_sources_extracted/qcd_running_proof.py,cited source artifact
ART-0021,ra_calibration.py,py,uploaded_unverified_exploratory,RA-PRED-005,/mnt/data/RA_archive_sources_extracted/ra_calibration.py,cited source artifact
ART-0022,ra_dark_energy.py,py,uploaded_unverified_exploratory,RA-OPEN-004;RA-PRED-005,/mnt/data/RA_archive_sources_extracted/ra_dark_energy.py,cited source artifact
ART-0023,ra_desi_verify.py,py,uploaded_unverified_exploratory,RA-OPEN-004;RA-PRED-005,/mnt/data/RA_archive_sources_extracted/ra_desi_verify.py,cited source artifact
ART-0024,ra_flat_rotation_curve.py,py,uploaded_unverified_exploratory,RA-PRED-006,/mnt/data/RA_archive_sources_extracted/ra_flat_rotation_curve.py,cited source artifact
ART-0025,sigma_analysis.py,py,uploaded_unverified_exploratory,RA-ARCH-001,/mnt/data/RA_archive_sources_extracted/sigma_analysis.py,cited source artifact
ART-0026,sigma_table.py,py,uploaded_unverified_exploratory,RA-ARCH-001,/mnt/data/RA_archive_sources_extracted/sigma_table.py,cited source artifact
ART-0027,vwyler_proof.py,py,uploaded_verified,RA-ARITH-004,/mnt/data/RA_archive_sources_extracted/vwyler_proof.py,cited source artifact
