step_idx,n_rows,total_parent_subsets,admitted_parent_subsets,unique_closures,admitted_unique_closures,unique_profiles,admitted_unique_profiles,mean_closure_multiplicity,mean_adm_closure_multiplicity,max_adm_closure_multiplicity,admitted_subset_per_admitted_closure
1,80,13.0,8.0,5.25,2.75,4.75,2.75,2.371428571425,2.729166666675,5.5,2.909090909090909
2,80,25.25,12.4875,7.575,3.3625,6.1,3.05,3.33456845238,3.3583035714325,6.8125,3.713754646840149
3,80,46.75,19.1625,10.7,4.025,7.75,3.45,4.4847605519525,4.2439285714325,8.5625,4.760869565217392
4,80,82.0,36.0,15.2125,5.4875,9.7625,4.275,5.793475207386249,6.1109970238099995,14.7375,6.5603644646924835
5,80,136.5,66.5,20.225,7.475,11.8,5.4125,7.483937776502501,8.6171415043325,25.675,8.896321070234114
6,80,216.75,102.4625,25.425,9.55,13.9875,6.325,9.64195523774875,10.787058047479999,35.15,10.729057591623036
7,80,330.25,155.675,30.525,11.725,16.4875,7.5625,12.29902582668875,13.450502823567499,46.2875,13.2771855010661
8,80,485.5,234.175,37.0875,14.8875,19.175,8.9625,14.859081293918749,16.428554766352498,60.475,15.729638958858104
9,80,692.0,339.6,45.7375,19.4375,22.675,10.775,17.08322780077,18.83663711841625,77.9,17.47138263665595
10,80,960.25,466.9625,53.4875,23.0125,25.6375,12.0875,20.56611496102,22.366316377058748,107.9375,20.29168929929386
11,80,1301.75,623.375,62.5875,27.4125,29.2625,13.95,23.69340097087875,25.257545308873752,128.8125,22.740538075695394
12,80,1729.0,816.425,76.975,34.4625,33.9,16.2625,25.8269532344225,27.06247085204,137.275,23.690243017772943
13,80,2255.5,1032.3875,91.55,41.1375,38.95,18.8,28.263843994063752,28.5802147765775,168.65,25.0960194469766
14,80,2895.75,1294.725,111.8,50.475,44.8125,21.6625,29.879347556993753,29.381516219922496,191.3875,25.65081723625557
15,80,3665.25,1653.7625,139.15,63.65,51.7625,25.4125,30.88263199512,30.235306435477497,206.85,25.982128829536528
16,80,4580.5,2059.95,171.55,79.8125,60.075,29.425,31.0360217326375,30.005884887078746,221.0,25.809866875489426
17,80,5659.0,2523.8,204.375,96.125,67.35,33.3125,32.25473459023,30.6810602407675,251.6,26.2553966189857
18,80,6919.25,3064.825,250.8,120.1875,76.725,38.2125,32.47630776525125,30.0553574348675,266.925,25.50036401456058
19,80,8380.75,3683.75,305.35,147.3125,85.0625,42.6125,32.73783084624875,29.862269258472498,301.275,25.006364022061945
20,80,10064.0,4456.075,366.5625,178.65,94.9625,47.3875,32.67256061327125,29.9297203613325,378.0875,24.94304506017352
21,80,11990.5,5276.35,416.275,203.4,105.05,52.7875,34.413600319273755,31.031904882520003,467.7625,25.940757128810226
22,80,14182.75,6163.4875,508.0375,247.95,115.775,58.05,33.71764883710875,29.98951671186,501.6625,24.857783827384555
23,80,16664.25,7255.9625,595.3,292.2875,127.5125,63.95,33.65608395553875,29.997093255928753,619.1375,24.824744472480003
24,80,19459.5,8462.1,712.2875,351.75,140.15,70.6875,32.599626296960004,28.8525821518425,651.0125,24.057142857142857
25,80,22594.0,9577.925,850.3875,419.3125,151.7625,76.575,32.17747597381625,27.6098091632475,676.4125,22.84197346847518
