seed,profile,candidate_count,admitted_candidate_count,unique_closure_count,admitted_unique_closure_count,adm_candidate_per_adm_closure
chain4,1|4|1|1,8106,8106,6,6,1351.0
chain4,1|3|2|2,4053,4053,3,3,1351.0
sym_branch,1|4|2|0,6814,6814,7,7,973.4285714285714
chain4,1|2|0|1,9174,9174,11,11,834.0
asym_branch,1|4|1|1,5004,5004,6,6,834.0
sym_branch,1|3|2|1,56020,56020,77,77,727.5324675324675
chain4,1|2|2|2,30868,30868,44,44,701.5454545454545
asym_branch,1|3|2|1,19985,19985,29,29,689.1379310344828
asym_branch,1|2|2|2,11140,11140,17,17,655.2941176470588
chain4,1|3|1|1,19379,19379,32,32,605.59375
chain2,1|2|2|2,19671,19671,34,34,578.5588235294117
chain4,1|4|2|1,2880,2880,5,5,576.0
asym_branch,1|3|1|1,16348,16348,33,33,495.3939393939394
chain4,1|4|1|0,3290,3290,7,7,470.0
chain4,1|3|2|1,22704,22704,49,49,463.3469387755102
sym_branch,1|3|1|1,11142,11142,29,29,384.2068965517241
asym_branch,1|3|0|1,2646,2646,7,7,378.0
sym_branch,1|2|2|2,7358,7358,20,20,367.9
asym_branch,2|5|2|1,352,352,1,1,352.0
chain4,1|2|1|1,36085,36085,112,112,322.1875
chain4,1|4|2|0,299,299,1,1,299.0
sym_branch,2|3|1|3,277,277,1,1,277.0
asym_branch,2|2|3|4,554,554,2,2,277.0
chain2,1|3|1|1,4545,4545,17,17,267.3529411764706
chain2,2|4|3|2,254,254,1,1,254.0
chain4,2|5|2|2,254,254,1,1,254.0
chain4,2|5|3|1,1758,1758,7,7,251.14285714285714
chain2,1|2|1|1,72840,72840,292,292,249.45205479452054
sym_branch,2|5|1|1,1205,1205,5,5,241.0
sym_branch,1|2|1|0,14255,14255,60,60,237.58333333333334
chain2,1|3|2|1,23120,23120,99,99,233.53535353535352
asym_branch,2|3|3|3,464,464,2,2,232.0
chain4,1|3|0|0,2552,2552,11,11,232.0
asym_branch,2|4|3|2,1266,1266,6,6,211.0
sym_branch,2|3|2|3,1899,1899,9,9,211.0
chain4,2|4|1|3,422,422,2,2,211.0
asym_branch,2|4|2|2,2954,2954,14,14,211.0
asym_branch,1|2|0|1,5210,5210,27,27,192.96296296296296
chain2,2|5|1|1,764,764,4,4,191.0
asym_branch,2|6|1|0,382,382,2,2,191.0
asym_branch,2|1|1|4,573,573,3,3,191.0
sym_branch,2|4|2|2,1324,1324,7,7,189.14285714285714
sym_branch,1|2|1|1,84159,84159,450,450,187.02
sym_branch,2|5|2|1,2775,2775,15,15,185.0
sym_branch,2|4|2|1,4810,4810,26,26,185.0
chain4,2|5|1|1,3049,3049,17,17,179.35294117647058
sym_branch,2|4|1|2,2826,2826,16,16,176.625
asym_branch,1|4|2|0,176,176,1,1,176.0
sym_branch,1|3|0|1,10032,10032,57,57,176.0
asym_branch,1|2|1|1,91164,91164,520,520,175.3153846153846
