path,lineno,scope,value,context
src/RA_AQFT/D1_BDG_MCMC_simulation.py,25,,9,"c = [1, -1, 9, -16, 8]   # c0..c4"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,25,,16,"c = [1, -1, 9, -16, 8]   # c0..c4"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,25,,8,"c = [1, -1, 9, -16, 8]   # c0..c4"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,29,,0.332,"Lambda_QCD = 0.332       # GeV (PDG Λ_QCD^{MS-bar}, n_f=3)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,30,,0.938272,m_p        = 0.938272    # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,31,,91.1876,m_Z        = 91.1876     # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,32,,80.379,m_W        = 80.379      # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,33,,137.036,alpha_EM   = 1/137.036
src/RA_AQFT/D1_BDG_MCMC_simulation.py,34,,127.9,alpha_EM_mZ = 1/127.9
src/RA_AQFT/D1_BDG_MCMC_simulation.py,35,,0.23122,sin2_tW    = 0.23122     # at m_Z
src/RA_AQFT/D1_BDG_MCMC_simulation.py,36,,1.1663788e-05,GF_PDG     = 1.1663788e-5  # GeV^{-2}
src/RA_AQFT/D1_BDG_MCMC_simulation.py,37,,0.311,alpha_s_2mp = 0.311      # FLAG 2021
src/RA_AQFT/D1_BDG_MCMC_simulation.py,48,compute_bdg_statistics,500000,"def compute_bdg_statistics(mu, n_samples=500000, rng=None):"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,51,compute_bdg_statistics,42,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,53,compute_bdg_statistics,5,"lams = [lam_k(mu, k) for k in range(1, 5)]"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,57,compute_bdg_statistics,2,"N3 = rng.poisson(lams[2], n_samples)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,58,compute_bdg_statistics,3,"N4 = rng.poisson(lams[3], n_samples)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,82,run_phase_diagram,42,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,84,run_phase_diagram,0.001,"mu_values = [0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.5,"
