measure,seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,orig_parent_size,frontier_parent_size,n_admitted_parent_subsets,n_admitted_unique_closures,n_admitted_unique_profiles,mu_v4
parent_subset_uniform,asym_branch,1,1,5,2,1,0,0,3,8,3,3,2,13,4,4,1.4006773518
parent_subset_uniform,asym_branch,1,2,6,1,2,1,0,4,2,3,3,1,21,5,4,1.6354633478
parent_subset_uniform,asym_branch,1,3,7,1,2,1,0,4,2,1,1,1,32,6,5,1.6354633478
parent_subset_uniform,asym_branch,1,4,8,1,1,0,0,2,9,1,1,1,59,8,6,1.1041475573
parent_subset_uniform,asym_branch,1,5,9,1,2,1,0,4,2,2,2,1,75,11,8,1.6354633478
parent_subset_uniform,asym_branch,1,6,10,3,2,0,0,5,16,4,4,3,113,15,8,1.8312368960
parent_subset_uniform,asym_branch,1,7,11,2,3,1,1,7,18,4,4,2,150,16,9,2.1488813703
parent_subset_uniform,asym_branch,1,8,12,1,2,1,0,4,2,2,2,1,150,16,9,1.6354633478
parent_subset_uniform,asym_branch,1,9,13,2,3,1,1,7,18,4,4,2,256,24,10,2.1488813703
parent_subset_uniform,asym_branch,1,10,14,2,1,0,2,5,24,3,3,2,256,24,10,1.8312368960
parent_subset_uniform,asym_branch,1,11,15,2,1,0,2,5,24,4,4,2,405,32,16,1.8312368960
parent_subset_uniform,asym_branch,1,12,16,2,3,1,1,7,18,4,4,2,638,49,23,2.1488813703
parent_subset_uniform,asym_branch,1,13,17,2,2,0,0,4,17,4,4,2,664,54,25,1.6354633478
parent_subset_uniform,asym_branch,1,14,18,3,2,0,1,6,24,4,4,3,958,76,39,2.0000000000
parent_subset_uniform,asym_branch,1,15,19,2,2,1,0,5,1,4,4,2,1451,91,47,1.8312368960
parent_subset_uniform,asym_branch,1,16,20,3,3,1,3,10,33,4,4,3,1890,123,55,2.5154334638
parent_subset_uniform,asym_branch,1,17,21,2,2,0,0,4,17,4,4,2,2353,130,60,1.6354633478
parent_subset_uniform,asym_branch,1,18,22,3,0,1,3,7,6,4,4,3,3098,193,67,2.1488813703
parent_subset_uniform,asym_branch,1,19,23,2,4,0,1,7,43,4,4,2,4660,230,80,2.1488813703
parent_subset_uniform,asym_branch,1,20,24,2,3,1,3,9,34,4,4,2,4892,232,82,2.4039086666
parent_subset_uniform,asym_branch,1,21,25,2,3,1,3,9,34,4,4,2,5124,234,84,2.4039086666
parent_subset_uniform,asym_branch,1,22,26,3,3,0,0,6,25,4,4,3,5356,236,84,2.0000000000
parent_subset_uniform,asym_branch,1,23,27,2,4,2,2,10,19,4,4,2,6647,299,101,2.5154334638
parent_subset_uniform,asym_branch,1,24,28,1,3,0,1,5,35,4,4,1,7227,304,105,1.8312368960
parent_subset_uniform,asym_branch,1,25,29,2,3,1,3,9,34,4,4,2,7448,328,114,2.4039086666
parent_subset_uniform,asym_branch,2,1,5,0,0,0,0,0,1,0,0,0,13,4,4,0.0000000000
parent_subset_uniform,asym_branch,2,2,6,2,2,1,0,5,1,3,3,2,24,7,6,1.8312368960
parent_subset_uniform,asym_branch,2,3,7,2,2,1,0,5,1,3,3,2,24,7,6,1.8312368960
parent_subset_uniform,asym_branch,2,4,8,1,2,1,0,4,2,2,2,1,24,7,6,1.6354633478
parent_subset_uniform,asym_branch,2,5,9,2,1,1,2,6,8,3,3,2,56,9,7,2.0000000000
parent_subset_uniform,asym_branch,2,6,10,2,1,1,2,6,8,3,3,2,149,11,9,2.0000000000
parent_subset_uniform,asym_branch,2,7,11,1,2,1,0,4,2,4,4,1,242,13,9,1.6354633478
parent_subset_uniform,asym_branch,2,8,12,2,2,1,0,5,1,3,3,2,360,21,11,1.8312368960
parent_subset_uniform,asym_branch,2,9,13,1,2,1,1,5,10,3,3,1,416,23,13,1.8312368960
parent_subset_uniform,asym_branch,2,10,14,3,1,0,2,6,23,4,4,3,528,29,17,2.0000000000
parent_subset_uniform,asym_branch,2,11,15,2,2,0,2,6,33,4,4,2,906,33,21,2.0000000000
parent_subset_uniform,asym_branch,2,12,16,1,2,1,1,5,10,4,4,1,1077,37,21,1.8312368960
parent_subset_uniform,asym_branch,2,13,17,3,1,0,2,6,23,4,4,3,1281,49,27,2.0000000000
parent_subset_uniform,asym_branch,2,14,18,2,1,0,2,5,24,4,4,2,1714,57,31,1.8312368960
parent_subset_uniform,asym_branch,2,15,19,2,2,0,1,5,25,4,4,2,2378,78,40,1.8312368960
parent_subset_uniform,asym_branch,2,16,20,3,4,1,0,8,18,4,4,3,3015,111,45,2.2824720047
parent_subset_uniform,asym_branch,2,17,21,2,2,0,2,6,33,4,4,2,3033,112,46,2.0000000000
parent_subset_uniform,asym_branch,2,18,22,2,4,0,1,7,43,2,2,2,3576,147,50,2.1488813703
parent_subset_uniform,asym_branch,2,19,23,2,1,0,2,5,24,4,4,2,3904,159,57,1.8312368960
parent_subset_uniform,asym_branch,2,20,24,1,3,1,0,5,11,3,3,1,4867,235,66,1.8312368960
parent_subset_uniform,asym_branch,2,21,25,2,2,1,1,6,9,4,4,2,5786,317,74,2.0000000000
parent_subset_uniform,asym_branch,2,22,26,2,2,1,1,6,9,4,4,2,7226,412,84,2.0000000000
parent_subset_uniform,asym_branch,2,23,27,2,2,1,2,7,17,4,4,2,8450,500,89,2.1488813703
parent_subset_uniform,asym_branch,2,24,28,2,3,1,1,7,18,4,4,2,9652,569,93,2.1488813703
parent_subset_uniform,asym_branch,2,25,29,2,2,0,2,6,33,4,4,2,10836,635,98,2.0000000000
parent_subset_uniform,asym_branch,3,1,5,1,2,1,0,4,2,2,2,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,3,2,6,1,1,0,0,2,9,1,1,1,13,4,4,1.1041475573
parent_subset_uniform,asym_branch,3,3,7,1,2,1,0,4,2,3,3,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,3,4,8,1,1,0,0,2,9,1,1,1,13,4,4,1.1041475573
parent_subset_uniform,asym_branch,3,5,9,0,0,0,0,0,1,0,0,0,17,5,5,0.0000000000
parent_subset_uniform,asym_branch,3,6,10,3,1,0,1,5,15,4,4,3,29,9,8,1.8312368960
parent_subset_uniform,asym_branch,3,7,11,2,3,1,0,6,10,3,3,2,159,17,14,2.0000000000
parent_subset_uniform,asym_branch,3,8,12,1,3,1,0,5,11,4,4,1,159,17,14,1.8312368960
parent_subset_uniform,asym_branch,3,9,13,1,3,1,0,5,11,3,3,1,215,21,17,1.8312368960
parent_subset_uniform,asym_branch,3,10,14,3,1,1,2,7,7,4,4,3,319,30,19,2.1488813703
parent_subset_uniform,asym_branch,3,11,15,2,1,1,3,7,16,4,4,2,697,34,22,2.1488813703
parent_subset_uniform,asym_branch,3,12,16,2,2,1,1,6,9,4,4,2,1052,39,23,2.0000000000
parent_subset_uniform,asym_branch,3,13,17,2,2,1,0,5,1,4,4,2,1158,43,24,1.8312368960
parent_subset_uniform,asym_branch,3,14,18,2,1,1,3,7,16,4,4,2,1370,47,28,2.1488813703
parent_subset_uniform,asym_branch,3,15,19,1,3,1,1,6,19,4,4,1,2059,66,30,2.0000000000
parent_subset_uniform,asym_branch,3,16,20,2,2,1,2,7,17,4,4,2,2454,82,33,2.1488813703
parent_subset_uniform,asym_branch,3,17,21,2,2,1,2,7,17,4,4,2,2917,92,36,2.1488813703
parent_subset_uniform,asym_branch,3,18,22,2,3,1,0,6,10,4,4,2,2917,92,36,2.0000000000
parent_subset_uniform,asym_branch,3,19,23,1,3,1,1,6,19,3,3,1,3283,99,38,2.0000000000
parent_subset_uniform,asym_branch,3,20,24,2,2,1,0,5,1,4,4,2,4066,139,39,1.8312368960
parent_subset_uniform,asym_branch,3,21,25,2,2,1,2,7,17,4,4,2,4871,182,49,2.1488813703
parent_subset_uniform,asym_branch,3,22,26,3,1,1,2,7,7,4,4,3,5147,185,49,2.1488813703
parent_subset_uniform,asym_branch,3,23,27,1,3,1,1,6,19,3,3,1,6913,223,61,2.0000000000
parent_subset_uniform,asym_branch,3,24,28,4,2,0,1,7,23,4,4,4,8064,323,65,2.1488813703
parent_subset_uniform,asym_branch,3,25,29,4,4,2,0,10,1,4,4,4,10312,458,79,2.5154334638
parent_subset_uniform,asym_branch,4,1,5,1,1,0,0,2,9,1,1,1,13,4,4,1.1041475573
parent_subset_uniform,asym_branch,4,2,6,1,1,0,0,2,9,2,2,1,13,4,4,1.1041475573
parent_subset_uniform,asym_branch,4,3,7,1,2,1,0,4,2,3,3,1,17,5,5,1.6354633478
parent_subset_uniform,asym_branch,4,4,8,3,1,0,1,5,15,4,4,3,17,5,5,1.8312368960
parent_subset_uniform,asym_branch,4,5,9,1,3,1,0,5,11,4,4,1,81,7,7,1.8312368960
