measure,seed,profile,count,pct
parent_subset_uniform,asym_branch,1|2|1|0,177,14.1600000000
parent_subset_uniform,asym_branch,1|2|1|1,74,5.9200000000
parent_subset_uniform,asym_branch,2|2|1|1,73,5.8400000000
parent_subset_uniform,asym_branch,2|1|1|2,65,5.2000000000
parent_subset_uniform,asym_branch,2|1|0|2,62,4.9600000000
parent_subset_uniform,asym_branch,2|2|1|0,58,4.6400000000
parent_subset_uniform,asym_branch,2|2|1|2,40,3.2000000000
parent_subset_uniform,asym_branch,2|3|2|1,37,2.9600000000
parent_subset_uniform,asym_branch,1|1|0|0,36,2.8800000000
parent_subset_uniform,asym_branch,2|1|0|0,34,2.7200000000
parent_subset_uniform,asym_branch,2|2|0|1,31,2.4800000000
parent_subset_uniform,asym_branch,2|3|0|0,30,2.4000000000
parent_subset_uniform,asym_branch,2|2|2|2,27,2.1600000000
parent_subset_uniform,asym_branch,1|3|0|0,26,2.0800000000
parent_subset_uniform,asym_branch,1|3|1|0,24,1.9200000000
parent_subset_uniform,asym_branch,2|2|0|2,24,1.9200000000
parent_subset_uniform,asym_branch,2|3|1|1,23,1.8400000000
parent_subset_uniform,asym_branch,0|0|0|0,19,1.5200000000
parent_subset_uniform,asym_branch,3|0|0|1,19,1.5200000000
parent_subset_uniform,asym_branch,2|3|1|0,17,1.3600000000
parent_subset_uniform,asym_branch,3|2|0|1,17,1.3600000000
parent_subset_uniform,asym_branch,3|1|0|1,16,1.2800000000
parent_subset_uniform,asym_branch,2|2|0|0,15,1.2000000000
parent_subset_uniform,asym_branch,3|2|1|2,15,1.2000000000
parent_subset_uniform,asym_branch,2|1|1|3,13,1.0400000000
parent_subset_uniform,asym_branch,1|3|2|1,13,1.0400000000
parent_subset_uniform,asym_branch,1|3|1|1,12,0.9600000000
parent_subset_uniform,asym_branch,3|2|1|1,10,0.8000000000
parent_subset_uniform,asym_branch,2|3|1|2,10,0.8000000000
parent_subset_uniform,asym_branch,3|2|0|0,9,0.7200000000
parent_subset_uniform,asym_branch,1|2|2|2,9,0.7200000000
parent_subset_uniform,asym_branch,3|3|1|1,9,0.7200000000
parent_subset_uniform,asym_branch,3|1|0|2,8,0.6400000000
parent_subset_uniform,asym_branch,2|3|0|1,8,0.6400000000
parent_subset_uniform,asym_branch,2|0|1|3,8,0.6400000000
parent_subset_uniform,asym_branch,2|3|0|2,8,0.6400000000
parent_subset_uniform,asym_branch,2|3|1|3,8,0.6400000000
parent_subset_uniform,asym_branch,2|4|0|0,7,0.5600000000
parent_subset_uniform,asym_branch,2|4|1|0,7,0.5600000000
parent_subset_uniform,asym_branch,1|3|0|1,7,0.5600000000
parent_subset_uniform,asym_branch,2|3|2|2,7,0.5600000000
parent_subset_uniform,asym_branch,3|1|1|2,7,0.5600000000
parent_subset_uniform,asym_branch,3|3|0|0,6,0.4800000000
parent_subset_uniform,asym_branch,2|4|1|1,6,0.4800000000
