site,depth,parents,candidate_past_size,hasse_frontier_support_cut,introduced_conflict,ready_count,committed_count,blocked_count,committed_motifs,blocked_ready_motifs
1,1,[0],1,[0],False,2,2,0,"[""genesis_seed"", ""renewal_1""]",[]
2,2,[1],2,[1],False,3,3,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2""]",[]
3,3,[2],3,[2],True,6,4,2,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3""]","[""choice_A_3"", ""choice_B_3""]"
4,4,[3],4,[3],False,7,5,2,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4""]","[""choice_A_3"", ""choice_B_3""]"
5,5,[4],5,[4],True,10,6,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5""]","[""choice_A_3"", ""choice_B_3"", ""choice_A_5"", ""choice_B_5""]"
6,6,[5],6,[5],False,11,7,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6""]","[""choice_A_3"", ""choice_B_3"", ""choice_A_5"", ""choice_B_5""]"
7,7,[6],7,[6],False,12,8,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7""]","[""choice_A_3"", ""choice_B_3"", ""choice_A_5"", ""choice_B_5""]"
8,8,[7],8,[7],False,13,9,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8""]","[""choice_A_3"", ""choice_B_3"", ""choice_A_5"", ""choice_B_5""]"
9,9,[8],9,[8],False,14,10,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9""]","[""choice_A_3"", ""choice_B_3"", ""choice_A_5"", ""choice_B_5""]"
10,10,[9],10,[9],False,15,11,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10""]","[""choice_A_3"", ""choice_B_3"", ""choice_A_5"", ""choice_B_5""]"
