site,depth,parents,candidate_past_size,hasse_frontier_support_cut,support_width,introduced_conflict,ready_count,supported_count,unsupported_count,committed_count,blocked_count,committed_motifs,blocked_ready_motifs,unsupported_motifs,support_failure_histogram
1,1,[0],1,[0],1,True,4,4,0,2,2,"[""genesis_seed"", ""renewal_1""]","[""choice_A_1"", ""choice_B_1""]",[],{}
2,2,[1],2,[1],1,True,7,7,0,3,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
3,3,[2],3,[2],1,False,8,8,0,4,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
4,4,[3],4,[3],1,False,9,9,0,5,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
5,5,[4],5,[4],1,False,10,10,0,6,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
6,6,"[3, 5]",6,[5],1,False,11,11,0,7,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
7,7,"[2, 6]",7,[6],1,False,12,12,0,8,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
8,8,[7],8,[7],1,False,13,13,0,9,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
9,9,"[3, 8]",9,[8],1,False,14,14,0,10,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
10,10,"[4, 9]",10,[9],1,False,15,15,0,11,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
11,11,[10],11,[10],1,False,16,16,0,12,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]",[],{}
12,12,[11],12,[11],1,True,17,17,2,13,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
13,13,[12],13,[12],1,False,18,18,2,14,4,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
