seed,steps,nodes,edges,motifs,conflict_rate,defect_rate,max_support_width,max_depth_span,sites,total_committed,total_blocked,total_unsupported,mean_support_width,last_site
11,32,33,45,33,0.0,0.0,,,32,560,0,0,1.0,32
17,32,33,41,33,0.0,0.0,,,32,560,0,0,1.0,32
23,32,33,46,33,0.0,0.0,,,32,560,0,0,1.0,32
31,32,33,41,33,0.0,0.0,,,32,560,0,0,1.0,32
11,32,33,46,33,0.0,0.1,,,32,527,0,33,1.0,32
17,32,33,37,33,0.0,0.1,,,32,537,0,23,1.0,32
23,32,33,44,33,0.0,0.1,,,32,501,0,59,1.0,32
31,32,33,44,33,0.0,0.1,,,32,530,0,30,1.0,32
11,32,33,46,33,0.0,0.25,,,32,499,0,61,1.0,32
17,32,33,43,33,0.0,0.25,,,32,531,0,29,1.0,32
23,32,33,44,33,0.0,0.25,,,32,467,0,93,1.0,32
31,32,33,43,33,0.0,0.25,,,32,518,0,42,1.0,32
11,32,33,45,45,0.15,0.0,,,32,560,258,0,1.0,32
17,32,33,41,41,0.15,0.0,,,32,560,142,0,1.0,32
23,32,33,46,49,0.15,0.0,,,32,560,220,0,1.0,32
31,32,33,41,41,0.15,0.0,,,32,560,158,0,1.0,32
11,32,33,42,47,0.15,0.1,,,32,540,172,28,1.0,32
17,32,33,41,37,0.15,0.1,,,32,585,8,25,1.0,32
23,32,33,43,45,0.15,0.1,,,32,528,198,32,1.0,32
31,32,33,44,37,0.15,0.1,,,32,530,118,30,1.0,32
11,32,33,40,47,0.15,0.25,,,32,568,18,142,1.0,32
17,32,33,43,37,0.15,0.25,,,32,531,46,29,1.0,32
23,32,33,43,45,0.15,0.25,,,32,451,180,127,1.0,32
31,32,33,43,37,0.15,0.25,,,32,518,118,42,1.0,32
11,32,33,45,55,0.3,0.0,,,32,560,354,0,1.0,32
17,32,33,41,45,0.3,0.0,,,32,560,244,0,1.0,32
23,32,33,46,63,0.3,0.0,,,32,560,486,0,1.0,32
31,32,33,41,45,0.3,0.0,,,32,560,228,0,1.0,32
11,32,33,44,57,0.3,0.1,,,32,540,314,30,1.0,32
17,32,33,41,49,0.3,0.1,,,32,560,230,42,1.0,32
23,32,33,42,51,0.3,0.1,,,32,561,248,65,1.0,32
31,32,33,43,65,0.3,0.1,,,32,541,438,41,1.0,32
11,32,33,43,57,0.3,0.25,,,32,618,58,250,1.0,32
17,32,33,42,53,0.3,0.25,,,32,559,272,103,1.0,32
23,32,33,43,51,0.3,0.25,,,32,513,180,133,1.0,32
31,32,33,43,59,0.3,0.25,,,32,579,308,121,1.0,32
11,32,33,45,73,0.5,0.0,,,32,560,596,0,1.0,32
17,32,33,41,61,0.5,0.0,,,32,560,404,0,1.0,32
23,32,33,46,71,0.5,0.0,,,32,560,634,0,1.0,32
31,32,33,41,59,0.5,0.0,,,32,560,438,0,1.0,32
11,32,33,44,61,0.5,0.1,,,32,540,400,20,1.0,32
17,32,33,43,57,0.5,0.1,,,32,548,364,38,1.0,32
23,32,33,44,69,0.5,0.1,,,32,617,388,165,1.0,32
31,32,33,43,73,0.5,0.1,,,32,634,494,74,1.0,32
11,32,33,41,69,0.5,0.25,,,32,683,200,309,1.0,32
17,32,33,43,67,0.5,0.25,,,32,552,410,96,1.0,32
23,32,33,45,67,0.5,0.25,,,32,605,244,267,1.0,32
31,32,33,44,65,0.5,0.25,,,32,678,206,130,1.0,32
