seed,steps,nodes,edges,motifs,conflict_rate,defect_rate,selector_mode,selector_tie_policy,max_support_width,max_depth_span,sites,total_strict_committed,total_strict_blocked,total_selector_committed,total_selector_rejected,total_selector_stalemates,total_unsupported,mean_support_width,last_site
11,24,25,33,25,0.0,0.0,none,lexicographic,,,24,324,0,324,0,0,0,1.0,24
17,24,25,32,25,0.0,0.0,none,lexicographic,,,24,324,0,324,0,0,0,1.0,24
11,24,25,33,25,0.0,0.1,none,lexicographic,,,24,307,0,307,0,0,17,1.0,24
17,24,25,26,25,0.0,0.1,none,lexicographic,,,24,309,0,309,0,0,15,1.0,24
11,24,25,33,43,0.3,0.0,none,lexicographic,,,24,324,196,324,0,0,0,1.0,24
17,24,25,32,37,0.3,0.0,none,lexicographic,,,24,324,148,324,0,0,0,1.0,24
11,24,25,34,39,0.3,0.1,none,lexicographic,,,24,312,162,312,0,0,12,1.0,24
17,24,25,31,37,0.3,0.1,none,lexicographic,,,24,324,136,324,0,0,26,1.0,24
11,24,25,33,25,0.0,0.0,none,stalemate,,,24,324,0,324,0,0,0,1.0,24
17,24,25,32,25,0.0,0.0,none,stalemate,,,24,324,0,324,0,0,0,1.0,24
11,24,25,33,25,0.0,0.1,none,stalemate,,,24,307,0,307,0,0,17,1.0,24
17,24,25,26,25,0.0,0.1,none,stalemate,,,24,309,0,309,0,0,15,1.0,24
11,24,25,33,43,0.3,0.0,none,stalemate,,,24,324,196,324,0,0,0,1.0,24
17,24,25,32,37,0.3,0.0,none,stalemate,,,24,324,148,324,0,0,0,1.0,24
11,24,25,34,39,0.3,0.1,none,stalemate,,,24,312,162,312,0,0,12,1.0,24
17,24,25,31,37,0.3,0.1,none,stalemate,,,24,324,136,324,0,0,26,1.0,24
11,24,25,33,25,0.0,0.0,greedy,lexicographic,,,24,324,0,324,0,0,0,1.0,24
17,24,25,32,25,0.0,0.0,greedy,lexicographic,,,24,324,0,324,0,0,0,1.0,24
11,24,25,33,25,0.0,0.1,greedy,lexicographic,,,24,307,0,307,0,0,17,1.0,24
17,24,25,26,25,0.0,0.1,greedy,lexicographic,,,24,309,0,309,0,0,15,1.0,24
11,24,25,33,43,0.3,0.0,greedy,lexicographic,,,24,324,196,422,98,0,0,1.0,24
17,24,25,32,37,0.3,0.0,greedy,lexicographic,,,24,324,148,398,74,0,0,1.0,24
11,24,25,34,39,0.3,0.1,greedy,lexicographic,,,24,312,162,393,81,0,12,1.0,24
17,24,25,31,37,0.3,0.1,greedy,lexicographic,,,24,324,136,392,68,0,26,1.0,24
11,24,25,33,25,0.0,0.0,greedy,stalemate,,,24,324,0,324,0,0,0,1.0,24
17,24,25,32,25,0.0,0.0,greedy,stalemate,,,24,324,0,324,0,0,0,1.0,24
11,24,25,33,25,0.0,0.1,greedy,stalemate,,,24,307,0,307,0,0,17,1.0,24
17,24,25,26,25,0.0,0.1,greedy,stalemate,,,24,309,0,309,0,0,15,1.0,24
11,24,25,33,43,0.3,0.0,greedy,stalemate,,,24,324,196,324,0,196,0,1.0,24
17,24,25,32,37,0.3,0.0,greedy,stalemate,,,24,324,148,324,0,148,0,1.0,24
11,24,25,34,39,0.3,0.1,greedy,stalemate,,,24,312,162,312,0,162,12,1.0,24
17,24,25,31,37,0.3,0.1,greedy,stalemate,,,24,324,136,324,0,136,26,1.0,24
