motif_a,motif_b,conflict_reason,conflict_holds,site
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,8
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,9
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,10
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,10
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,11
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,11
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,12
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,12
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,13
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,13
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,14
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,14
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,15
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,15
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,16
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,16
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,17
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,17
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,18
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,18
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,19
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,19
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,20
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,20
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,21
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,21
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,22
choice_A_22,choice_B_22,shared_orientation_conflict_domain:orientation_choice_at_22,True,22
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,22
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,23
choice_A_22,choice_B_22,shared_orientation_conflict_domain:orientation_choice_at_22,True,23
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,23
choice_A_10,choice_B_10,shared_orientation_conflict_domain:orientation_choice_at_10,True,24
choice_A_22,choice_B_22,shared_orientation_conflict_domain:orientation_choice_at_22,True,24
choice_A_8,choice_B_8,shared_orientation_conflict_domain:orientation_choice_at_8,True,24
