motif,candidate_past,support_cut,frontier_sufficient_for_motif,local_ledger_compatible,carrier_represented_by_frontier,selector_compatible,no_extra_random_labels,no_particle_label_primitives,qN1_signature,local_conserved,sign_links,sign_link_count,orientation_witness_declared,site
genesis_seed,[],[],True,True,True,True,True,True,7,True,[],0,True,1
renewal_1,[0],[0],True,True,True,True,True,True,7,True,"[{""dst"": 1, ""sign"": 1, ""src"": 0}]",1,True,1
genesis_seed,[],[],True,True,True,True,True,True,7,True,[],0,True,2
renewal_1,[0],[0],True,True,True,True,True,True,7,True,"[{""dst"": 1, ""sign"": 1, ""src"": 0}]",1,True,2
renewal_2,"[0, 1]",[1],True,True,True,True,True,True,7,True,"[{""dst"": 2, ""sign"": -1, ""src"": 1}]",1,True,2
genesis_seed,[],[],True,True,True,True,True,True,7,True,[],0,True,3
renewal_1,[0],[0],True,True,True,True,True,True,7,True,"[{""dst"": 1, ""sign"": 1, ""src"": 0}]",1,True,3
renewal_2,"[0, 1]",[1],True,True,True,True,True,True,7,True,"[{""dst"": 2, ""sign"": -1, ""src"": 1}]",1,True,3
renewal_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,3
choice_A_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,3
choice_B_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,3
genesis_seed,[],[],True,True,True,True,True,True,7,True,[],0,True,4
renewal_1,[0],[0],True,True,True,True,True,True,7,True,"[{""dst"": 1, ""sign"": 1, ""src"": 0}]",1,True,4
renewal_2,"[0, 1]",[1],True,True,True,True,True,True,7,True,"[{""dst"": 2, ""sign"": -1, ""src"": 1}]",1,True,4
renewal_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,4
choice_A_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,4
choice_B_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,4
renewal_4,"[0, 1, 2, 3]",[3],True,True,True,True,True,False,7,True,"[{""dst"": 4, ""sign"": 1, ""src"": 3}]",1,True,4
genesis_seed,[],[],True,True,True,True,True,True,7,True,[],0,True,5
renewal_1,[0],[0],True,True,True,True,True,True,7,True,"[{""dst"": 1, ""sign"": 1, ""src"": 0}]",1,True,5
renewal_2,"[0, 1]",[1],True,True,True,True,True,True,7,True,"[{""dst"": 2, ""sign"": -1, ""src"": 1}]",1,True,5
renewal_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,5
choice_A_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,5
choice_B_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,5
renewal_4,"[0, 1, 2, 3]",[3],True,True,True,True,True,False,7,True,"[{""dst"": 4, ""sign"": 1, ""src"": 3}]",1,True,5
renewal_5,"[0, 1, 2, 3, 4]",[4],True,True,True,True,True,True,7,True,"[{""dst"": 5, ""sign"": 1, ""src"": 4}]",1,True,5
choice_A_5,"[0, 1, 2, 3, 4]",[4],True,True,True,True,True,True,7,True,"[{""dst"": 5, ""sign"": -1, ""src"": 4}]",1,True,5
choice_B_5,"[0, 1, 2, 3, 4]",[4],True,True,True,True,False,True,7,True,"[{""dst"": 5, ""sign"": 1, ""src"": 4}]",1,True,5
genesis_seed,[],[],True,True,True,True,True,True,7,True,[],0,True,6
renewal_1,[0],[0],True,True,True,True,True,True,7,True,"[{""dst"": 1, ""sign"": 1, ""src"": 0}]",1,True,6
renewal_2,"[0, 1]",[1],True,True,True,True,True,True,7,True,"[{""dst"": 2, ""sign"": -1, ""src"": 1}]",1,True,6
renewal_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,6
choice_A_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,6
choice_B_3,"[0, 1, 2]",[2],True,True,True,True,True,True,7,True,"[{""dst"": 3, ""sign"": -1, ""src"": 2}]",1,True,6
renewal_4,"[0, 1, 2, 3]",[3],True,True,True,True,True,False,7,True,"[{""dst"": 4, ""sign"": 1, ""src"": 3}]",1,True,6
renewal_5,"[0, 1, 2, 3, 4]",[4],True,True,True,True,True,True,7,True,"[{""dst"": 5, ""sign"": 1, ""src"": 4}]",1,True,6
choice_A_5,"[0, 1, 2, 3, 4]",[4],True,True,True,True,True,True,7,True,"[{""dst"": 5, ""sign"": -1, ""src"": 4}]",1,True,6
