motif,site,mode,severity,seed,support_width,before_supported,before_ready,before_strict_commits,before_selected_commits,after_supported,after_ready,after_strict_commits,after_selected_commits,lost_support,lost_readiness,lost_strict_commit,lost_selected_commit,finality_depth_before,finality_depth_after,finality_depth_shift,recovery_length,intervention_detail,run_seed,nodes,edges,motifs,target_count
renewal_9,9,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,8,,,,dropped_support_vertices=[8],34,17,24,29,12
renewal_8,8,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,7,,,,dropped_support_vertices=[7],34,17,24,29,12
renewal_7,7,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,6,,,,dropped_support_vertices=[6],34,17,24,29,12
renewal_6,6,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,5,,,,dropped_support_vertices=[5],34,17,24,29,12
renewal_5,5,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,4,,,,dropped_support_vertices=[4],34,17,24,29,12
renewal_4,4,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,3,,,,dropped_support_vertices=[3],34,17,24,29,12
renewal_3,3,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,2,,,,dropped_support_vertices=[2],34,17,24,29,12
renewal_2,2,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,1,,,,dropped_support_vertices=[1],34,17,24,29,12
renewal_1,1,frontier_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,0,,,,dropped_support_vertices=[0],34,17,24,29,12
renewal_12,12,frontier_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,11,,,,dropped_support_vertices=[11],34,17,24,29,12
renewal_11,11,frontier_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,10,,,,dropped_support_vertices=[10],34,17,24,29,12
renewal_10,10,frontier_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,9,,,,dropped_support_vertices=[9],34,17,24,29,12
renewal_9,9,frontier_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,8,,,,dropped_support_vertices=[8],34,17,24,29,12
