mode,severity,support_width,samples,lost_support_rate,lost_readiness_rate,lost_strict_commit_rate,lost_selected_commit_rate,mean_recovery_length,mean_finality_depth_shift
edge_dropout,0.0,1,480,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.25,1,480,0.952083,0.952083,0.952083,0.952083,0.570526,-1.525066
edge_dropout,0.5,1,480,0.975,0.975,0.975,0.975,0.596154,-2.015924
edge_dropout,0.75,1,480,0.975,0.975,0.975,0.975,0.220779,-1.471111
edge_dropout,1.0,1,480,0.975,0.975,0.975,0.975,0.0,0.739726
frontier_dropout,0.0,1,480,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.25,1,480,0.975,0.975,0.975,0.975,,
frontier_dropout,0.5,1,480,0.975,0.975,0.975,0.975,,
frontier_dropout,0.75,1,480,0.975,0.975,0.975,0.975,,
frontier_dropout,1.0,1,480,0.975,0.975,0.975,0.975,,
ledger_failure,0.0,1,480,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.25,1,480,0.975,0.975,0.975,0.975,0.0,0.0
ledger_failure,0.5,1,480,0.975,0.975,0.975,0.975,0.0,0.0
ledger_failure,0.75,1,480,0.975,0.975,0.975,0.975,0.0,0.0
ledger_failure,1.0,1,480,0.975,0.975,0.975,0.975,0.0,0.0
orientation_degradation,0.0,1,480,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.25,1,480,0.975,0.975,0.975,0.975,0.0,0.0
orientation_degradation,0.5,1,480,0.975,0.975,0.975,0.975,0.0,0.0
orientation_degradation,0.75,1,480,0.975,0.975,0.975,0.975,0.0,0.0
orientation_degradation,1.0,1,480,0.975,0.975,0.975,0.975,0.0,0.0
selector_stress,0.0,1,480,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,1,480,0.0,0.0,0.975,0.0,0.0,0.0
selector_stress,0.5,1,480,0.0,0.0,0.975,0.0,0.0,0.0
selector_stress,0.75,1,480,0.0,0.0,0.975,0.0,0.0,0.0
selector_stress,1.0,1,480,0.0,0.0,0.975,0.0,0.0,0.0
support_delay,0.0,1,480,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.25,1,480,0.0,0.975,0.975,0.975,1.0,1.0
support_delay,0.5,1,480,0.0,0.975,0.975,0.975,2.0,2.0
support_delay,0.75,1,480,0.0,0.975,0.975,0.975,4.0,4.0
support_delay,1.0,1,480,0.0,0.975,0.975,0.975,5.0,5.0
