run_seed,samples,nodes,edges,motifs,target_count,support_loss_rate,readiness_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate,mean_finality_depth_shift,mean_recovery_length
17,1200,33,48,55,20,0.533333,0.666667,0.8,0.666667,0.336694,0.55352
18,1200,33,40,51,20,0.479167,0.599167,0.719167,0.599167,0.153209,0.510125
19,1200,33,44,53,20,0.506667,0.633333,0.76,0.633333,0.144615,0.513983
20,1200,33,44,57,20,0.5325,0.665833,0.799167,0.665833,0.215805,0.541506
21,1200,33,41,45,20,0.531667,0.665,0.798333,0.665,0.204334,0.529469
22,1200,33,43,45,20,0.506667,0.633333,0.76,0.633333,0.06422,0.566891
23,1200,33,42,53,20,0.5325,0.665833,0.799167,0.665833,0.073022,0.53913
24,1200,33,42,59,20,0.533333,0.666667,0.8,0.666667,0.274872,0.539055
25,1200,33,42,43,20,0.533333,0.666667,0.8,0.666667,0.354806,0.517408
26,1200,33,37,53,20,0.506667,0.633333,0.76,0.633333,0.116667,0.499519
27,1200,33,39,61,20,0.506667,0.633333,0.76,0.633333,0.188406,0.504836
28,1200,33,40,61,20,0.506667,0.633333,0.76,0.633333,0.196891,0.524131
29,1200,33,43,53,20,0.506667,0.633333,0.76,0.633333,0.291793,0.510125
30,1200,33,41,47,20,0.453333,0.566667,0.68,0.566667,0.092324,0.525
31,1200,33,43,53,20,0.533333,0.666667,0.8,0.666667,0.304928,0.553846
32,1200,33,43,57,20,0.533333,0.666667,0.8,0.666667,0.266461,0.534167
33,1200,33,41,55,20,0.531667,0.665,0.798333,0.665,0.323829,0.520309
34,1200,33,44,51,20,0.531667,0.665,0.798333,0.665,0.167179,0.573088
35,1200,33,43,55,20,0.505,0.631667,0.758333,0.631667,0.192073,0.547206
36,1200,33,41,49,20,0.533333,0.666667,0.8,0.666667,0.223942,0.529923
37,1200,33,39,53,20,0.533333,0.666667,0.8,0.666667,0.144033,0.551923
38,1200,33,41,55,20,0.533333,0.666667,0.8,0.666667,0.288911,0.511583
39,1200,33,43,45,20,0.506667,0.633333,0.76,0.633333,0.399181,0.526519
40,1200,33,42,55,20,0.506667,0.633333,0.76,0.633333,0.17418,0.529865
41,1200,33,38,49,20,0.533333,0.666667,0.8,0.666667,0.004158,0.510106
42,1200,33,38,57,20,0.533333,0.666667,0.8,0.666667,0.156153,0.509143
43,1200,33,44,59,20,0.533333,0.666667,0.8,0.666667,0.366053,0.545367
44,1200,33,47,63,20,0.5325,0.665833,0.799167,0.665833,0.309091,0.553417
45,1200,33,42,57,20,0.505,0.631667,0.758333,0.631667,0.152821,0.507707
46,1200,33,42,49,20,0.48,0.6,0.72,0.6,0.166497,0.521195
47,1200,33,37,47,20,0.533333,0.666667,0.8,0.666667,0.080997,0.520733
48,1200,33,42,53,20,0.506667,0.633333,0.76,0.633333,0.27477,0.548698
49,1200,33,41,53,20,0.533333,0.666667,0.8,0.666667,0.118182,0.532243
50,1200,33,41,51,20,0.5325,0.665833,0.799167,0.665833,0.275051,0.52657
51,1200,33,40,39,20,0.533333,0.666667,0.8,0.666667,0.271414,0.540385
52,1200,33,39,57,20,0.533333,0.666667,0.8,0.666667,0.167868,0.516876
53,1200,33,40,49,20,0.533333,0.666667,0.8,0.666667,0.242828,0.525505
54,1200,33,41,43,20,0.506667,0.633333,0.76,0.633333,0.252308,0.522201
55,1200,33,40,51,20,0.533333,0.666667,0.8,0.666667,0.219107,0.555556
56,1200,33,40,55,20,0.533333,0.666667,0.8,0.666667,0.232271,0.516876
57,1200,33,43,51,20,0.506667,0.633333,0.76,0.633333,0.172802,0.505304
58,1200,33,41,57,20,0.504167,0.630833,0.7575,0.630833,0.114943,0.526012
59,1200,33,40,51,20,0.506667,0.633333,0.76,0.633333,0.217842,0.529865
60,1200,33,40,45,20,0.506667,0.633333,0.76,0.633333,0.287037,0.518269
61,1200,33,46,57,20,0.505833,0.6325,0.759167,0.6325,0.254601,0.532305
62,1200,33,48,43,20,0.48,0.6,0.72,0.6,0.174349,0.52743
63,1200,33,45,51,20,0.5325,0.665833,0.799167,0.665833,-0.014257,0.511154
64,1200,33,42,53,20,0.533333,0.666667,0.8,0.666667,0.227835,0.52027
65,1200,33,49,59,20,0.531667,0.665,0.798333,0.665,0.213779,0.572806
66,1200,33,42,45,20,0.506667,0.633333,0.76,0.633333,0.27459,0.537572
67,1200,33,41,51,20,0.506667,0.633333,0.76,0.633333,0.121926,0.52358
68,1200,33,43,53,20,0.533333,0.666667,0.8,0.666667,0.151731,0.517806
69,1200,33,42,53,20,0.533333,0.666667,0.8,0.666667,0.212744,0.540385
70,1200,33,42,53,20,0.506667,0.633333,0.76,0.633333,0.265979,0.569082
71,1200,33,40,47,20,0.506667,0.633333,0.76,0.633333,0.197544,0.533269
72,1200,33,37,59,20,0.506667,0.633333,0.76,0.633333,0.232848,0.51784
73,1200,33,50,53,20,0.53,0.663333,0.796667,0.663333,0.156942,0.547642
