mode,severity,support_width,samples,lost_support_rate,lost_readiness_rate,lost_strict_commit_rate,lost_selected_commit_rate,mean_recovery_length,mean_finality_depth_shift
edge_dropout,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.5,1,4,1.0,1.0,1.0,1.0,0.75,2.5
edge_dropout,1.0,1,4,1.0,1.0,1.0,1.0,0.0,2.5
frontier_dropout,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.5,1,4,1.0,1.0,1.0,1.0,,
frontier_dropout,1.0,1,4,1.0,1.0,1.0,1.0,,
ledger_failure,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.5,1,4,1.0,1.0,1.0,1.0,0.0,0.0
ledger_failure,1.0,1,4,1.0,1.0,1.0,1.0,0.0,0.0
orientation_degradation,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.5,1,4,1.0,1.0,1.0,1.0,0.0,0.0
orientation_degradation,1.0,1,4,1.0,1.0,1.0,1.0,0.0,0.0
selector_stress,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.5,1,4,0.0,0.0,1.0,0.0,0.0,0.0
selector_stress,1.0,1,4,0.0,0.0,1.0,0.0,0.0,0.0
support_delay,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.5,1,4,0.0,1.0,1.0,1.0,2.0,2.0
support_delay,1.0,1,4,0.0,1.0,1.0,1.0,5.0,5.0
