mode,severity,samples,mean_support_width,support_loss_rate,readiness_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate
edge_dropout,0.0,4,1.0,0.0,0.0,0.0,0.0
edge_dropout,0.5,4,1.0,1.0,1.0,1.0,1.0
edge_dropout,1.0,4,1.0,1.0,1.0,1.0,1.0
frontier_dropout,0.0,4,1.0,0.0,0.0,0.0,0.0
frontier_dropout,0.5,4,1.0,1.0,1.0,1.0,1.0
frontier_dropout,1.0,4,1.0,1.0,1.0,1.0,1.0
ledger_failure,0.0,4,1.0,0.0,0.0,0.0,0.0
ledger_failure,0.5,4,1.0,1.0,1.0,1.0,1.0
ledger_failure,1.0,4,1.0,1.0,1.0,1.0,1.0
orientation_degradation,0.0,4,1.0,0.0,0.0,0.0,0.0
orientation_degradation,0.5,4,1.0,1.0,1.0,1.0,1.0
orientation_degradation,1.0,4,1.0,1.0,1.0,1.0,1.0
selector_stress,0.0,4,1.0,0.0,0.0,0.0,0.0
selector_stress,0.5,4,1.0,0.0,0.0,1.0,0.0
selector_stress,1.0,4,1.0,0.0,0.0,1.0,0.0
support_delay,0.0,4,1.0,0.0,0.0,0.0,0.0
support_delay,0.5,4,1.0,0.0,1.0,1.0,1.0
support_delay,1.0,4,1.0,0.0,1.0,1.0,1.0
