motif,site,mode,severity,seed,support_width,before_supported,before_causally_ready,before_operationally_ready,before_strict_commits,before_selected_commits,after_supported,after_causally_ready,after_support_available,after_operationally_ready,after_strict_commits,after_selected_commits,lost_support_certification,lost_causal_reachability,lost_support_availability,lost_operational_readiness,lost_strict_commit,lost_selected_commit,ledger_gate_loss,orientation_gate_loss,selector_stress_loss,finality_depth_before,finality_depth_after,finality_depth_shift,recovery_length,affected_support_vertices,affected_edge_count,added_competitors,intervention_detail,run_seed,nodes,edges,motifs,target_count,support_width_classes_in_seed
renewal_3,3,frontier_dropout,0.75,101,1,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,4,,,,[1],0,0,unavailable_support_vertices=[1],34,33,47,51,12,"[1, 2, 3, 4]"
renewal_22,22,frontier_dropout,0.75,101,4,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,6,,,,"[17, 19, 21]",0,0,"unavailable_support_vertices=[17, 19, 21]",34,33,47,51,12,"[1, 2, 3, 4]"
renewal_28,28,frontier_dropout,0.75,101,3,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,,"[23, 24, 27]",0,0,"unavailable_support_vertices=[23, 24, 27]",34,33,47,51,12,"[1, 2, 3, 4]"
renewal_27,27,frontier_dropout,0.75,101,2,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,,"[4, 25]",0,0,"unavailable_support_vertices=[4, 25]",34,33,47,51,12,"[1, 2, 3, 4]"
renewal_2,2,frontier_dropout,0.75,101,1,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,4,,,,[1],0,0,unavailable_support_vertices=[1],34,33,47,51,12,"[1, 2, 3, 4]"
renewal_20,20,frontier_dropout,0.75,101,4,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,6,,,,"[2, 6, 10]",0,0,"unavailable_support_vertices=[2, 6, 10]",34,33,47,51,12,"[1, 2, 3, 4]"
renewal_21,21,frontier_dropout,0.75,101,3,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,6,,,,"[8, 16, 20]",0,0,"unavailable_support_vertices=[8, 16, 20]",34,33,47,51,12,"[1, 2, 3, 4]"
renewal_14,14,frontier_dropout,0.75,101,2,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,5,,,,"[3, 12]",0,0,"unavailable_support_vertices=[3, 12]",34,33,47,51,12,"[1, 2, 3, 4]"
renewal_1,1,frontier_dropout,0.75,101,1,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,0,,,,[0],0,0,unavailable_support_vertices=[0],34,33,47,51,12,"[1, 2, 3, 4]"
renewal_5,5,frontier_dropout,0.5,101,1,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,0,,,,[0],0,0,unavailable_support_vertices=[0],34,33,47,51,12,"[1, 2, 3, 4]"
renewal_4,4,frontier_dropout,0.5,101,1,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,4,,,,[1],0,0,unavailable_support_vertices=[1],34,33,47,51,12,"[1, 2, 3, 4]"
renewal_31,31,frontier_dropout,0.5,101,4,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,7,,,,"[29, 30]",0,0,"unavailable_support_vertices=[29, 30]",34,33,47,51,12,"[1, 2, 3, 4]"
renewal_3,3,frontier_dropout,0.5,101,1,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,4,,,,[1],0,0,unavailable_support_vertices=[1],34,33,47,51,12,"[1, 2, 3, 4]"
