mode,severity,samples,mean_support_width,support_width_count,support_certification_loss_rate,causal_reachability_loss_rate,support_availability_loss_rate,operational_readiness_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate,ledger_gate_loss_rate,orientation_gate_loss_rate,selector_stress_loss_rate,mean_finality_depth_shift,mean_recovery_length
edge_dropout,0.0,2400,2.125833,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.25,2400,2.125833,4,0.0,0.69875,0.0,0.6725,0.6725,0.6725,0.0,0.0,0.0,0.914454,0.217308
edge_dropout,0.5,2400,2.125833,4,0.0,0.83,0.0,0.796667,0.796667,0.796667,0.0,0.0,0.0,1.201092,0.238215
edge_dropout,0.75,2400,2.125833,4,0.0,0.992917,0.0,0.952917,0.952917,0.952917,0.0,0.0,0.0,1.387352,0.048938
edge_dropout,1.0,2400,2.125833,4,0.0,1.0,0.0,0.96,0.96,0.96,0.0,0.0,0.0,1.427419,0.013233
frontier_dropout,0.0,2400,2.125833,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.25,2400,2.125833,4,0.0,1.0,1.0,0.96,0.96,0.96,0.0,0.0,0.0,,
frontier_dropout,0.5,2400,2.125833,4,0.0,1.0,1.0,0.96,0.96,0.96,0.0,0.0,0.0,,
frontier_dropout,0.75,2400,2.125833,4,0.0,1.0,1.0,0.96,0.96,0.96,0.0,0.0,0.0,,
frontier_dropout,1.0,2400,2.125833,4,0.0,1.0,1.0,0.96,0.96,0.96,0.0,0.0,0.0,,
ledger_failure,0.0,2400,2.125833,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.25,2400,2.125833,4,0.140417,0.0,0.0,0.140417,0.140417,0.140417,0.147917,0.0,0.0,0.0,0.0
ledger_failure,0.5,2400,2.125833,4,0.5125,0.0,0.0,0.5125,0.5125,0.5125,0.533333,0.0,0.0,0.0,0.0
ledger_failure,0.75,2400,2.125833,4,0.644583,0.0,0.0,0.644583,0.644583,0.644583,0.672083,0.0,0.0,0.0,0.0
ledger_failure,1.0,2400,2.125833,4,0.96,0.0,0.0,0.96,0.96,0.96,1.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,2400,2.125833,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.25,2400,2.125833,4,0.140417,0.0,0.0,0.140417,0.140417,0.140417,0.0,0.147917,0.0,0.0,0.0
orientation_degradation,0.5,2400,2.125833,4,0.5125,0.0,0.0,0.5125,0.5125,0.5125,0.0,0.533333,0.0,0.0,0.0
orientation_degradation,0.75,2400,2.125833,4,0.644583,0.0,0.0,0.644583,0.644583,0.644583,0.0,0.672083,0.0,0.0,0.0
orientation_degradation,1.0,2400,2.125833,4,0.96,0.0,0.0,0.96,0.96,0.96,0.0,1.0,0.0,0.0,0.0
selector_stress,0.0,2400,2.125833,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,2400,2.125833,4,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.96,0.0,0.0
selector_stress,0.5,2400,2.125833,4,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.96,0.0,0.0
selector_stress,0.75,2400,2.125833,4,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.96,0.0,0.0
selector_stress,1.0,2400,2.125833,4,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.96,0.0,0.0
support_delay,0.0,2400,2.125833,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.25,2400,2.125833,4,0.0,1.0,0.0,0.96,0.96,0.96,0.0,0.0,0.0,1.0,1.136811
support_delay,0.5,2400,2.125833,4,0.0,1.0,0.0,0.96,0.96,0.96,0.0,0.0,0.0,2.0,2.10694
support_delay,0.75,2400,2.125833,4,0.0,1.0,0.0,0.96,0.96,0.96,0.0,0.0,0.0,4.0,4.032949
support_delay,1.0,2400,2.125833,4,0.0,1.0,0.0,0.96,0.96,0.96,0.0,0.0,0.0,5.0,5.011848
