run_seed,evaluations,support_width_classes,support_certification_loss_rate,causal_reachability_loss_rate,support_availability_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate
17,720,"[1, 2, 3, 4]",0.15,0.381944,0.133333,0.665278,0.531944
18,720,"[1, 2, 3, 4]",0.166667,0.381944,0.133333,0.681944,0.548611
19,720,"[1, 2, 3, 4]",0.122222,0.379167,0.133333,0.548611,0.4375
20,720,"[1, 2, 3, 4]",0.15,0.383333,0.133333,0.666667,0.533333
21,720,"[1, 2, 3, 4]",0.147222,0.388889,0.133333,0.625,0.502778
22,720,"[1, 2, 3, 4]",0.15,0.376389,0.133333,0.659722,0.526389
23,720,"[1, 2, 3, 4]",0.138889,0.3875,0.133333,0.570833,0.459722
24,720,"[1, 2, 3, 4]",0.158333,0.377778,0.133333,0.669444,0.536111
25,720,"[1, 2, 3]",0.169444,0.380556,0.133333,0.683333,0.55
26,720,"[1, 2, 4]",0.155556,0.386111,0.133333,0.675,0.541667
27,720,"[1, 2, 3, 4]",0.163889,0.3875,0.133333,0.684722,0.551389
28,720,"[1, 2, 3, 4]",0.133333,0.388889,0.133333,0.613889,0.491667
29,720,"[1, 2, 3, 4]",0.138889,0.384722,0.133333,0.613889,0.491667
30,720,"[1, 2, 3, 4]",0.158333,0.384722,0.133333,0.676389,0.543056
31,720,"[1, 2, 3, 4]",0.163889,0.384722,0.133333,0.681944,0.548611
32,720,"[1, 2, 3]",0.144444,0.380556,0.133333,0.616667,0.494444
33,720,"[1, 2, 3, 4]",0.141667,0.383333,0.133333,0.615278,0.493056
34,720,"[1, 2, 3, 4]",0.15,0.383333,0.133333,0.666667,0.533333
35,720,"[1, 3, 4]",0.138889,0.3875,0.133333,0.615278,0.493056
36,720,"[1, 2, 3, 4]",0.141667,0.384722,0.133333,0.616667,0.494444
37,720,"[1, 2, 3, 4]",0.147222,0.384722,0.133333,0.665278,0.531944
38,720,"[1, 2, 3, 4]",0.133333,0.386111,0.133333,0.611111,0.488889
39,720,"[1, 2, 3, 4]",0.166667,0.391667,0.133333,0.691667,0.558333
40,720,"[1, 2, 3, 4]",0.130556,0.388889,0.133333,0.608333,0.486111
41,720,"[1, 2, 3, 4]",0.155556,0.379167,0.133333,0.668056,0.534722
42,720,"[1, 2, 3, 4]",0.147222,0.379167,0.133333,0.618056,0.495833
43,720,"[1, 2, 3, 4]",0.15,0.376389,0.133333,0.659722,0.526389
44,720,"[1, 2, 3, 4]",0.158333,0.386111,0.133333,0.677778,0.544444
45,720,"[1, 2, 3, 4]",0.155556,0.380556,0.133333,0.625,0.502778
46,720,"[1, 2, 3, 4]",0.144444,0.386111,0.133333,0.620833,0.498611
47,720,"[1, 2, 3, 4]",0.155556,0.3875,0.133333,0.676389,0.543056
48,720,"[1, 2, 3, 4]",0.147222,0.3875,0.133333,0.625,0.502778
49,720,"[1, 2, 3, 4]",0.152778,0.383333,0.133333,0.669444,0.536111
50,720,"[1, 2, 3, 4]",0.119444,0.384722,0.133333,0.552778,0.441667
51,720,"[1, 2, 3, 4]",0.158333,0.386111,0.133333,0.677778,0.544444
52,720,"[1, 2, 3, 4]",0.152778,0.384722,0.133333,0.670833,0.5375
53,720,"[1, 2, 3, 4]",0.166667,0.379167,0.133333,0.679167,0.545833
54,720,"[1, 3, 4]",0.147222,0.381944,0.133333,0.620833,0.498611
55,720,"[1, 4]",0.141667,0.379167,0.133333,0.654167,0.520833
56,720,"[1, 2, 3, 4]",0.169444,0.3875,0.133333,0.690278,0.556944
57,720,"[1, 2, 3, 4]",0.158333,0.381944,0.133333,0.629167,0.506944
58,720,"[1, 2, 3]",0.161111,0.383333,0.133333,0.677778,0.544444
59,720,"[1, 2, 3, 4]",0.152778,0.383333,0.133333,0.669444,0.536111
60,720,"[1, 2, 3, 4]",0.158333,0.391667,0.133333,0.683333,0.55
61,720,"[1, 2, 3, 4]",0.141667,0.383333,0.133333,0.616667,0.494444
62,720,"[1, 2, 3, 4]",0.161111,0.379167,0.133333,0.673611,0.540278
63,720,"[1, 2, 3, 4]",0.15,0.377778,0.133333,0.661111,0.527778
64,720,"[1, 2, 3, 4]",0.15,0.381944,0.133333,0.665278,0.531944
65,720,"[1, 2, 3, 4]",0.161111,0.384722,0.133333,0.679167,0.545833
66,720,"[1, 2, 3, 4]",0.163889,0.383333,0.133333,0.680556,0.547222
67,720,"[1, 2, 3, 4]",0.141667,0.386111,0.133333,0.618056,0.495833
68,720,"[1, 2, 3, 4]",0.158333,0.3875,0.133333,0.679167,0.545833
69,720,"[1, 2, 3, 4]",0.158333,0.391667,0.133333,0.683333,0.55
70,720,"[1, 3, 4]",0.172222,0.390278,0.133333,0.695833,0.5625
71,720,"[1, 2, 3, 4]",0.15,0.381944,0.133333,0.622222,0.5
72,720,"[1, 2, 3, 4]",0.158333,0.383333,0.133333,0.675,0.541667
73,720,"[1, 2, 3, 4]",0.144444,0.376389,0.133333,0.6125,0.490278
74,720,"[1, 3, 4]",0.15,0.384722,0.133333,0.668056,0.534722
75,720,"[1, 2, 3, 4]",0.163889,0.384722,0.133333,0.681944,0.548611
76,720,"[1, 3, 4]",0.136111,0.386111,0.133333,0.615278,0.493056
77,720,"[1, 2, 3, 4]",0.161111,0.383333,0.133333,0.677778,0.544444
78,720,"[1, 2, 3, 4]",0.155556,0.384722,0.133333,0.673611,0.540278
79,720,"[1, 2, 3, 4]",0.155556,0.381944,0.133333,0.670833,0.5375
80,720,"[1, 2, 3, 4]",0.136111,0.3875,0.133333,0.613889,0.491667
81,720,"[1, 2, 3, 4]",0.161111,0.379167,0.133333,0.673611,0.540278
82,720,"[1, 2, 3]",0.141667,0.386111,0.133333,0.618056,0.495833
83,720,"[1, 3, 4]",0.155556,0.383333,0.133333,0.672222,0.538889
84,720,"[1, 2, 3, 4]",0.152778,0.3875,0.133333,0.673611,0.540278
85,720,"[1, 2, 3, 4]",0.158333,0.3875,0.133333,0.679167,0.545833
86,720,"[1, 2, 3, 4]",0.111111,0.3875,0.133333,0.544444,0.433333
87,720,"[1, 2, 3, 4]",0.152778,0.384722,0.133333,0.670833,0.5375
88,720,"[1, 3, 4]",0.108333,0.386111,0.133333,0.497222,0.397222
