mode,severity,support_width,samples,support_certification_loss_rate,causal_reachability_loss_rate,support_availability_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate,mean_finality_depth_shift,mean_recovery_length
edge_dropout,0.0,1,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.0,2,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.0,3,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.0,4,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.25,1,1054,0.0,0.767552,0.0,0.733397,0.733397,1.349802,0.260911
edge_dropout,0.25,2,430,0.0,0.54186,0.0,0.52093,0.52093,-0.269231,0.098039
edge_dropout,0.25,3,476,0.0,0.636555,0.0,0.62395,0.62395,-0.336066,0.140541
edge_dropout,0.25,4,440,0.0,0.754545,0.0,0.727273,0.727273,-0.543478,0.153846
edge_dropout,0.5,1,1054,0.0,0.721063,0.0,0.687856,0.687856,1.343842,0.214421
edge_dropout,0.5,2,430,0.0,0.834884,0.0,0.793023,0.793023,-0.367347,0.282051
edge_dropout,0.5,3,476,0.0,0.941176,0.0,0.922269,0.922269,-0.571429,0.555556
edge_dropout,0.5,4,440,0.0,0.965909,0.0,0.925,0.925,-1.0,0.75
edge_dropout,0.75,1,1054,0.0,1.0,0.0,0.956357,0.956357,1.432323,0.0
edge_dropout,0.75,2,430,0.0,0.974419,0.0,0.923256,0.923256,-0.5625,2.05
edge_dropout,0.75,3,476,0.0,0.989496,0.0,0.968487,0.968487,-0.8,1.5
edge_dropout,0.75,4,440,0.0,0.997727,0.0,0.956818,0.956818,-1.0,0.0
edge_dropout,1.0,1,1054,0.0,1.0,0.0,0.956357,0.956357,1.432323,0.0
edge_dropout,1.0,2,430,0.0,1.0,0.0,0.948837,0.948837,,3.0
edge_dropout,1.0,3,476,0.0,1.0,0.0,0.978992,0.978992,-1.0,4.0
edge_dropout,1.0,4,440,0.0,1.0,0.0,0.959091,0.959091,,
frontier_dropout,0.0,1,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.0,2,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.0,3,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.0,4,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.25,1,1054,0.0,1.0,1.0,0.956357,0.956357,,
frontier_dropout,0.25,2,430,0.0,1.0,1.0,0.948837,0.948837,,
frontier_dropout,0.25,3,476,0.0,1.0,1.0,0.978992,0.978992,,
frontier_dropout,0.25,4,440,0.0,1.0,1.0,0.959091,0.959091,,
frontier_dropout,0.5,1,1054,0.0,1.0,1.0,0.956357,0.956357,,
frontier_dropout,0.5,2,430,0.0,1.0,1.0,0.948837,0.948837,,
frontier_dropout,0.5,3,476,0.0,1.0,1.0,0.978992,0.978992,,
frontier_dropout,0.5,4,440,0.0,1.0,1.0,0.959091,0.959091,,
frontier_dropout,0.75,1,1054,0.0,1.0,1.0,0.956357,0.956357,,
frontier_dropout,0.75,2,430,0.0,1.0,1.0,0.948837,0.948837,,
frontier_dropout,0.75,3,476,0.0,1.0,1.0,0.978992,0.978992,,
frontier_dropout,0.75,4,440,0.0,1.0,1.0,0.959091,0.959091,,
frontier_dropout,1.0,1,1054,0.0,1.0,1.0,0.956357,0.956357,,
frontier_dropout,1.0,2,430,0.0,1.0,1.0,0.948837,0.948837,,
frontier_dropout,1.0,3,476,0.0,1.0,1.0,0.978992,0.978992,,
frontier_dropout,1.0,4,440,0.0,1.0,1.0,0.959091,0.959091,,
ledger_failure,0.0,1,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.0,2,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.0,3,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.0,4,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.25,1,1054,0.029412,0.0,0.0,0.029412,0.029412,0.0,0.0
ledger_failure,0.25,2,430,0.311628,0.0,0.0,0.311628,0.311628,0.0,0.0
ledger_failure,0.25,3,476,0.210084,0.0,0.0,0.210084,0.210084,0.0,0.0
ledger_failure,0.25,4,440,0.163636,0.0,0.0,0.163636,0.163636,0.0,0.0
ledger_failure,0.5,1,1054,0.551233,0.0,0.0,0.551233,0.551233,0.0,0.0
ledger_failure,0.5,2,430,0.446512,0.0,0.0,0.446512,0.446512,0.0,0.0
ledger_failure,0.5,3,476,0.548319,0.0,0.0,0.548319,0.548319,0.0,0.0
ledger_failure,0.5,4,440,0.445455,0.0,0.0,0.445455,0.445455,0.0,0.0
ledger_failure,0.75,1,1054,0.50759,0.0,0.0,0.50759,0.50759,0.0,0.0
ledger_failure,0.75,2,430,0.755814,0.0,0.0,0.755814,0.755814,0.0,0.0
ledger_failure,0.75,3,476,0.739496,0.0,0.0,0.739496,0.739496,0.0,0.0
ledger_failure,0.75,4,440,0.761364,0.0,0.0,0.761364,0.761364,0.0,0.0
ledger_failure,1.0,1,1054,0.956357,0.0,0.0,0.956357,0.956357,0.0,0.0
ledger_failure,1.0,2,430,0.948837,0.0,0.0,0.948837,0.948837,0.0,0.0
ledger_failure,1.0,3,476,0.978992,0.0,0.0,0.978992,0.978992,0.0,0.0
ledger_failure,1.0,4,440,0.959091,0.0,0.0,0.959091,0.959091,0.0,0.0
orientation_degradation,0.0,1,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,2,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,3,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
