mode,family_semantics,certification_regime,threshold_fraction,samples,strict_loss_rate,family_loss_rate,family_rescue_rate,no_worse_violation_rate,mean_uncertified_cut_count
ledger_failure,at_least_k,cut_level,0.25,9600,0.829375,0.624167,0.205208,0.0,3.571875
ledger_failure,at_least_k,cut_level,0.5,9600,0.825417,0.624167,0.20125,0.0,2.667292
ledger_failure,at_least_k,cut_level,0.75,9600,0.945208,0.8625,0.082708,0.0,1.458333
ledger_failure,at_least_k,cut_level,1.0,9600,1.0,1.0,0.0,0.0,1.0
ledger_failure,at_least_k,parent_shared,0.25,9600,0.600729,0.600729,0.0,0.0,3.089479
ledger_failure,at_least_k,parent_shared,0.5,9600,0.600729,0.600729,0.0,0.0,2.301354
ledger_failure,at_least_k,parent_shared,0.75,9600,0.600729,0.600729,0.0,0.0,1.051979
ledger_failure,at_least_k,parent_shared,1.0,9600,0.600729,0.600729,0.0,0.0,0.600729
ledger_failure,augmented_exact_k,cut_level,0.25,9600,0.830729,0.624167,0.206563,0.0,1.979792
ledger_failure,augmented_exact_k,cut_level,0.5,9600,0.826771,0.624167,0.202604,0.0,2.208958
ledger_failure,augmented_exact_k,cut_level,0.75,9600,0.945208,0.8625,0.082708,0.0,1.458333
ledger_failure,augmented_exact_k,cut_level,1.0,9600,1.0,1.0,0.0,0.0,1.0
ledger_failure,augmented_exact_k,parent_shared,0.25,9600,0.600729,0.600729,0.0,0.0,1.624479
ledger_failure,augmented_exact_k,parent_shared,0.5,9600,0.600729,0.600729,0.0,0.0,1.850104
ledger_failure,augmented_exact_k,parent_shared,0.75,9600,0.600729,0.600729,0.0,0.0,1.051979
ledger_failure,augmented_exact_k,parent_shared,1.0,9600,0.600729,0.600729,0.0,0.0,0.600729
ledger_failure,exact_k,cut_level,0.25,9600,0.439167,0.67375,0.0,0.234583,1.6125
ledger_failure,exact_k,cut_level,0.5,9600,0.439167,0.67375,0.0,0.234583,1.8875
ledger_failure,exact_k,cut_level,0.75,9600,0.816667,0.8625,0.0,0.045833,1.275
ledger_failure,exact_k,cut_level,1.0,9600,1.0,1.0,0.0,0.0,1.0
ledger_failure,exact_k,parent_shared,0.25,9600,0.600729,0.600729,0.0,0.0,1.281562
ledger_failure,exact_k,parent_shared,0.5,9600,0.600729,0.600729,0.0,0.0,1.507187
ledger_failure,exact_k,parent_shared,0.75,9600,0.600729,0.600729,0.0,0.0,0.939167
ledger_failure,exact_k,parent_shared,1.0,9600,0.600729,0.600729,0.0,0.0,0.600729
orientation_degradation,at_least_k,cut_level,0.25,9600,0.843437,0.624167,0.219271,0.0,3.571875
orientation_degradation,at_least_k,cut_level,0.5,9600,0.840625,0.624167,0.216458,0.0,2.667292
orientation_degradation,at_least_k,cut_level,0.75,9600,0.947292,0.8625,0.084792,0.0,1.458333
orientation_degradation,at_least_k,cut_level,1.0,9600,1.0,1.0,0.0,0.0,1.0
orientation_degradation,at_least_k,parent_shared,0.25,9600,0.606146,0.606146,0.0,0.0,3.122813
orientation_degradation,at_least_k,parent_shared,0.5,9600,0.606146,0.606146,0.0,0.0,2.303229
orientation_degradation,at_least_k,parent_shared,0.75,9600,0.606146,0.606146,0.0,0.0,1.046979
orientation_degradation,at_least_k,parent_shared,1.0,9600,0.606146,0.606146,0.0,0.0,0.606146
orientation_degradation,augmented_exact_k,cut_level,0.25,9600,0.845625,0.624167,0.221458,0.0,1.979792
orientation_degradation,augmented_exact_k,cut_level,0.5,9600,0.838646,0.624167,0.214479,0.0,2.208958
orientation_degradation,augmented_exact_k,cut_level,0.75,9600,0.947292,0.8625,0.084792,0.0,1.458333
orientation_degradation,augmented_exact_k,cut_level,1.0,9600,1.0,1.0,0.0,0.0,1.0
orientation_degradation,augmented_exact_k,parent_shared,0.25,9600,0.606146,0.606146,0.0,0.0,1.641979
orientation_degradation,augmented_exact_k,parent_shared,0.5,9600,0.606146,0.606146,0.0,0.0,1.862396
orientation_degradation,augmented_exact_k,parent_shared,0.75,9600,0.606146,0.606146,0.0,0.0,1.046979
orientation_degradation,augmented_exact_k,parent_shared,1.0,9600,0.606146,0.606146,0.0,0.0,0.606146
orientation_degradation,exact_k,cut_level,0.25,9600,0.439167,0.67375,0.0,0.234583,1.6125
orientation_degradation,exact_k,cut_level,0.5,9600,0.439167,0.67375,0.0,0.234583,1.8875
orientation_degradation,exact_k,cut_level,0.75,9600,0.816667,0.8625,0.0,0.045833,1.275
orientation_degradation,exact_k,cut_level,1.0,9600,1.0,1.0,0.0,0.0,1.0
orientation_degradation,exact_k,parent_shared,0.25,9600,0.606146,0.606146,0.0,0.0,1.297396
orientation_degradation,exact_k,parent_shared,0.5,9600,0.606146,0.606146,0.0,0.0,1.517813
orientation_degradation,exact_k,parent_shared,0.75,9600,0.606146,0.606146,0.0,0.0,0.936771
orientation_degradation,exact_k,parent_shared,1.0,9600,0.606146,0.606146,0.0,0.0,0.606146
