family_semantics,certification_regime,threshold_fraction,samples,strict_cut_inclusion_rate,no_worse_violations,no_worse_violation_rate,readiness_monotone_by_construction
at_least_k,cut_level,0.25,72000,1.0,0,0.0,True
at_least_k,cut_level,0.5,72000,1.0,0,0.0,True
at_least_k,cut_level,0.75,72000,1.0,0,0.0,True
at_least_k,cut_level,1.0,72000,1.0,0,0.0,True
at_least_k,parent_shared,0.25,72000,1.0,0,0.0,True
at_least_k,parent_shared,0.5,72000,1.0,0,0.0,True
at_least_k,parent_shared,0.75,72000,1.0,0,0.0,True
at_least_k,parent_shared,1.0,72000,1.0,0,0.0,True
augmented_exact_k,cut_level,0.25,72000,1.0,0,0.0,True
augmented_exact_k,cut_level,0.5,72000,1.0,0,0.0,True
augmented_exact_k,cut_level,0.75,72000,1.0,0,0.0,True
augmented_exact_k,cut_level,1.0,72000,1.0,0,0.0,True
augmented_exact_k,parent_shared,0.25,72000,1.0,0,0.0,True
augmented_exact_k,parent_shared,0.5,72000,1.0,0,0.0,True
augmented_exact_k,parent_shared,0.75,72000,1.0,0,0.0,True
augmented_exact_k,parent_shared,1.0,72000,1.0,0,0.0,True
exact_k,cut_level,0.25,72000,0.439167,4504,0.062556,False
exact_k,cut_level,0.5,72000,0.439167,4504,0.062556,False
exact_k,cut_level,0.75,72000,0.816667,880,0.012222,False
exact_k,cut_level,1.0,72000,1.0,0,0.0,False
exact_k,parent_shared,0.25,72000,0.439167,0,0.0,False
exact_k,parent_shared,0.5,72000,0.439167,0,0.0,False
exact_k,parent_shared,0.75,72000,0.816667,0,0.0,False
exact_k,parent_shared,1.0,72000,1.0,0,0.0,False
