family_semantics,certification_regime,mode,severity,threshold_fraction,samples,support_width_count,mean_support_width,mean_family_size,parent_in_family_rate,parent_targeted_rate,family_targeted_rate,strict_parent_loss_rate,family_internal_loss_rate,strict_rescue_rate,family_internal_survival_rate,family_internal_resilience_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta,mean_certified_family_member_count,mean_uncertified_member_fraction
at_least_k,cut_level,edge_dropout,0.0,0.25,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,cut_level,edge_dropout,0.0,0.5,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,edge_dropout,0.0,0.75,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,edge_dropout,0.0,1.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,edge_dropout,0.25,0.25,2400,4,2.125833,5.115,1.0,1.0,1.0,0.76125,0.403333,0.357917,0.596667,0.596667,1.0,0.0,-0.357917,5.115,0.0
at_least_k,cut_level,edge_dropout,0.25,0.5,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.76125,0.439583,0.321667,0.560417,0.560417,1.0,0.0,-0.321667,3.786667,0.0
at_least_k,cut_level,edge_dropout,0.25,0.75,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.76125,0.67625,0.085,0.32375,0.32375,1.0,0.0,-0.085,1.733333,0.0
at_least_k,cut_level,edge_dropout,0.25,1.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.76125,0.76125,0.0,0.23875,0.23875,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,edge_dropout,0.5,0.25,2400,4,2.125833,5.115,1.0,1.0,1.0,0.814583,0.372917,0.441667,0.627083,0.627083,1.0,0.0,-0.441667,5.115,0.0
at_least_k,cut_level,edge_dropout,0.5,0.5,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.814583,0.51375,0.300833,0.48625,0.48625,1.0,0.0,-0.300833,3.786667,0.0
at_least_k,cut_level,edge_dropout,0.5,0.75,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.814583,0.769583,0.045,0.230417,0.230417,1.0,0.0,-0.045,1.733333,0.0
at_least_k,cut_level,edge_dropout,0.5,1.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.814583,0.814583,0.0,0.185417,0.185417,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,edge_dropout,0.75,0.25,2400,4,2.125833,5.115,1.0,1.0,1.0,0.994167,0.685833,0.308333,0.314167,0.314167,1.0,0.0,-0.308333,5.115,0.0
at_least_k,cut_level,edge_dropout,0.75,0.5,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.994167,0.871667,0.1225,0.128333,0.128333,1.0,0.0,-0.1225,3.786667,0.0
