mode,family_semantics,certification_regime,severity,threshold_fraction,support_width,parent_cut_in_family,samples,family_size_mean,certified_family_member_count_mean,uncertified_member_fraction_mean,strict_parent_loss_rate,family_internal_loss_rate,family_internal_survival_rate,family_internal_resilience_rate,metric_artifact_risk_rate
ledger_failure,at_least_k,cut_level,0.25,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.25,2,True,430,3.0,2.0,0.333333,0.423256,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.25,3,True,476,7.0,5.0,0.285714,0.258403,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.25,4,True,440,15.0,11.0,0.266667,0.390909,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,2,True,430,3.0,2.0,0.333333,0.423256,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,3,True,476,4.0,3.0,0.25,0.285714,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,4,True,440,11.0,8.0,0.272727,0.361364,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,4,True,440,5.0,3.0,0.4,0.486364,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.25,2,True,430,3.0,1.0,0.666667,0.588372,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.25,3,True,476,7.0,3.0,0.571429,0.462185,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.25,4,True,440,15.0,7.0,0.533333,0.568182,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.5,2,True,430,3.0,1.0,0.666667,0.588372,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.5,3,True,476,4.0,2.0,0.5,0.512605,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.5,4,True,440,11.0,5.0,0.545455,0.575,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.75,4,True,440,5.0,2.0,0.6,0.620455,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.5,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.25,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.25,3,True,476,7.0,1.0,0.857143,0.878151,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.25,4,True,440,15.0,3.0,0.8,0.8,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,3,True,476,4.0,1.0,0.75,0.785714,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,4,True,440,11.0,2.0,0.818182,0.752273,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,4,True,440,5.0,1.0,0.8,0.697727,0.0,1.0,1.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,3,True,476,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,4,True,440,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
