mode,family_semantics,severity,threshold_fraction,samples_at_risk,widths_at_risk,reason,invalid_comparison
ledger_failure,exact_k,0.25,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.25,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.25,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.5,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.5,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.5,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.75,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.75,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,0.75,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,1.0,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,1.0,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
ledger_failure,exact_k,1.0,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.25,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.25,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.25,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.5,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.5,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.5,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.75,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.75,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,0.75,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,1.0,0.25,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,1.0,0.5,1346,"[2, 3, 4]",cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
orientation_degradation,exact_k,1.0,0.75,440,[4],cut-level certification samples family members while strict parent cut is absent from family.cuts,strict_parent_loss_rate_vs_family_internal_loss_rate
