run_seed,evaluations,support_width_classes,metric_artifact_risk_rate,strict_rescue_rate,family_internal_resilience_rate
17,17280,"[1, 2, 3, 4]",0.014815,0.050289,0.131944
18,17280,"[1, 2, 3, 4]",0.015741,0.054398,0.140162
19,17280,"[1, 2, 3, 4]",0.015741,0.051794,0.139583
20,17280,"[1, 2, 3, 4]",0.010185,0.034549,0.117708
21,17280,"[1, 2, 3, 4]",0.015741,0.056192,0.140856
22,17280,"[1, 2, 3, 4]",0.012037,0.041609,0.128009
23,17280,"[1, 2, 3, 4]",0.015741,0.051968,0.135185
24,17280,"[1, 2, 3, 4]",0.013889,0.046238,0.123843
25,17280,"[1, 2, 3]",0.012963,0.037269,0.117245
26,17280,"[1, 2, 4]",0.018519,0.065336,0.151389
27,17280,"[1, 2, 3, 4]",0.015741,0.055498,0.137963
28,17280,"[1, 2, 3, 4]",0.014815,0.046817,0.127778
29,17280,"[1, 2, 3, 4]",0.012963,0.044676,0.128125
30,17280,"[1, 2, 3, 4]",0.014815,0.051678,0.133333
31,17280,"[1, 2, 3, 4]",0.012963,0.041377,0.125694
32,17280,"[1, 2, 3]",0.014815,0.048206,0.131134
33,17280,"[1, 2, 3, 4]",0.014815,0.053993,0.130324
34,17280,"[1, 2, 3, 4]",0.015741,0.051215,0.141088
35,17280,"[1, 3, 4]",0.012963,0.043576,0.13044
36,17280,"[1, 2, 3, 4]",0.015741,0.056424,0.140394
37,17280,"[1, 2, 3, 4]",0.012037,0.042245,0.123148
38,17280,"[1, 2, 3, 4]",0.015741,0.055035,0.142014
39,17280,"[1, 2, 3, 4]",0.016667,0.052778,0.138889
40,17280,"[1, 2, 3, 4]",0.013889,0.043461,0.120602
41,17280,"[1, 2, 3, 4]",0.011111,0.037442,0.119676
42,17280,"[1, 2, 3, 4]",0.016667,0.056771,0.14838
43,17280,"[1, 2, 3, 4]",0.012037,0.040162,0.128356
44,17280,"[1, 2, 3, 4]",0.013889,0.043924,0.121065
45,17280,"[1, 2, 3, 4]",0.017593,0.052604,0.15162
46,17280,"[1, 2, 3, 4]",0.012037,0.040567,0.117245
47,17280,"[1, 2, 3, 4]",0.014815,0.047512,0.135185
48,17280,"[1, 2, 3, 4]",0.016667,0.053241,0.138194
49,17280,"[1, 2, 3, 4]",0.015741,0.052778,0.138194
50,17280,"[1, 2, 3, 4]",0.013889,0.047164,0.138657
51,17280,"[1, 2, 3, 4]",0.013889,0.044213,0.127315
52,17280,"[1, 2, 3, 4]",0.017593,0.058623,0.148495
53,17280,"[1, 2, 3, 4]",0.015741,0.053762,0.137731
54,17280,"[1, 3, 4]",0.012037,0.041435,0.120602
55,17280,"[1, 4]",0.013889,0.050174,0.135417
56,17280,"[1, 2, 3, 4]",0.015741,0.051968,0.130208
57,17280,"[1, 2, 3, 4]",0.017593,0.056424,0.14537
58,17280,"[1, 2, 3]",0.009259,0.029109,0.105787
59,17280,"[1, 2, 3, 4]",0.014815,0.045833,0.133912
60,17280,"[1, 2, 3, 4]",0.012037,0.036748,0.117245
61,17280,"[1, 2, 3, 4]",0.017593,0.055498,0.148727
62,17280,"[1, 2, 3, 4]",0.012037,0.038889,0.123264
63,17280,"[1, 2, 3, 4]",0.016667,0.057581,0.139815
64,17280,"[1, 2, 3, 4]",0.013889,0.042824,0.128009
65,17280,"[1, 2, 3, 4]",0.016667,0.056308,0.146991
66,17280,"[1, 2, 3, 4]",0.015741,0.051042,0.145949
67,17280,"[1, 2, 3, 4]",0.014815,0.049653,0.13044
68,17280,"[1, 2, 3, 4]",0.015741,0.053183,0.136343
69,17280,"[1, 2, 3, 4]",0.017593,0.06088,0.146875
70,17280,"[1, 3, 4]",0.012963,0.044271,0.122801
71,17280,"[1, 2, 3, 4]",0.017593,0.058333,0.146181
72,17280,"[1, 2, 3, 4]",0.013889,0.045081,0.125579
