mode,certification_regime,targeting_domain,parent_cut_in_family,samples,parent_targeted_rate,family_targeted_rate,comparison_valid_rate,metric_artifact_risk_rate,strict_parent_loss_rate,family_internal_loss_rate,family_internal_survival_rate
edge_dropout,cut_level,causal_reachability_domain,False,15660,0.8,0.8,1.0,0.0,0.716539,0.412261,0.587739
edge_dropout,cut_level,causal_reachability_domain,True,128340,0.8,0.8,1.0,0.0,0.71369,0.639434,0.360566
edge_dropout,parent_shared,causal_reachability_domain,False,15660,0.8,0.8,1.0,0.0,0.716539,0.412261,0.587739
edge_dropout,parent_shared,causal_reachability_domain,True,128340,0.8,0.8,1.0,0.0,0.71369,0.639434,0.360566
frontier_dropout,cut_level,support_availability_domain,False,15660,0.8,0.8,1.0,0.0,0.8,0.430396,0.569604
frontier_dropout,cut_level,support_availability_domain,True,128340,0.8,0.8,1.0,0.0,0.8,0.709802,0.290198
frontier_dropout,parent_shared,support_availability_domain,False,15660,0.8,0.8,1.0,0.0,0.8,0.430396,0.569604
frontier_dropout,parent_shared,support_availability_domain,True,128340,0.8,0.8,1.0,0.0,0.8,0.709802,0.290198
ledger_failure,cut_level,family_member_domain_excludes_parent,False,15660,0.0,0.8,0.0,0.8,0.0,0.315709,0.684291
ledger_failure,cut_level,family_member_domain_includes_parent,True,128340,0.8,0.8,1.0,0.0,0.740362,0.666978,0.333022
ledger_failure,parent_shared,shared_parent_certificate,False,15660,0.8,0.8,1.0,0.0,0.489591,0.489591,0.510409
ledger_failure,parent_shared,shared_parent_certificate,True,128340,0.8,0.8,1.0,0.0,0.479484,0.479484,0.520516
orientation_degradation,cut_level,family_member_domain_excludes_parent,False,15660,0.0,0.8,0.0,0.8,0.0,0.315709,0.684291
orientation_degradation,cut_level,family_member_domain_includes_parent,True,128340,0.8,0.8,1.0,0.0,0.744865,0.666978,0.333022
orientation_degradation,parent_shared,shared_parent_certificate,False,15660,0.8,0.8,1.0,0.0,0.490038,0.490038,0.509962
orientation_degradation,parent_shared,shared_parent_certificate,True,128340,0.8,0.8,1.0,0.0,0.484292,0.484292,0.515708
selector_stress,cut_level,selector_exclusion_domain,False,15660,0.0,0.0,1.0,0.0,0.0,0.0,1.0
selector_stress,cut_level,selector_exclusion_domain,True,128340,0.0,0.0,1.0,0.0,0.0,0.0,1.0
selector_stress,parent_shared,selector_exclusion_domain,False,15660,0.0,0.0,1.0,0.0,0.0,0.0,1.0
selector_stress,parent_shared,selector_exclusion_domain,True,128340,0.0,0.0,1.0,0.0,0.0,0.0,1.0
support_delay,cut_level,support_delay_domain,False,15660,0.8,0.8,1.0,0.0,0.8,0.8,0.2
support_delay,cut_level,support_delay_domain,True,128340,0.8,0.8,1.0,0.0,0.8,0.8,0.2
support_delay,parent_shared,support_delay_domain,False,15660,0.8,0.8,1.0,0.0,0.8,0.8,0.2
support_delay,parent_shared,support_delay_domain,True,128340,0.8,0.8,1.0,0.0,0.8,0.8,0.2
