artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-SUPPORT-FAMILY-METRIC-MODULE-v072,ra_causal_dag_support_family_metric_repair.py,py,packet_local,analysis_module,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/simulator/ra_causal_dag_support_family_metric_repair.py,f5052d0d30340ef353f29ad1764a496ca080d17b338ce83bdf8fe414d25e25d9,,simulator/ra_causal_dag_support_family_metric_repair.py,Metric repair source module.,,simulator/ra_causal_dag_support_family_metric_repair.py,analysis_module
ART-SIM-SUPPORT-FAMILY-METRIC-TESTS-v072,test_v0_7_2_metric_repair.py,py,packet_local,test_source,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/tests/test_v0_7_2_metric_repair.py,f1f6efb463e6534a8a2cb92cf8189c02d3b6e842193c453013bb4450d2ff6e17,,tests/test_v0_7_2_metric_repair.py,Unit tests for metric repair.,,tests/test_v0_7_2_metric_repair.py,test_source
ART-SIM-SUPPORT-FAMILY-METRIC-VALIDATION-v072,validation_unittest_v0_7_2.log,log,packet_local,validation_log,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/reports/validation_unittest_v0_7_2.log,96edd1769a9eddee3733021859798494d910311e80e96aa734fa63872c4e7437,,reports/validation_unittest_v0_7_2.log,Packet-local tests passed.,,reports/validation_unittest_v0_7_2.log,validation_log
ART-SIM-SUPPORT-FAMILY-METRIC-REPORT-v072,RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_Report_May05_2026.md,md,packet_local,analysis_report,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_Report_May05_2026.md,7e616d96c0c7598d4a9bf06b8ead3fdd0bd6867c6b95dcd8ae9277796ba46159,,reports/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_Report_May05_2026.md,Metric repair report.,,reports/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_Report_May05_2026.md,analysis_report
ART-SIM-SUPPORT-FAMILY-METRIC-README-v072,README_RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026.md,md,packet_local,packet_readme,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026.md,6ef69ec81f9042386d6d7eb928354b6c78b2c32a276e6a956481be199921b3b4,,README_RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026.md,Packet README.,,README_RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026.md,packet_readme
ART-SIM-SUPPORT-FAMILY-METRIC-SUMMARY-v072,ra_support_family_metric_repair_summary_v0_7_2.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/outputs/ra_support_family_metric_repair_summary_v0_7_2.csv,7d66ba3eddfa0401aff2001852d34a69f42e4669a8270bf7dece79c42e57b5d8,,outputs/ra_support_family_metric_repair_summary_v0_7_2.csv,Packet-local summary output.,,outputs/ra_support_family_metric_repair_summary_v0_7_2.csv,simulation_output
ART-SIM-SUPPORT-FAMILY-METRIC-APPLES-v072,ra_support_family_apples_to_apples_v0_7_2.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/outputs/ra_support_family_apples_to_apples_v0_7_2.csv,f8272ef8d05cd175b919753801a7dfe224261ac9243b8cc34078e42f8276e7a8,,outputs/ra_support_family_apples_to_apples_v0_7_2.csv,Apples-to-apples aggregate comparisons.,,outputs/ra_support_family_apples_to_apples_v0_7_2.csv,simulation_output
ART-SIM-SUPPORT-FAMILY-METRIC-WIDTH-v072,ra_support_family_width_stratified_metrics_v0_7_2.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/outputs/ra_support_family_width_stratified_metrics_v0_7_2.csv,2d82f55dffe2eb0418b9105229aa32702954bf9ae236f144782f74243cccf9b2,,outputs/ra_support_family_width_stratified_metrics_v0_7_2.csv,Width-stratified metric rows.,,outputs/ra_support_family_width_stratified_metrics_v0_7_2.csv,simulation_output
ART-SIM-SUPPORT-FAMILY-METRIC-TARGETING-v072,ra_support_family_targeting_audit_v0_7_2.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/outputs/ra_support_family_targeting_audit_v0_7_2.csv,7df2f82f8170e044916139cad748f7b7e069543e33af3578604dfe7b0083efd5,,outputs/ra_support_family_targeting_audit_v0_7_2.csv,Targeting-domain audit rows.,,outputs/ra_support_family_targeting_audit_v0_7_2.csv,simulation_output
ART-SIM-SUPPORT-FAMILY-METRIC-CERT-v072,ra_support_family_certification_resilience_v0_7_2.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/outputs/ra_support_family_certification_resilience_v0_7_2.csv,f1d10a183255f85c66e02af8079625db2ef6cc93cc0ec312fd7f93d565d2fd3b,,outputs/ra_support_family_certification_resilience_v0_7_2.csv,Certification resilience rows.,,outputs/ra_support_family_certification_resilience_v0_7_2.csv,simulation_output
ART-SIM-SUPPORT-FAMILY-METRIC-FLAGS-v072,ra_support_family_metric_artifact_flags_v0_7_2.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/outputs/ra_support_family_metric_artifact_flags_v0_7_2.csv,6e19eb7be74a3a583c2e73e1e42b0f33aec7df8a7694367ccff41121160dbf66,,outputs/ra_support_family_metric_artifact_flags_v0_7_2.csv,Invalid-comparison flag rows.,,outputs/ra_support_family_metric_artifact_flags_v0_7_2.csv,simulation_output
ART-SIM-SUPPORT-FAMILY-METRIC-AUDIT-v072,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_2_May05_2026.log,log,packet_local,source_audit,RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v0_7_2_SupportFamilyMetricRepair_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_2_May05_2026.log,551613002bd99a05cf03a999539a1373349480558494b166f26f74233d44c74e,,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_2_May05_2026.log,Lexical source audit.,,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_2_May05_2026.log,source_audit
