mode,threshold_fraction,mean_strict_loss,mean_family_loss,mean_rescue,mean_family_size
edge_dropout,0.25,0.8925,0.615521,0.276979,2.125833
edge_dropout,0.5,0.8925,0.70625,0.18625,2.4925
edge_dropout,0.75,0.8925,0.859375,0.033125,1.55
edge_dropout,1.0,0.8925,0.8925,0.0,1.0
frontier_dropout,0.25,1.0,0.67375,0.32625,2.125833
frontier_dropout,0.5,1.0,0.769167,0.230833,2.4925
frontier_dropout,0.75,1.0,0.954167,0.045833,1.55
frontier_dropout,1.0,1.0,1.0,0.0,1.0
ledger_failure,0.25,0.439167,0.67375,0.0,2.125833
ledger_failure,0.5,0.439167,0.67375,0.0,2.4925
ledger_failure,0.75,0.816667,0.8625,0.0,1.55
ledger_failure,1.0,1.0,1.0,0.0,1.0
orientation_degradation,0.25,0.439167,0.67375,0.0,2.125833
orientation_degradation,0.5,0.439167,0.67375,0.0,2.4925
orientation_degradation,0.75,0.816667,0.8625,0.0,1.55
orientation_degradation,1.0,1.0,1.0,0.0,1.0
selector_stress,0.25,0.0,0.0,0.0,2.125833
selector_stress,0.5,0.0,0.0,0.0,2.4925
selector_stress,0.75,0.0,0.0,0.0,1.55
selector_stress,1.0,0.0,0.0,0.0,1.0
support_delay,0.25,1.0,1.0,0.0,2.125833
support_delay,0.5,1.0,1.0,0.0,2.4925
support_delay,0.75,1.0,1.0,0.0,1.55
support_delay,1.0,1.0,1.0,0.0,1.0
