mode,severity,threshold_fraction,support_width,samples,strict_readiness_loss_rate,family_readiness_loss_rate,family_rescue_rate,mean_family_size,mean_family_recovery_length
edge_dropout,0.0,0.25,1,1054,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,0.25,2,430,0.0,0.0,0.0,2.0,0.0
edge_dropout,0.0,0.25,3,476,0.0,0.0,0.0,3.0,0.0
edge_dropout,0.0,0.25,4,440,0.0,0.0,0.0,4.0,0.0
edge_dropout,0.0,0.5,1,1054,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,0.5,2,430,0.0,0.0,0.0,2.0,0.0
edge_dropout,0.0,0.5,3,476,0.0,0.0,0.0,3.0,0.0
edge_dropout,0.0,0.5,4,440,0.0,0.0,0.0,6.0,0.0
edge_dropout,0.0,0.75,1,1054,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,0.75,2,430,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,0.75,3,476,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,0.75,4,440,0.0,0.0,0.0,4.0,0.0
edge_dropout,0.0,1.0,1,1054,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,1.0,2,430,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,1.0,3,476,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.0,1.0,4,440,0.0,0.0,0.0,1.0,0.0
edge_dropout,0.25,0.25,1,1054,0.877609,0.877609,0.0,1.0,0.370968
edge_dropout,0.25,0.25,2,430,0.562791,0.083721,0.47907,2.0,0.127907
edge_dropout,0.25,0.25,3,476,0.701681,0.012605,0.689076,3.0,0.018908
edge_dropout,0.25,0.25,4,440,0.740909,0.002273,0.738636,4.0,0.002273
edge_dropout,0.25,0.5,1,1054,0.877609,0.877609,0.0,1.0,0.370968
edge_dropout,0.25,0.5,2,430,0.562791,0.083721,0.47907,2.0,0.127907
edge_dropout,0.25,0.5,3,476,0.701681,0.170168,0.531513,3.0,0.039801
edge_dropout,0.25,0.5,4,440,0.740909,0.029545,0.711364,6.0,0.007009
edge_dropout,0.25,0.75,1,1054,0.877609,0.877609,0.0,1.0,0.370968
edge_dropout,0.25,0.75,2,430,0.562791,0.562791,0.0,1.0,0.112821
edge_dropout,0.25,0.75,3,476,0.701681,0.701681,0.0,1.0,0.166667
edge_dropout,0.25,0.75,4,440,0.740909,0.277273,0.463636,4.0,0.085106
edge_dropout,0.25,1.0,1,1054,0.877609,0.877609,0.0,1.0,0.370968
edge_dropout,0.25,1.0,2,430,0.562791,0.562791,0.0,1.0,0.112821
edge_dropout,0.25,1.0,3,476,0.701681,0.701681,0.0,1.0,0.166667
