run_seed,evaluations,support_width_classes,threshold_fractions,family_rescue_rate,strict_readiness_loss_rate,family_readiness_loss_rate
17,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.038889,0.568056,0.565278
18,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.042014,0.556944,0.549653
19,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.040972,0.554167,0.55625
20,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.026042,0.5875,0.587847
21,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.043403,0.558333,0.549653
22,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.032639,0.580556,0.571528
23,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.038889,0.559722,0.555556
24,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.035417,0.570833,0.572917
25,2880,"[1, 2, 3]","[0.25, 0.5, 0.75, 1.0]",0.028819,0.570833,0.580903
26,2880,"[1, 2, 4]","[0.25, 0.5, 0.75, 1.0]",0.050694,0.540278,0.528472
27,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.042361,0.561111,0.553472
28,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.036806,0.565278,0.564583
29,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.035069,0.577778,0.573264
30,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.038889,0.563889,0.561111
31,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.030556,0.572222,0.572222
32,2880,"[1, 2, 3]","[0.25, 0.5, 0.75, 1.0]",0.037153,0.563889,0.571181
33,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.041667,0.569444,0.563889
34,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.039236,0.555556,0.551042
35,2880,"[1, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.032292,0.573611,0.571875
