mode,family_semantics,severity,threshold_fraction,support_width,correlation_points,start_rescue_rate,end_rescue_rate,rescue_decay,rescue_auc_normalized,resilience_auc_normalized,monotone_nonincreasing,mean_family_size,samples_total
ledger_failure,at_least_k,0.0,0.25,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,at_least_k,0.0,0.25,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
ledger_failure,at_least_k,0.0,0.25,3,5,0.0,0.0,0.0,0.0,0.0,true,7.0,2380
ledger_failure,at_least_k,0.0,0.25,4,5,0.0,0.0,0.0,0.0,0.0,true,15.0,2200
ledger_failure,at_least_k,0.0,0.5,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,at_least_k,0.0,0.5,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
ledger_failure,at_least_k,0.0,0.5,3,5,0.0,0.0,0.0,0.0,0.0,true,4.0,2380
ledger_failure,at_least_k,0.0,0.5,4,5,0.0,0.0,0.0,0.0,0.0,true,11.0,2200
ledger_failure,at_least_k,0.0,0.75,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,at_least_k,0.0,0.75,2,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2150
ledger_failure,at_least_k,0.0,0.75,3,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2380
ledger_failure,at_least_k,0.0,0.75,4,5,0.0,0.0,0.0,0.0,0.0,true,5.0,2200
ledger_failure,at_least_k,0.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,at_least_k,0.0,1.0,2,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2150
ledger_failure,at_least_k,0.0,1.0,3,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2380
ledger_failure,at_least_k,0.0,1.0,4,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2200
ledger_failure,at_least_k,0.25,0.25,1,5,0.0,0.0,0.0,0.0,0.6985295,true,1.0,5270
ledger_failure,at_least_k,0.25,0.25,2,5,0.297674,0.0,0.297674,0.1319765,0.898837,false,3.0,2150
ledger_failure,at_least_k,0.25,0.25,3,5,0.262605,0.0,0.262605,0.143644875,0.841124,true,7.0,2380
ledger_failure,at_least_k,0.25,0.25,4,5,0.3,0.0,0.3,0.11420475,0.887784,true,15.0,2200
ledger_failure,at_least_k,0.25,0.5,1,5,0.0,0.0,0.0,0.0,0.6985295,true,1.0,5270
ledger_failure,at_least_k,0.25,0.5,2,5,0.297674,0.0,0.297674,0.1319765,0.898837,false,3.0,2150
ledger_failure,at_least_k,0.25,0.5,3,5,0.252101,0.0,0.252101,0.089810875,0.841124,true,4.0,2380
ledger_failure,at_least_k,0.25,0.5,4,5,0.297727,0.0,0.297727,0.11676112500000001,0.887784,true,11.0,2200
ledger_failure,at_least_k,0.25,0.75,1,5,0.0,0.0,0.0,0.0,0.6985295,true,1.0,5270
ledger_failure,at_least_k,0.25,0.75,2,5,0.0,0.0,0.0,0.0,0.7517441250000001,true,1.0,2150
ledger_failure,at_least_k,0.25,0.75,3,5,0.0,0.0,0.0,0.0,0.75026275,true,1.0,2380
ledger_failure,at_least_k,0.25,0.75,4,5,0.3,0.0,0.3,0.11931825,0.887784,true,5.0,2200
