mode,family_semantics,severity,threshold_fraction,certificate_correlation,samples,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,at_least_k,0.25,0.25,0.0,2400,0.160417,0.822083,0.177917,0.822083,3.737083,0.0
ledger_failure,at_least_k,0.25,0.25,0.25,2400,0.116667,0.735417,0.264583,0.735417,3.823333,0.0
ledger_failure,at_least_k,0.25,0.25,0.5,2400,0.062917,0.8575,0.1425,0.8575,3.927917,0.0
ledger_failure,at_least_k,0.25,0.25,0.75,2400,0.0325,0.800833,0.199167,0.800833,3.98625,0.0
ledger_failure,at_least_k,0.25,0.25,1.0,2400,0.0,0.769583,0.230417,0.769583,3.742917,0.0
ledger_failure,at_least_k,0.25,0.5,0.0,2400,0.157917,0.822083,0.177917,0.822083,2.745833,0.0
ledger_failure,at_least_k,0.25,0.5,0.25,2400,0.092083,0.735417,0.264583,0.735417,2.854167,0.0
ledger_failure,at_least_k,0.25,0.5,0.5,2400,0.052083,0.8575,0.1425,0.8575,2.954167,0.0
ledger_failure,at_least_k,0.25,0.5,0.75,2400,0.028333,0.800833,0.199167,0.800833,2.97625,0.0
ledger_failure,at_least_k,0.25,0.5,1.0,2400,0.0,0.769583,0.230417,0.769583,2.78,0.0
ledger_failure,at_least_k,0.25,0.75,0.0,2400,0.055,0.725417,0.274583,0.725417,1.239167,0.0
ledger_failure,at_least_k,0.25,0.75,0.25,2400,0.029583,0.69375,0.30625,0.69375,1.224167,0.0
ledger_failure,at_least_k,0.25,0.75,0.5,2400,0.02,0.78875,0.21125,0.78875,1.349167,0.0
ledger_failure,at_least_k,0.25,0.75,0.75,2400,0.010417,0.782083,0.217917,0.782083,1.389167,0.0
ledger_failure,at_least_k,0.25,0.75,1.0,2400,0.0,0.769583,0.230417,0.769583,1.30125,0.0
ledger_failure,at_least_k,0.25,1.0,0.0,2400,0.0,0.694583,0.305417,0.694583,0.694583,0.0
ledger_failure,at_least_k,0.25,1.0,0.25,2400,0.0,0.667083,0.332917,0.667083,0.667083,0.0
ledger_failure,at_least_k,0.25,1.0,0.5,2400,0.0,0.774167,0.22583299999999998,0.774167,0.774167,0.0
ledger_failure,at_least_k,0.25,1.0,0.75,2400,0.0,0.768333,0.231667,0.768333,0.768333,0.0
ledger_failure,at_least_k,0.25,1.0,1.0,2400,0.0,0.769583,0.230417,0.769583,0.769583,0.0
ledger_failure,at_least_k,0.5,0.25,0.0,2400,0.220833,0.815417,0.184583,0.815417,2.770417,0.0
ledger_failure,at_least_k,0.5,0.25,0.25,2400,0.175833,0.675,0.325,0.675,2.606667,0.0
ledger_failure,at_least_k,0.5,0.25,0.5,2400,0.12083299999999998,0.58125,0.41875,0.58125,2.306667,0.0
ledger_failure,at_least_k,0.5,0.25,0.75,2400,0.09125,0.566667,0.43333299999999997,0.566667,2.54125,0.0
ledger_failure,at_least_k,0.5,0.25,1.0,2400,0.0,0.423333,0.576667,0.423333,2.610833,0.0
ledger_failure,at_least_k,0.5,0.5,0.0,2400,0.2075,0.795833,0.204167,0.795833,2.116667,0.0
ledger_failure,at_least_k,0.5,0.5,0.25,2400,0.159167,0.660417,0.339583,0.660417,1.922083,0.0
ledger_failure,at_least_k,0.5,0.5,0.5,2400,0.10666699999999998,0.5725,0.4275,0.5725,1.700417,0.0
ledger_failure,at_least_k,0.5,0.5,0.75,2400,0.099583,0.566667,0.43333299999999997,0.566667,1.875417,0.0
ledger_failure,at_least_k,0.5,0.5,1.0,2400,0.0,0.423333,0.576667,0.423333,1.892917,0.0
ledger_failure,at_least_k,0.5,0.75,0.0,2400,0.073333,0.635833,0.364167,0.635833,0.9725,0.0
ledger_failure,at_least_k,0.5,0.75,0.25,2400,0.0675,0.552917,0.447083,0.552917,0.8870829999999998,0.0
ledger_failure,at_least_k,0.5,0.75,0.5,2400,0.045,0.483333,0.516667,0.483333,0.7575,0.0
ledger_failure,at_least_k,0.5,0.75,0.75,2400,0.03125,0.5275,0.4725,0.5275,0.87625,0.0
ledger_failure,at_least_k,0.5,0.75,1.0,2400,0.0,0.423333,0.576667,0.423333,0.805,0.0
ledger_failure,at_least_k,0.5,1.0,0.0,2400,0.0,0.557917,0.442083,0.557917,0.557917,0.0
ledger_failure,at_least_k,0.5,1.0,0.25,2400,0.0,0.50875,0.49125,0.50875,0.50875,0.0
ledger_failure,at_least_k,0.5,1.0,0.5,2400,0.0,0.4125,0.5875,0.4125,0.4125,0.0
ledger_failure,at_least_k,0.5,1.0,0.75,2400,0.0,0.49625,0.50375,0.49625,0.49625,0.0
ledger_failure,at_least_k,0.5,1.0,1.0,2400,0.0,0.423333,0.576667,0.423333,0.423333,0.0
ledger_failure,at_least_k,0.75,0.25,0.0,2400,0.312917,0.592917,0.407083,0.592917,1.324167,0.0
