mode,family_semantics,severity,samples_per_threshold,endpoint_equivalent_within_tolerance,max_abs_endpoint_delta,certification_rescue_rate_delta,family_certification_resilience_rate_delta,family_internal_loss_rate_delta,strict_parent_loss_rate_delta,interpretation
ledger_failure,at_least_k,0.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
ledger_failure,at_least_k,0.25,2400,False,0.008833,0.000000,0.008833,-0.008833,-0.008833,cert_rescue exact (universal); small coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0088); cert_rescue unaffected — signature of marginal-failure-rate residual
ledger_failure,at_least_k,0.5,2400,False,0.115834,0.000000,-0.115834,0.115834,0.115834,cert_rescue exact (universal); substantial coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.1158); cert_rescue unaffected — signature of marginal-failure-rate residual
ledger_failure,at_least_k,0.75,2400,False,0.067667,0.000000,0.067667,-0.067667,-0.067667,cert_rescue exact (universal); moderate coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0677); cert_rescue unaffected — signature of marginal-failure-rate residual
ledger_failure,at_least_k,1.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
ledger_failure,augmented_exact_k,0.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
ledger_failure,augmented_exact_k,0.25,2400,False,0.008833,0.000000,0.008833,-0.008833,-0.008833,cert_rescue exact (universal); small coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0088); cert_rescue unaffected — signature of marginal-failure-rate residual
ledger_failure,augmented_exact_k,0.5,2400,False,0.115834,0.000000,-0.115834,0.115834,0.115834,cert_rescue exact (universal); substantial coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.1158); cert_rescue unaffected — signature of marginal-failure-rate residual
ledger_failure,augmented_exact_k,0.75,2400,False,0.067667,0.000000,0.067667,-0.067667,-0.067667,cert_rescue exact (universal); moderate coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0677); cert_rescue unaffected — signature of marginal-failure-rate residual
ledger_failure,augmented_exact_k,1.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
orientation_degradation,at_least_k,0.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
orientation_degradation,at_least_k,0.25,2400,False,0.064333,0.000000,0.064333,-0.064333,-0.064333,cert_rescue exact (universal); moderate coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0643); cert_rescue unaffected — signature of marginal-failure-rate residual
orientation_degradation,at_least_k,0.5,2400,False,0.014000,0.000000,-0.014000,0.014000,0.014000,cert_rescue exact (universal); small coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0140); cert_rescue unaffected — signature of marginal-failure-rate residual
orientation_degradation,at_least_k,0.75,2400,False,0.005000,0.000000,0.005000,-0.005000,-0.005000,cert_rescue exact (universal); small coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0050); cert_rescue unaffected — signature of marginal-failure-rate residual
orientation_degradation,at_least_k,1.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
orientation_degradation,augmented_exact_k,0.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
orientation_degradation,augmented_exact_k,0.25,2400,False,0.064333,0.000000,0.064333,-0.064333,-0.064333,cert_rescue exact (universal); moderate coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0643); cert_rescue unaffected — signature of marginal-failure-rate residual
orientation_degradation,augmented_exact_k,0.5,2400,False,0.014000,0.000000,-0.014000,0.014000,0.014000,cert_rescue exact (universal); small coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0140); cert_rescue unaffected — signature of marginal-failure-rate residual
orientation_degradation,augmented_exact_k,0.75,2400,False,0.005000,0.000000,0.005000,-0.005000,-0.005000,cert_rescue exact (universal); small coordinated drift on strict_parent_loss / family_internal_loss / family_resilience (magnitude 0.0050); cert_rescue unaffected — signature of marginal-failure-rate residual
orientation_degradation,augmented_exact_k,1.0,2400,True,0.000000,0.000000,0.000000,0.000000,0.000000,cert_rescue exact (universal); equivalent at 1e-9 tolerance
