mode,family_semantics,certification_regime,severity,threshold_fraction,certificate_correlation,samples,family_size_mean,strict_parent_cert_failure_rate,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,at_least_k,cut_level,0.25,0.25,0.0,2400,5.115,0.62875,0.189583,0.560833,0.439167,0.560833,3.366667,0.0
ledger_failure,at_least_k,cut_level,0.25,0.25,0.25,2400,5.115,0.597917,0.15875,0.560833,0.439167,0.560833,3.366667,0.0
ledger_failure,at_least_k,cut_level,0.25,0.25,0.5,2400,5.115,0.632083,0.192917,0.560833,0.439167,0.560833,3.366667,0.0
ledger_failure,at_least_k,cut_level,0.25,0.25,0.75,2400,5.115,0.58625,0.147083,0.560833,0.439167,0.560833,3.366667,0.0
ledger_failure,at_least_k,cut_level,0.25,0.25,1.0,2400,5.115,0.6125,0.173333,0.560833,0.439167,0.560833,3.366667,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,0.0,2400,3.786667,0.599167,0.16,0.560833,0.439167,0.560833,2.42,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,0.25,2400,3.786667,0.620417,0.18125,0.560833,0.439167,0.560833,2.42,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,0.5,2400,3.786667,0.595417,0.15625,0.560833,0.439167,0.560833,2.42,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,0.75,2400,3.786667,0.57625,0.137083,0.560833,0.439167,0.560833,2.42,0.0
ledger_failure,at_least_k,cut_level,0.25,0.5,1.0,2400,3.786667,0.62625,0.187083,0.560833,0.439167,0.560833,2.42,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,0.0,2400,1.733333,0.88875,0.072083,0.183333,0.816667,0.183333,0.55,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,0.25,2400,1.733333,0.904583,0.087917,0.183333,0.816667,0.183333,0.55,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,0.5,2400,1.733333,0.901667,0.085,0.183333,0.816667,0.183333,0.55,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,0.75,2400,1.733333,0.90375,0.087083,0.183333,0.816667,0.183333,0.55,0.0
ledger_failure,at_least_k,cut_level,0.25,0.75,1.0,2400,1.733333,0.896667,0.08,0.183333,0.816667,0.183333,0.55,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,0.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,0.25,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,0.5,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,0.75,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.25,1.0,1.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.5,0.25,0.0,2400,5.115,0.780417,0.34125,0.560833,0.439167,0.560833,2.0575,0.0
ledger_failure,at_least_k,cut_level,0.5,0.25,0.25,2400,5.115,0.779167,0.34,0.560833,0.439167,0.560833,2.0575,0.0
