mode,family_semantics,severity,threshold_fraction,samples,parent_shared_certification_rescue_rate,parent_shared_family_certification_resilience_rate,parent_shared_family_loss_rate,cut_level_certification_rescue_rate,cut_level_family_certification_resilience_rate,cut_level_family_loss_rate,independent_member_certification_rescue_rate,independent_member_family_certification_resilience_rate,independent_member_family_loss_rate,independent_minus_parent_rescue,independent_minus_cut_level_resilience
ledger_failure,at_least_k,0.25,0.25,36000,0.0,0.76075,0.23925,0.172333,0.560833,0.439167,0.0745,0.797083,0.202917,0.0745,0.23625
ledger_failure,at_least_k,0.25,0.5,36000,0.0,0.76075,0.23925,0.164333,0.560833,0.439167,0.066083,0.797083,0.202917,0.066083,0.23625
ledger_failure,at_least_k,0.25,0.75,36000,0.0,0.76075,0.23925,0.082417,0.183333,0.816667,0.023,0.751917,0.248083,0.023,0.568584
ledger_failure,at_least_k,0.25,1.0,36000,0.0,0.76075,0.23925,0.0,0.0,1.0,0.0,0.73475,0.26525,0.0,0.73475
ledger_failure,at_least_k,0.5,0.25,36000,0.0,0.539167,0.460833,0.323333,0.560833,0.439167,0.12175,0.612333,0.387667,0.12175,0.0515
ledger_failure,at_least_k,0.5,0.5,36000,0.0,0.539167,0.460833,0.3275,0.560833,0.439167,0.114583,0.60375,0.39625,0.114583,0.042917
ledger_failure,at_least_k,0.5,0.75,36000,0.0,0.539167,0.460833,0.09975,0.183333,0.816667,0.043417,0.524583,0.475417,0.043417,0.34125
ledger_failure,at_least_k,0.5,1.0,36000,0.0,0.539167,0.460833,0.0,0.0,1.0,0.0,0.47975,0.52025,0.0,0.47975
ledger_failure,at_least_k,0.75,0.25,36000,0.0,0.222333,0.777667,0.307583,0.381667,0.618333,0.160583,0.429333,0.570667,0.160583,0.047666
ledger_failure,at_least_k,0.75,0.5,36000,0.0,0.222333,0.777667,0.297083,0.381667,0.618333,0.133667,0.4085,0.5915,0.133667,0.026833
ledger_failure,at_least_k,0.75,0.75,36000,0.0,0.222333,0.777667,0.144667,0.183333,0.816667,0.05075,0.320917,0.679083,0.05075,0.137584
ledger_failure,at_least_k,0.75,1.0,36000,0.0,0.222333,0.777667,0.0,0.0,1.0,0.0,0.260917,0.739083,0.0,0.260917
ledger_failure,at_least_k,1.0,0.25,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ledger_failure,at_least_k,1.0,1.0,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ledger_failure,augmented_exact_k,0.25,0.25,36000,0.0,0.76075,0.23925,0.195833,0.560833,0.439167,0.0665,0.797083,0.202917,0.0665,0.23625
ledger_failure,augmented_exact_k,0.25,0.5,36000,0.0,0.76075,0.23925,0.179917,0.560833,0.439167,0.0645,0.797083,0.202917,0.0645,0.23625
ledger_failure,augmented_exact_k,0.25,0.75,36000,0.0,0.76075,0.23925,0.082417,0.183333,0.816667,0.023,0.751917,0.248083,0.023,0.568584
ledger_failure,augmented_exact_k,0.25,1.0,36000,0.0,0.76075,0.23925,0.0,0.0,1.0,0.0,0.73475,0.26525,0.0,0.73475
ledger_failure,augmented_exact_k,0.5,0.25,36000,0.0,0.539167,0.460833,0.32325,0.560833,0.439167,0.110917,0.601167,0.398833,0.110917,0.040334
ledger_failure,augmented_exact_k,0.5,0.5,36000,0.0,0.539167,0.460833,0.31625,0.560833,0.439167,0.110417,0.60375,0.39625,0.110417,0.042917
