run_seed,evaluations,support_width_classes,certification_rescue_rate,family_certification_resilience_rate,metric_artifact_risk_rate
17,40320,"[1, 2, 3, 4]",0.034673,0.1938,0.0
18,40320,"[1, 2, 3, 4]",0.034772,0.196726,0.0
19,40320,"[1, 2, 3, 4]",0.032192,0.19308,0.0
20,40320,"[1, 2, 3, 4]",0.023512,0.179911,0.0
21,40320,"[1, 2, 3, 4]",0.035144,0.199926,0.0
22,40320,"[1, 2, 3, 4]",0.028869,0.18693,0.0
23,40320,"[1, 2, 3, 4]",0.03631,0.202183,0.0
24,40320,"[1, 2, 3, 4]",0.031002,0.192808,0.0
25,40320,"[1, 2, 3]",0.026885,0.184772,0.0
26,40320,"[1, 2, 4]",0.040104,0.208879,0.0
27,40320,"[1, 2, 3, 4]",0.03683,0.200794,0.0
28,40320,"[1, 2, 3, 4]",0.032862,0.192956,0.0
29,40320,"[1, 2, 3, 4]",0.029613,0.190055,0.0
30,40320,"[1, 2, 3, 4]",0.032887,0.195982,0.0
31,40320,"[1, 2, 3, 4]",0.030283,0.185714,0.0
32,40320,"[1, 2, 3]",0.028051,0.188194,0.0
33,40320,"[1, 2, 3, 4]",0.030283,0.191691,0.0
34,40320,"[1, 2, 3, 4]",0.034772,0.19318,0.0
35,40320,"[1, 3, 4]",0.032515,0.190675,0.0
36,40320,"[1, 2, 3, 4]",0.035689,0.199405,0.0
37,40320,"[1, 2, 3, 4]",0.028423,0.183482,0.0
38,40320,"[1, 2, 3, 4]",0.03874,0.202356,0.0
39,40320,"[1, 2, 3, 4]",0.035243,0.196577,0.0
40,40320,"[1, 2, 3, 4]",0.025521,0.187475,0.0
41,40320,"[1, 2, 3, 4]",0.024876,0.178993,0.0
42,40320,"[1, 2, 3, 4]",0.032664,0.200868,0.0
43,40320,"[1, 2, 3, 4]",0.030531,0.189633,0.0
44,40320,"[1, 2, 3, 4]",0.029563,0.191741,0.0
45,40320,"[1, 2, 3, 4]",0.041617,0.205729,0.0
46,40320,"[1, 2, 3, 4]",0.023884,0.178596,0.0
47,40320,"[1, 2, 3, 4]",0.032416,0.19561,0.0
48,40320,"[1, 2, 3, 4]",0.033606,0.202431,0.0
49,40320,"[1, 2, 3, 4]",0.038418,0.201563,0.0
50,40320,"[1, 2, 3, 4]",0.032019,0.191493,0.0
51,40320,"[1, 2, 3, 4]",0.030258,0.192262,0.0
52,40320,"[1, 2, 3, 4]",0.035268,0.193155,0.0
53,40320,"[1, 2, 3, 4]",0.033953,0.200521,0.0
54,40320,"[1, 3, 4]",0.027207,0.183557,0.0
55,40320,"[1, 4]",0.034449,0.197768,0.0
56,40320,"[1, 2, 3, 4]",0.03683,0.201314,0.0
57,40320,"[1, 2, 3, 4]",0.035268,0.201215,0.0
58,40320,"[1, 2, 3]",0.021329,0.176711,0.0
59,40320,"[1, 2, 3, 4]",0.03001,0.190575,0.0
60,40320,"[1, 2, 3, 4]",0.027207,0.184648,0.0
61,40320,"[1, 2, 3, 4]",0.038591,0.200595,0.0
62,40320,"[1, 2, 3, 4]",0.025546,0.179142,0.0
63,40320,"[1, 2, 3, 4]",0.036954,0.202951,0.0
64,40320,"[1, 2, 3, 4]",0.030035,0.192212,0.0
65,40320,"[1, 2, 3, 4]",0.040799,0.204415,0.0
66,40320,"[1, 2, 3, 4]",0.038666,0.201339,0.0
