family_semantics,certification_regime,threshold_fraction,samples,strict_rescue_rate,family_certification_resilience_rate,certification_rescue_rate,selector_guardrail_passed
at_least_k,cut_level,0.25,12000,0.0,0.0,0.0,True
at_least_k,cut_level,0.5,12000,0.0,0.0,0.0,True
at_least_k,cut_level,0.75,12000,0.0,0.0,0.0,True
at_least_k,cut_level,1.0,12000,0.0,0.0,0.0,True
at_least_k,independent_member,0.25,12000,0.0,0.0,0.0,True
at_least_k,independent_member,0.5,12000,0.0,0.0,0.0,True
at_least_k,independent_member,0.75,12000,0.0,0.0,0.0,True
at_least_k,independent_member,1.0,12000,0.0,0.0,0.0,True
at_least_k,parent_shared,0.25,12000,0.0,0.0,0.0,True
at_least_k,parent_shared,0.5,12000,0.0,0.0,0.0,True
at_least_k,parent_shared,0.75,12000,0.0,0.0,0.0,True
at_least_k,parent_shared,1.0,12000,0.0,0.0,0.0,True
augmented_exact_k,cut_level,0.25,12000,0.0,0.0,0.0,True
augmented_exact_k,cut_level,0.5,12000,0.0,0.0,0.0,True
augmented_exact_k,cut_level,0.75,12000,0.0,0.0,0.0,True
augmented_exact_k,cut_level,1.0,12000,0.0,0.0,0.0,True
augmented_exact_k,independent_member,0.25,12000,0.0,0.0,0.0,True
augmented_exact_k,independent_member,0.5,12000,0.0,0.0,0.0,True
augmented_exact_k,independent_member,0.75,12000,0.0,0.0,0.0,True
augmented_exact_k,independent_member,1.0,12000,0.0,0.0,0.0,True
augmented_exact_k,parent_shared,0.25,12000,0.0,0.0,0.0,True
augmented_exact_k,parent_shared,0.5,12000,0.0,0.0,0.0,True
augmented_exact_k,parent_shared,0.75,12000,0.0,0.0,0.0,True
augmented_exact_k,parent_shared,1.0,12000,0.0,0.0,0.0,True
