analysis,ablated_component,mode,family_semantics,samples,low_rate,medium_rate,high_rate,low_samples,medium_samples,high_samples,bin_count,monotone_low_to_high,low_high_gap,mean_weighted_overlap
component_ablation,none,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.834185
component_ablation,none,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.81406
component_ablation,none,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.834185
component_ablation,none,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.81406
component_ablation,none,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.834185
component_ablation,none,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.81406
component_ablation,support,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.839997
component_ablation,support,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.820652
component_ablation,support,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.839997
component_ablation,support,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.820652
component_ablation,support,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.839997
component_ablation,support,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.820652
component_ablation,frontier,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.839229
component_ablation,frontier,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.81978
component_ablation,frontier,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.839229
component_ablation,frontier,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.81978
component_ablation,frontier,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.839229
component_ablation,frontier,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.81978
component_ablation,orientation,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.839997
component_ablation,orientation,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.820652
component_ablation,orientation,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.839997
component_ablation,orientation,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.820652
component_ablation,orientation,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.839997
component_ablation,orientation,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.820652
component_ablation,ledger,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.821273
component_ablation,ledger,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.799698
component_ablation,ledger,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.821273
component_ablation,ledger,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.799698
component_ablation,ledger,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.821273
component_ablation,ledger,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.799698
component_ablation,causal_past,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.832601
component_ablation,causal_past,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.812327
component_ablation,causal_past,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.832601
component_ablation,causal_past,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.812327
component_ablation,causal_past,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.832601
component_ablation,causal_past,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.812327
component_ablation,bdg_kernel,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.83336
component_ablation,bdg_kernel,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.8131
component_ablation,bdg_kernel,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.83336
component_ablation,bdg_kernel,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.8131
component_ablation,bdg_kernel,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.83336
component_ablation,bdg_kernel,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.8131
component_ablation,firewall,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.833052
component_ablation,firewall,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.812482
component_ablation,firewall,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.833052
component_ablation,firewall,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.812482
component_ablation,firewall,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.833052
component_ablation,firewall,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.812482
