mode,family_semantics,severity,threshold_fraction,native_overlap_bin,native_certification_rescue_rate,parent_shared_certification_rescue_rate,rescue_delta_native_minus_parent,native_family_certification_resilience_rate,parent_shared_family_certification_resilience_rate,resilience_delta_native_minus_parent,cert_rescue_parent_zero
ledger_failure,at_least_k,0.0,0.25,high,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,at_least_k,0.0,0.25,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,at_least_k,0.0,0.5,high,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,at_least_k,0.0,0.5,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,at_least_k,0.0,0.75,high,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,at_least_k,0.0,0.75,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,at_least_k,0.0,1.0,high,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,at_least_k,0.25,0.25,high,0.0,0.0,0.0,0.892857,0.714286,0.178571,True
ledger_failure,at_least_k,0.25,0.25,medium,0.3,0.0,0.3,1.0,0.55,0.45,True
ledger_failure,at_least_k,0.25,0.5,high,0.0,0.0,0.0,0.892857,0.714286,0.178571,True
ledger_failure,at_least_k,0.25,0.5,medium,0.1,0.0,0.1,0.9,0.55,0.35,True
ledger_failure,at_least_k,0.25,0.75,high,0.0,0.0,0.0,0.9,0.725,0.175,True
ledger_failure,at_least_k,0.25,0.75,medium,0.0,0.0,0.0,0.875,0.25,0.625,True
ledger_failure,at_least_k,0.25,1.0,high,0.0,0.0,0.0,0.875,0.645833,0.229167,True
ledger_failure,at_least_k,0.5,0.25,high,0.0,0.0,0.0,0.25,0.535714,-0.285714,True
ledger_failure,at_least_k,0.5,0.25,medium,0.25,0.0,0.25,0.75,0.65,0.1,True
ledger_failure,at_least_k,0.5,0.5,high,0.0,0.0,0.0,0.25,0.535714,-0.285714,True
ledger_failure,at_least_k,0.5,0.5,medium,0.2,0.0,0.2,0.6,0.65,-0.05,True
ledger_failure,at_least_k,0.5,0.75,high,0.0,0.0,0.0,0.275,0.6,-0.325,True
ledger_failure,at_least_k,0.5,0.75,medium,0.125,0.0,0.125,0.625,0.5,0.125,True
ledger_failure,at_least_k,0.5,1.0,high,0.0,0.0,0.0,0.291667,0.583333,-0.291666,True
ledger_failure,at_least_k,0.75,0.25,high,0.0,0.0,0.0,0.535714,0.0,0.535714,True
