mode,family_semantics,component,baseline_low_high_gap,ablated_low_high_gap,component_importance_score,interpretation
ledger_failure,at_least_k,support,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,at_least_k,frontier,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,at_least_k,orientation,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,at_least_k,ledger,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,at_least_k,causal_past,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,at_least_k,bdg_kernel,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,at_least_k,firewall,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,augmented_exact_k,support,0.175109,0.175109,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,augmented_exact_k,frontier,0.175109,0.175109,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,augmented_exact_k,orientation,0.175109,0.175109,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,augmented_exact_k,ledger,0.175109,0.175109,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,augmented_exact_k,causal_past,0.175109,0.175109,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,augmented_exact_k,bdg_kernel,0.175109,0.175109,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
ledger_failure,augmented_exact_k,firewall,0.175109,0.175109,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,at_least_k,support,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,at_least_k,frontier,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,at_least_k,orientation,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,at_least_k,ledger,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,at_least_k,causal_past,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,at_least_k,bdg_kernel,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,at_least_k,firewall,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,augmented_exact_k,support,0.170306,0.170306,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,augmented_exact_k,frontier,0.170306,0.170306,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,augmented_exact_k,orientation,0.170306,0.170306,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,augmented_exact_k,ledger,0.170306,0.170306,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,augmented_exact_k,causal_past,0.170306,0.170306,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,augmented_exact_k,bdg_kernel,0.170306,0.170306,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
orientation_degradation,augmented_exact_k,firewall,0.170306,0.170306,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,at_least_k,support,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,at_least_k,frontier,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,at_least_k,orientation,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,at_least_k,ledger,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,at_least_k,causal_past,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,at_least_k,bdg_kernel,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,at_least_k,firewall,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,augmented_exact_k,support,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,augmented_exact_k,frontier,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,augmented_exact_k,orientation,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,augmented_exact_k,ledger,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,augmented_exact_k,causal_past,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,augmented_exact_k,bdg_kernel,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
selector_stress,augmented_exact_k,firewall,0.0,0.0,0.0,positive_score_means_component_removal_weakened_low_high_rescue_gap
