analysis,weight_profile,mode,family_semantics,samples,low_rate,medium_rate,high_rate,low_samples,medium_samples,high_samples,bin_count,monotone_low_to_high,low_high_gap,mean_weighted_overlap
weight_sensitivity,balanced,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.834185
weight_sensitivity,balanced,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.81406
weight_sensitivity,balanced,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.834185
weight_sensitivity,balanced,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.81406
weight_sensitivity,balanced,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.834185
weight_sensitivity,balanced,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.81406
weight_sensitivity,support_frontier_heavy,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.825526
weight_sensitivity,support_frontier_heavy,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.804313
weight_sensitivity,support_frontier_heavy,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.825526
weight_sensitivity,support_frontier_heavy,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.804313
weight_sensitivity,support_frontier_heavy,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.825526
weight_sensitivity,support_frontier_heavy,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.804313
weight_sensitivity,ledger_heavy,ledger_failure,at_least_k,48000,,0.132615,0.005067,0,13460,34540,2,True,,0.855476
weight_sensitivity,ledger_heavy,ledger_failure,augmented_exact_k,48000,0.194091,0.124778,0.005067,2200,11260,34540,3,True,0.189024,0.838041
weight_sensitivity,ledger_heavy,orientation_degradation,at_least_k,48000,,0.133135,0.005761,0,13460,34540,2,True,,0.855476
weight_sensitivity,ledger_heavy,orientation_degradation,augmented_exact_k,48000,0.182273,0.124156,0.005761,2200,11260,34540,3,True,0.176511,0.838041
weight_sensitivity,ledger_heavy,selector_stress,at_least_k,48000,,0.0,0.0,0,13460,34540,2,True,,0.855476
weight_sensitivity,ledger_heavy,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,2200,11260,34540,3,True,0.0,0.838041
weight_sensitivity,orientation_heavy,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.82818
weight_sensitivity,orientation_heavy,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.807495
weight_sensitivity,orientation_heavy,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.82818
weight_sensitivity,orientation_heavy,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.807495
weight_sensitivity,orientation_heavy,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.82818
weight_sensitivity,orientation_heavy,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.807495
weight_sensitivity,bdg_firewall_heavy,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.839884
weight_sensitivity,bdg_firewall_heavy,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.820965
weight_sensitivity,bdg_firewall_heavy,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.839884
weight_sensitivity,bdg_firewall_heavy,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.820965
weight_sensitivity,bdg_firewall_heavy,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.839884
weight_sensitivity,bdg_firewall_heavy,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.820965
weight_sensitivity,causal_past_heavy,ledger_failure,at_least_k,48000,,0.12516,0.0,0,15660,32340,2,True,,0.839001
weight_sensitivity,causal_past_heavy,ledger_failure,augmented_exact_k,48000,0.175109,0.108755,0.0,4580,11080,32340,3,True,0.175109,0.819554
weight_sensitivity,causal_past_heavy,orientation_degradation,at_least_k,48000,,0.127139,0.0,0,15660,32340,2,True,,0.839001
weight_sensitivity,causal_past_heavy,orientation_degradation,augmented_exact_k,48000,0.170306,0.109928,0.0,4580,11080,32340,3,True,0.170306,0.819554
weight_sensitivity,causal_past_heavy,selector_stress,at_least_k,48000,,0.0,0.0,0,15660,32340,2,True,,0.839001
weight_sensitivity,causal_past_heavy,selector_stress,augmented_exact_k,48000,0.0,0.0,0.0,4580,11080,32340,3,True,0.0,0.819554
