artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-NATIVE-CERT-ROBUST-SOURCE-v0_9_1,ra_native_overlap_robustness_analysis.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-CERT-ROBUST-001;RA-SIM-NATIVE-CERT-ROBUST-002;RA-SIM-NATIVE-CERT-ROBUST-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/analysis/ra_native_overlap_robustness_analysis.py,2b44db8bb6823ff681168b01eec7f1b12eaca1fde24a81bc90d215e2df54c497,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/analysis/ra_native_overlap_robustness_analysis.py,Pure-analysis layer over v0.9; installed SHA matches packet original (no edits required).,active RAKB v0.5 14-column artifact upsert,analysis/ra_native_overlap_robustness_analysis.py,analysis_source
ART-SIM-NATIVE-CERT-ROBUST-REPORT-v0_9_1,RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_Report_May05_2026.md,md,canonical_run_confirmed,analysis_report,RA-SIM-NATIVE-CERT-ROBUST-001;RA-SIM-NATIVE-CERT-ROBUST-002;RA-SIM-NATIVE-CERT-ROBUST-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_Report_May05_2026.md,1569f7b14b4d3a308bee1bf784b09421f9d5fb3a7b1fbd40f85da007f722e444,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_Report_May05_2026.md,Packet narrative report.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_Report_May05_2026.md,analysis_report
ART-SIM-NATIVE-CERT-ROBUST-VALIDATION-v0_9_1,validation_unittest_v0_9_1.log,log,canonical_run_confirmed,validation_log,RA-SIM-NATIVE-CERT-ROBUST-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/reports/validation_unittest_v0_9_1.log,afb12d845086a46bdd954943213ee71edb41e89b31a2f5da5fac403a01a5a3bd,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/reports/validation_unittest_v0_9_1.log,4 unit tests covering weighted_overlap / component_ablation / run_analysis / external_alignment_optional. Re-confirmed locally on 2026-05-05.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v0_9_1.log,validation_log
ART-SIM-NATIVE-CERT-ROBUST-COMPONENT-ABLATION-v0_9_1,ra_native_overlap_component_ablation_v0_9_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-ROBUST-001;RA-SIM-NATIVE-CERT-ROBUST-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_component_ablation_v0_9_1.csv,98155fb278eb6e6ab51f944e090238e3e05735395a48d0c5df744a0f1e4b7067,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_component_ablation_v0_9_1.csv,Canonical 100-seed v0.9 ablation; ablation_rows=48; ablation_monotone_pass_rate=1.0.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_component_ablation_v0_9_1.csv,analysis_output
ART-SIM-NATIVE-CERT-ROBUST-WEIGHTS-v0_9_1,ra_native_overlap_weight_sensitivity_v0_9_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-ROBUST-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_weight_sensitivity_v0_9_1.csv,5abbb8331eb4aec8cb121ed3b54389dde5ecbabe120e13f0735792720299ddfa,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_weight_sensitivity_v0_9_1.csv,Canonical 6-profile sensitivity sweep; weight_sensitivity_rows=36; weight_sensitivity_monotone_pass_rate=1.0; balanced_low_high_gap_mean=0.0576.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_weight_sensitivity_v0_9_1.csv,analysis_output
ART-SIM-NATIVE-CERT-ROBUST-ATTRIBUTION-v0_9_1,ra_native_overlap_signal_attribution_v0_9_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-ROBUST-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_signal_attribution_v0_9_1.csv,c36d7db9e3d2e60c8045903fe200bbd6d5a31d5775073f4351344394943ff1d4,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_signal_attribution_v0_9_1.csv,Component-importance scores (baseline minus ablated low-high gap) per component / mode / family_semantics.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_signal_attribution_v0_9_1.csv,analysis_output
ART-SIM-NATIVE-CERT-ROBUST-ALIGNMENT-v0_9_1,ra_native_overlap_external_correlation_alignment_v0_9_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-ROBUST-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_external_correlation_alignment_v0_9_1.csv,9032ed72b33e9ca2f6fbaf312e24341e16aefa1933ab4d81feff0eca37605925,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_external_correlation_alignment_v0_9_1.csv,Cross-validation against v0.8.1 cert-correlation AUC (ra_cert_resilience_auc_by_mode_v0_8_1.csv); native AUC proxies 0.079-0.105 vs external 0.044-0.049.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_external_correlation_alignment_v0_9_1.csv,analysis_output
ART-SIM-NATIVE-CERT-ROBUST-ENDPOINT-v0_9_1,ra_native_overlap_crn_endpoint_audit_v0_9_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-ROBUST-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_crn_endpoint_audit_v0_9_1.csv,4e7481baebe00ebeca28f82bab3f7b60f5729139a48785f151e833fcd4497863,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_crn_endpoint_audit_v0_9_1.csv,Native-vs-parent-shared endpoint audit; endpoint_rescue_max_delta_native_minus_parent=0.5; endpoint_resilience_max_delta_native_minus_parent=0.667.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_crn_endpoint_audit_v0_9_1.csv,analysis_output
ART-SIM-NATIVE-CERT-ROBUST-SUMMARY-MD-v0_9_1,ra_native_overlap_robustness_summary_v0_9_1.md,md,canonical_run_validated,analysis_summary,RA-SIM-NATIVE-CERT-ROBUST-001;RA-SIM-NATIVE-CERT-ROBUST-002;RA-SIM-NATIVE-CERT-ROBUST-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_robustness_summary_v0_9_1.md,5bece9060595cee441c7e59e6198026ba6d7dc07b0441eef38d4178c54e81fa9,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_robustness_summary_v0_9_1.md,Canonical-run summary md (anchors the modeling-guardrail framing entry).,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_robustness_summary_v0_9_1.md,analysis_summary
ART-SIM-NATIVE-CERT-ROBUST-STATE-v0_9_1,ra_native_overlap_robustness_state_v0_9_1.json,json,canonical_run_validated,analysis_summary,RA-SIM-NATIVE-CERT-ROBUST-001;RA-SIM-NATIVE-CERT-ROBUST-002;RA-SIM-NATIVE-CERT-ROBUST-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_robustness_state_v0_9_1.json,007c33770de387edc76759eaf3b5eb9dc19c213452a2b2df3d3147540bcf4135,69ef51f88b6ddff88310dd1211cc4cebc7578dfa,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_1_NativeOverlapRobustness_May05_2026/outputs/ra_native_overlap_robustness_state_v0_9_1.json,Canonical-run summary state JSON; carries top component-attribution rows.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_robustness_state_v0_9_1.json,analysis_summary
