artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-NATIVE-CERT-CALIB-SOURCE-v0_9_2,ra_native_overlap_calibration_audit.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-CERT-CALIB-001;RA-SIM-NATIVE-CERT-CALIB-002;RA-SIM-NATIVE-CERT-CALIB-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/analysis/ra_native_overlap_calibration_audit.py,71fee06b6f9eaaf6045d8774f90d4311e551e2d7e91bc7575a9c90f7623fc5f4,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/analysis/ra_native_overlap_calibration_audit.py,Pure-analysis layer over v0.9 + v0.8.1; installed SHA matches packet original (no edits required).,active RAKB v0.5 14-column artifact upsert,analysis/ra_native_overlap_calibration_audit.py,analysis_source
ART-SIM-NATIVE-CERT-CALIB-REPORT-v0_9_2,RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_Report_May05_2026.md,md,canonical_run_confirmed,analysis_report,RA-SIM-NATIVE-CERT-CALIB-001;RA-SIM-NATIVE-CERT-CALIB-002;RA-SIM-NATIVE-CERT-CALIB-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_Report_May05_2026.md,b51051ad250966036c4e4ebab30eeb7b55196a9e82f08b331af79cf2bba86aba,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_Report_May05_2026.md,Packet narrative report.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_Report_May05_2026.md,analysis_report
ART-SIM-NATIVE-CERT-CALIB-VALIDATION-v0_9_2,validation_unittest_v0_9_2.log,log,canonical_run_confirmed,validation_log,RA-SIM-NATIVE-CERT-CALIB-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/reports/validation_unittest_v0_9_2.log,76e84edd74a3771ac441c23039939e49f49ceb509088f3af20c06fdb8c7ff6f1,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/reports/validation_unittest_v0_9_2.log,4 unit tests covering signal_carrier / inverse_external_correlation / ledger_atleastk_zero_baseline / end_to_end. Re-confirmed locally on 2026-05-05.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v0_9_2.log,validation_log
ART-SIM-NATIVE-CERT-CALIB-SEMANTICS-AUDIT-v0_9_2,ra_native_overlap_semantics_audit_v0_9_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-CALIB-001;RA-SIM-NATIVE-CERT-CALIB-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_semantics_audit_v0_9_2.csv,8d8280d40f81108a113fc38e4399d9eed00094e60c8fb0a70057836dac0126e5,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_semantics_audit_v0_9_2.csv,Per-cell signal_status + v1 recommendation table; 4 rows (2 modes x 2 semantics).,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_semantics_audit_v0_9_2.csv,analysis_output
ART-SIM-NATIVE-CERT-CALIB-LEDGER-AUDIT-v0_9_2,ra_ledger_atleastk_zero_baseline_audit_v0_9_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-CALIB-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_ledger_atleastk_zero_baseline_audit_v0_9_2.csv,283802bff459582f26e6bf29ed4c22d90e90317d59bb95335c7487a6fdb0cd41,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_ledger_atleastk_zero_baseline_audit_v0_9_2.csv,Width-stratified ledger / at_least_k slices; native_bin_summary rows confirm at_least_k zero-baseline classification is "insufficient_bins" not zero_baseline_or_no_gap.,active RAKB v0.5 14-column artifact upsert,outputs/ra_ledger_atleastk_zero_baseline_audit_v0_9_2.csv,analysis_output
ART-SIM-NATIVE-CERT-CALIB-CURVE-v0_9_2,ra_native_overlap_calibration_curve_v0_9_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-CALIB-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_calibration_curve_v0_9_2.csv,3e5f1005e1b29b24ac8b2917b12701f827d96c3766262fb8b69680f5b2ddd989,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_calibration_curve_v0_9_2.csv,Per-bin calibration table; mean residual=0.0464 max=0.1288; regimes: 4 close_rate_match / 4 qualitative_rate_match / 2 steeper_or_uncalibrated_native_curve.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_calibration_curve_v0_9_2.csv,analysis_output
ART-SIM-NATIVE-CERT-CALIB-MAPPING-v0_9_2,ra_native_vs_external_correlation_mapping_v0_9_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-CALIB-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_vs_external_correlation_mapping_v0_9_2.csv,7ea2b200e19fa043572fb65f72057c7bde9c7f9388b2773bcdc3582bb266da14,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_vs_external_correlation_mapping_v0_9_2.csv,Per-cell native vs external rescue-AUC and rescue-decay proxies; 4/4 cells qualitative_alignment=true; native curves uniformly steeper.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_vs_external_correlation_mapping_v0_9_2.csv,analysis_output
ART-SIM-NATIVE-CERT-CALIB-SIGNAL-CARRIERS-v0_9_2,ra_family_semantics_signal_carriers_v0_9_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-CALIB-001;RA-SIM-NATIVE-CERT-CALIB-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_family_semantics_signal_carriers_v0_9_2.csv,e32dbd1a62dc3b789c352e39c205dfd94e9a84761d18fb7d288941027b8a602c,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_family_semantics_signal_carriers_v0_9_2.csv,Signal-status by semantics; augmented_exact_k=strong_low_overlap_rescue_signal x2; at_least_k=insufficient_bins x2.,active RAKB v0.5 14-column artifact upsert,outputs/ra_family_semantics_signal_carriers_v0_9_2.csv,analysis_output
ART-SIM-NATIVE-CERT-CALIB-V1-SUMMARY-MD-v0_9_2,ra_native_overlap_v1_candidate_summary_v0_9_2.md,md,canonical_run_validated,analysis_summary,RA-SIM-NATIVE-CERT-CALIB-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_v1_candidate_summary_v0_9_2.md,c9ad156180ebc25f460ed17be7b68a8bd0217ef8127a7efec3d44a4a74749f99,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_v1_candidate_summary_v0_9_2.md,Canonical-run v1 candidate posture (anchors the modeling-guardrail framing entry).,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_v1_candidate_summary_v0_9_2.md,analysis_summary
ART-SIM-NATIVE-CERT-CALIB-V1-SUMMARY-CSV-v0_9_2,ra_native_overlap_v1_candidate_summary_v0_9_2.csv,csv,canonical_run_validated,analysis_summary,RA-SIM-NATIVE-CERT-CALIB-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_v1_candidate_summary_v0_9_2.csv,187ee8383bdcd855cd3f03efd1a0cbebe89d9f773188afd2f102b6321a9640e9,92b43bbead3abf5eccb2270089424bfbe751fea7,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026/outputs/ra_native_overlap_v1_candidate_summary_v0_9_2.csv,Single-row canonical summary table.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_v1_candidate_summary_v0_9_2.csv,analysis_summary
