native_certification_regime,mode,family_semantics,severity,threshold_fraction,native_overlap_bin,overlap_weight_profile,samples,support_width_count,mean_support_width,mean_family_size,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,strict_parent_loss_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta
native_overlap_induced,ledger_failure,at_least_k,0.0,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.0,0.25,medium,balanced,1346,3,3.007429,8.337296,0.4263,0.4263,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.0,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.0,0.5,medium,balanced,1346,3,3.007429,5.968796,0.505526,0.505526,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.0,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.0,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.0,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.25,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.837761,0.162239,0.162239,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.25,0.25,medium,balanced,1346,3,3.007429,8.337296,0.4263,0.4263,0.14636,0.906389,0.093611,0.23997,1.0,0.0,-0.14636
native_overlap_induced,ledger_failure,at_least_k,0.25,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.837761,0.162239,0.162239,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.25,0.5,medium,balanced,1346,3,3.007429,5.968796,0.505526,0.505526,0.107727,0.874443,0.125557,0.233284,1.0,0.0,-0.107727
native_overlap_induced,ledger_failure,at_least_k,0.25,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.001996,0.780439,0.219561,0.221557,1.0,0.0,-0.001996
native_overlap_induced,ledger_failure,at_least_k,0.25,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.073232,0.830808,0.169192,0.242424,1.0,0.0,-0.073232
native_overlap_induced,ledger_failure,at_least_k,0.25,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.769583,0.230417,0.230417,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,0.5,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.287476,0.712524,0.712524,1.0,0.0,0.0
