run_seed,evaluations,support_width_classes,overlap_bins,mean_induced_certificate_correlation,certification_rescue_rate,family_certification_resilience_rate
17,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.82309,0.016875,0.251458
18,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.808949,0.016875,0.250625
19,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.80854,0.020833,0.25625
20,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.876577,0.011875,0.257708
21,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.807909,0.019167,0.265
22,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.860696,0.013958,0.255625
23,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.805663,0.01875,0.258542
24,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.827387,0.017292,0.258958
25,4800,"[1, 2, 3]","[""high"", ""low"", ""medium""]",0.836347,0.01125,0.247292
26,4800,"[1, 2, 4]","[""high"", ""low"", ""medium""]",0.772279,0.026042,0.253125
27,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.807661,0.01875,0.256875
28,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.821105,0.015,0.24875
29,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.843442,0.012292,0.243333
30,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.821835,0.019375,0.264167
31,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.839074,0.01875,0.242292
32,4800,"[1, 2, 3]","[""high"", ""low"", ""medium""]",0.818802,0.019167,0.249375
33,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.819255,0.01625,0.235208
34,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.810257,0.019375,0.255833
35,4800,"[1, 3, 4]","[""high"", ""low"", ""medium""]",0.847241,0.015417,0.251458
36,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.81916,0.01625,0.244792
37,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.85797,0.01625,0.237083
38,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.812675,0.01875,0.255625
39,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.796868,0.01625,0.236042
40,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.828061,0.015625,0.246667
41,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.861244,0.01125,0.234583
42,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.791833,0.018333,0.259792
