mode,family_semantics,severity,threshold_fraction,native_overlap_bin,native_mean_induced_certificate_correlation,native_certification_rescue_rate,parent_shared_certification_rescue_rate,native_minus_parent_rescue,native_family_certification_resilience_rate,parent_shared_family_certification_resilience_rate,native_minus_parent_resilience
ledger_failure,at_least_k,0.0,0.25,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,0.0,0.25,medium,0.447673,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,0.0,0.5,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,0.0,0.5,medium,0.515396,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,0.0,0.75,high,0.983836,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,0.0,0.75,medium,0.652244,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,0.0,1.0,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,0.25,0.25,high,1.0,0.0,0.0,0.0,0.892857,0.714286,0.178571
ledger_failure,at_least_k,0.25,0.25,medium,0.447673,0.3,0.0,0.3,1.0,0.55,0.45
ledger_failure,at_least_k,0.25,0.5,high,1.0,0.0,0.0,0.0,0.892857,0.714286,0.178571
ledger_failure,at_least_k,0.25,0.5,medium,0.515396,0.1,0.0,0.1,0.9,0.55,0.35
ledger_failure,at_least_k,0.25,0.75,high,0.983836,0.0,0.0,0.0,0.9,0.725,0.175
ledger_failure,at_least_k,0.25,0.75,medium,0.652244,0.0,0.0,0.0,0.875,0.25,0.625
ledger_failure,at_least_k,0.25,1.0,high,1.0,0.0,0.0,0.0,0.875,0.645833,0.229167
ledger_failure,at_least_k,0.5,0.25,high,1.0,0.0,0.0,0.0,0.25,0.535714,-0.285714
ledger_failure,at_least_k,0.5,0.25,medium,0.447673,0.25,0.0,0.25,0.75,0.65,0.1
ledger_failure,at_least_k,0.5,0.5,high,1.0,0.0,0.0,0.0,0.25,0.535714,-0.285714
ledger_failure,at_least_k,0.5,0.5,medium,0.515396,0.2,0.0,0.2,0.6,0.65,-0.05
ledger_failure,at_least_k,0.5,0.75,high,0.983836,0.0,0.0,0.0,0.275,0.6,-0.325
ledger_failure,at_least_k,0.5,0.75,medium,0.652244,0.125,0.0,0.125,0.625,0.5,0.125
ledger_failure,at_least_k,0.5,1.0,high,1.0,0.0,0.0,0.0,0.291667,0.583333,-0.291666
ledger_failure,at_least_k,0.75,0.25,high,1.0,0.0,0.0,0.0,0.535714,0.0,0.535714
ledger_failure,at_least_k,0.75,0.25,medium,0.447673,0.25,0.0,0.25,0.6,0.25,0.35
ledger_failure,at_least_k,0.75,0.5,high,1.0,0.0,0.0,0.0,0.535714,0.0,0.535714
ledger_failure,at_least_k,0.75,0.5,medium,0.515396,0.25,0.0,0.25,0.35,0.25,0.1
ledger_failure,at_least_k,0.75,0.75,high,0.983836,0.0,0.0,0.0,0.475,0.05,0.425
ledger_failure,at_least_k,0.75,0.75,medium,0.652244,0.125,0.0,0.125,0.25,0.375,-0.125
ledger_failure,at_least_k,0.75,1.0,high,1.0,0.0,0.0,0.0,0.375,0.104167,0.270833
ledger_failure,at_least_k,1.0,0.25,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.25,medium,0.447673,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,medium,0.515396,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,high,0.983836,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,medium,0.652244,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,1.0,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,0.25,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,0.25,low,0.254402,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,0.25,medium,0.436588,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,0.5,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,0.5,medium,0.472432,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,0.75,high,0.983836,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,0.75,medium,0.652244,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.0,1.0,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.25,0.25,high,1.0,0.0,0.0,0.0,0.892857,0.714286,0.178571
ledger_failure,augmented_exact_k,0.25,0.25,low,0.254402,0.416667,0.0,0.416667,1.0,0.333333,0.666667
ledger_failure,augmented_exact_k,0.25,0.25,medium,0.436588,0.0,0.0,0.0,1.0,0.875,0.125
