mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,mean_support_overlap,mean_frontier_overlap,mean_orientation_overlap,mean_ledger_overlap,mean_causal_past_overlap,mean_bdg_kernel_overlap,mean_firewall_overlap
ledger_failure,at_least_k,0.0,0.25,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.25,2,430,0.435563,0.435563,0.0,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658
ledger_failure,at_least_k,0.0,0.25,3,476,0.423733,0.423733,0.0,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298
ledger_failure,at_least_k,0.0,0.25,4,440,0.420024,0.420024,0.0,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683
ledger_failure,at_least_k,0.0,0.5,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.5,2,430,0.435563,0.435563,0.0,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658
ledger_failure,at_least_k,0.0,0.5,3,476,0.565849,0.565849,0.0,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274
ledger_failure,at_least_k,0.0,0.5,4,440,0.508639,0.508639,0.0,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466
ledger_failure,at_least_k,0.0,0.75,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.75,2,430,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.75,3,476,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.75,4,440,0.649869,0.649869,0.0,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005
ledger_failure,at_least_k,0.0,1.0,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,1.0,2,430,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,1.0,3,476,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,1.0,4,440,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.25,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.25,2,430,0.435563,0.435563,0.134884,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658
ledger_failure,at_least_k,0.25,0.25,3,476,0.423733,0.423733,0.136555,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298
ledger_failure,at_least_k,0.25,0.25,4,440,0.420024,0.420024,0.168182,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683
ledger_failure,at_least_k,0.25,0.5,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.5,2,430,0.435563,0.435563,0.134884,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658
ledger_failure,at_least_k,0.25,0.5,3,476,0.565849,0.565849,0.086134,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274
ledger_failure,at_least_k,0.25,0.5,4,440,0.508639,0.508639,0.104545,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466
ledger_failure,at_least_k,0.25,0.75,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.75,2,430,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.75,3,476,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.75,4,440,0.649869,0.649869,0.075,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005
ledger_failure,at_least_k,0.25,1.0,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,1.0,2,430,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,1.0,3,476,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,1.0,4,440,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.25,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.25,2,430,0.435563,0.435563,0.25814,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658
ledger_failure,at_least_k,0.5,0.25,3,476,0.423733,0.423733,0.287815,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298
ledger_failure,at_least_k,0.5,0.25,4,440,0.420024,0.420024,0.272727,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683
ledger_failure,at_least_k,0.5,0.5,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.5,2,430,0.435563,0.435563,0.25814,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658
ledger_failure,at_least_k,0.5,0.5,3,476,0.565849,0.565849,0.168067,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274
ledger_failure,at_least_k,0.5,0.5,4,440,0.508639,0.508639,0.243182,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466
ledger_failure,at_least_k,0.5,0.75,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.75,2,430,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.75,3,476,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.75,4,440,0.649869,0.649869,0.172727,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005
ledger_failure,at_least_k,0.5,1.0,1,1054,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,1.0,2,430,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
