artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-MOTIF-NATIVE-CERT-COMPONENTS-LEAN-v1-0,RA_MotifNativeCertificateComponents.lean,lean,source_level_pending_compile,formal_source,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/lean/RA_MotifNativeCertificateComponents.lean,d67366fdd7e5ee4e4b3de948ea51315044c921d8cfd6d047cd5a2cfb431c9152,,lean/RA_MotifNativeCertificateComponents.lean,Defines component-level native certificate contexts and refinement theorems.,active-schema proposal; apply manually,lean/RA_MotifNativeCertificateComponents.lean,formalization_module
ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,python,validated_canonical_analysis,analysis_source,RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-ANCHOR-002;RA-SIM-NATIVE-CERT-ANCHOR-003,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/analysis/ra_native_certificate_anchoring.py,a394fd101be2f6fe8ddb47dd7cb47f579843bb2951d0e10654c5a12b8ab0b132,,analysis/ra_native_certificate_anchoring.py,Analysis-only v1.0 anchoring module.,active-schema proposal; apply manually,analysis/ra_native_certificate_anchoring.py,analysis_module
ART-SIM-NATIVE-CERT-ANCHOR-RUNSCRIPT-v1-0,run_native_certificate_anchoring_v1_0.py,python,validated_canonical_analysis,run_script,RA-SIM-NATIVE-CERT-ANCHOR-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/scripts/run_native_certificate_anchoring_v1_0.py,7219588d29255acf5f7b4fb5144479e50da3ab7e41a58eaf870bbbde10a15a61,,scripts/run_native_certificate_anchoring_v1_0.py,CLI wrapper for v1.0 anchoring analysis.,active-schema proposal; apply manually,scripts/run_native_certificate_anchoring_v1_0.py,run_script
ART-SIM-NATIVE-CERT-ANCHOR-README-v1-0,README_RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026.md,md,packet_doc,packet_provenance,RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-ANCHOR-002;RA-SIM-NATIVE-CERT-ANCHOR-003,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026.md,42d3ca19f06c4612fbec81c62a3e3daccadb38cdacf8ceaab07d8b31a9300adc,,README_RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026.md,Packet README and usage.,active-schema proposal; apply manually,README_RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026.md,packet_doc
ART-SIM-NATIVE-CERT-ANCHOR-REPORT-v1-0,RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,md,packet_report,formal_bridge_report,RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-ANCHOR-002;RA-SIM-NATIVE-CERT-ANCHOR-003;RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,4fb320197f5bdca83a730baad718485e8ffa45337976a22c6112eed984c62454,,reports/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,v1.0 report.,active-schema proposal; apply manually,reports/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,formal_bridge_report
ART-SIM-NATIVE-CERT-ANCHOR-BRIDGE-v1-0,simulator_to_lean_native_certificate_components_v1_0.md,md,packet_bridge,bridge_mapping,RA-MOTIF-NATIVE-CERT-COMPONENTS-001;RA-SIM-NATIVE-CERT-ANCHOR-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/bridge/simulator_to_lean_native_certificate_components_v1_0.md,73642918283e6718cd2ab6c7265669604d8e5572b8b2ed5d7b53a542ed77f14e,,bridge/simulator_to_lean_native_certificate_components_v1_0.md,Simulator-to-Lean mapping for component surfaces.,active-schema proposal; apply manually,bridge/simulator_to_lean_native_certificate_components_v1_0.md,bridge_mapping
ART-SIM-NATIVE-CERT-ANCHOR-VALIDATION-v1-0,validation_unittest_v1_0.log,log,validated_canonical_analysis,validation_log,RA-SIM-NATIVE-CERT-ANCHOR-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/validation_unittest_v1_0.log,aa2e215dbf7fab65723494fc0e72736d05563a77ce42cf1b6a046e6bd3970e9a,,reports/validation_unittest_v1_0.log,Unit test validation log.,active-schema proposal; apply manually,reports/validation_unittest_v1_0.log,validation_log
ART-SIM-NATIVE-CERT-ANCHOR-SOURCE-AUDIT-v1-0,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,log,source_audit_clean,source_audit,RA-MOTIF-NATIVE-CERT-COMPONENTS-001;RA-SIM-NATIVE-CERT-ANCHOR-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,e1cacc1bcee35ab6b756fcee7f746ff8f5f5b3fea75f1990e8cd2f034c1114ed,,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,Source audit log.,active-schema proposal; apply manually,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,source_audit
ART-SIM-NATIVE-CERT-ANCHOR-COMPONENTS-v1-0,ra_native_certificate_components_v1_0.csv,csv,canonical_analysis_output,analysis_output,RA-SIM-NATIVE-CERT-ANCHOR-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/outputs/ra_native_certificate_components_v1_0.csv,de2aec4b27c3707b1cc98b911eebde47b98d6d24824cb0531c09ffd50f797643,,outputs/ra_native_certificate_components_v1_0.csv,Component-level native certificate overlap surfaces.,active-schema proposal; apply manually,outputs/ra_native_certificate_components_v1_0.csv,analysis_output
ART-SIM-NATIVE-CERT-ANCHOR-PROFILE-v1-0,ra_native_overlap_profile_v1_0.csv,csv,canonical_analysis_output,analysis_output,RA-SIM-NATIVE-CERT-ANCHOR-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/outputs/ra_native_overlap_profile_v1_0.csv,9ff205484246aaddce53aecdfff6df840a14784c327e04fbcb23ff75e8d0daf7,,outputs/ra_native_overlap_profile_v1_0.csv,Native overlap profile table.,active-schema proposal; apply manually,outputs/ra_native_overlap_profile_v1_0.csv,analysis_output
ART-SIM-NATIVE-CERT-ANCHOR-ATTRIBUTION-v1-0,ra_component_attribution_by_mode_v1_0.csv,csv,canonical_analysis_output,analysis_output,RA-SIM-NATIVE-CERT-ANCHOR-001,docs/RA_KB/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/outputs/ra_component_attribution_by_mode_v1_0.csv,3580d32264046d284399ab53fa12fc221f43c15f127ad4aa5c9c75e029d86bc1,,outputs/ra_component_attribution_by_mode_v1_0.csv,Component attribution by mode.,active-schema proposal; apply manually,outputs/ra_component_attribution_by_mode_v1_0.csv,analysis_output
