artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-MOTIF-NATIVE-CERT-COMPONENTS-LEAN-v1-0,RA_MotifNativeCertificateComponents.lean,lean,lean_build_confirmed_no_sorry_no_admit_no_axiom,formalization_module,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,src/RA_AQFT/RA_MotifNativeCertificateComponents.lean,d67366fdd7e5ee4e4b3de948ea51315044c921d8cfd6d047cd5a2cfb431c9152,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_MotifNativeCertificateComponents.lean,Tier-B Lean module; lake build closed 8276/8276 jobs ~109s with no sorry/admit/axiom. Installed SHA matches packet original (no edits required).,active RAKB v0.5 14-column artifact upsert,src/RA_AQFT/RA_MotifNativeCertificateComponents.lean,formalization_module
ART-MOTIF-NATIVE-CERT-COMPONENTS-LAKEFILE-PATCH-v1-0,patch_lakefile_add_RA_MotifNativeCertificateComponents.diff,diff,generated_optional_patch,lakefile_patch,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/patches/patch_lakefile_add_RA_MotifNativeCertificateComponents.diff,2de636f1203b7ad57ce085ba82beadc95eb9950f13daf8eb7d782e7fb929e7ce,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/patches/patch_lakefile_add_RA_MotifNativeCertificateComponents.diff,Diff fragment; not applied via patch tool. Lakefile entry inserted manually with own comment block (per CLAUDE.md mid-comment-block fix).,active RAKB v0.5 14-column artifact upsert,patches/patch_lakefile_add_RA_MotifNativeCertificateComponents.diff,lakefile_patch
ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-ANCHOR-002;RA-SIM-NATIVE-CERT-ANCHOR-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/analysis/ra_native_certificate_anchoring.py,a394fd101be2f6fe8ddb47dd7cb47f579843bb2951d0e10654c5a12b8ab0b132,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/analysis/ra_native_certificate_anchoring.py,Pure-analysis layer over v0.9 + v0.9.2; installed SHA matches packet original.,active RAKB v0.5 14-column artifact upsert,analysis/ra_native_certificate_anchoring.py,analysis_source
ART-SIM-NATIVE-CERT-ANCHOR-RUNSCRIPT-v1-0,run_native_certificate_anchoring_v1_0.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-CERT-ANCHOR-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/scripts/run_native_certificate_anchoring_v1_0.py,7219588d29255acf5f7b4fb5144479e50da3ab7e41a58eaf870bbbde10a15a61,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/scripts/run_native_certificate_anchoring_v1_0.py,CLI wrapper for v1.0 anchoring analysis.,active RAKB v0.5 14-column artifact upsert,scripts/run_native_certificate_anchoring_v1_0.py,analysis_source
ART-SIM-NATIVE-CERT-ANCHOR-REPORT-v1-0,RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,md,canonical_run_confirmed,formal_bridge_report,RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-ANCHOR-002;RA-SIM-NATIVE-CERT-ANCHOR-003;RA-MOTIF-NATIVE-CERT-COMPONENTS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,4fb320197f5bdca83a730baad718485e8ffa45337976a22c6112eed984c62454,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,v1.0 packet narrative report.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,formal_bridge_report
ART-SIM-NATIVE-CERT-ANCHOR-BRIDGE-v1-0,simulator_to_lean_native_certificate_components_v1_0.md,md,canonical_run_confirmed,bridge_mapping,RA-MOTIF-NATIVE-CERT-COMPONENTS-001;RA-SIM-NATIVE-CERT-ANCHOR-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/bridge/simulator_to_lean_native_certificate_components_v1_0.md,73642918283e6718cd2ab6c7265669604d8e5572b8b2ed5d7b53a542ed77f14e,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/bridge/simulator_to_lean_native_certificate_components_v1_0.md,Simulator-to-Lean mapping for component witness surfaces.,active RAKB v0.5 14-column artifact upsert,bridge/simulator_to_lean_native_certificate_components_v1_0.md,bridge_mapping
ART-SIM-NATIVE-CERT-ANCHOR-VALIDATION-v1-0,validation_unittest_v1_0.log,log,canonical_run_confirmed,validation_log,RA-SIM-NATIVE-CERT-ANCHOR-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/validation_unittest_v1_0.log,aa2e215dbf7fab65723494fc0e72736d05563a77ce42cf1b6a046e6bd3970e9a,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/validation_unittest_v1_0.log,3 unit tests covering end_to_end_outputs / missing_required_files_raises / primary_and_guardrail_roles. Re-confirmed locally on 2026-05-05.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v1_0.log,validation_log
ART-SIM-NATIVE-CERT-ANCHOR-SOURCE-AUDIT-v1-0,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,log,generated_source_audit,source_audit,RA-MOTIF-NATIVE-CERT-COMPONENTS-001;RA-SIM-NATIVE-CERT-ANCHOR-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,e1cacc1bcee35ab6b756fcee7f746ff8f5f5b3fea75f1990e8cd2f034c1114ed,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,Source audit log for the packet.,active RAKB v0.5 14-column artifact upsert,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,source_audit
ART-SIM-NATIVE-CERT-ANCHOR-COMPONENTS-CSV-v1-0,ra_native_certificate_components_v1_0.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-ANCHOR-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/outputs/ra_native_certificate_components_v1_0.csv,1a440fddf882236d44b32517037d6ea9d4b1b2a4a76d81989d0c51c1ba981b96,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/outputs/ra_native_certificate_components_v1_0.csv,Per-row component-level overlap surfaces (480 rows; 7 component fields per row).,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_certificate_components_v1_0.csv,analysis_output
ART-SIM-NATIVE-CERT-ANCHOR-PROFILE-v1-0,ra_native_overlap_profile_v1_0.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-CERT-ANCHOR-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/outputs/ra_native_overlap_profile_v1_0.csv,edb341e783ebfa9b89f889eb0aea4fe93a0fbd91077a0c89df6424bd45da68a6,15605a13369af311768dc072a0954a094aa3e9bb,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_May05_2026/outputs/ra_native_overlap_profile_v1_0.csv,Native-overlap profile table aggregated by mode/family_semantics/native_overlap_bin.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_overlap_profile_v1_0.csv,analysis_output
