mode,family_semantics,support_frontier_bin,rows,samples,orientation_bin_count_within_fixed_support_frontier,orientation_bins,ledger_bin_count_within_fixed_support_frontier,ledger_bins,orientation_decoupled_within_stratum,ledger_decoupled_within_stratum,mean_rescue_rate
ledger_failure,at_least_k,high,45,32340,1,high,1,high,False,False,0.0
ledger_failure,at_least_k,low,20,8880,1,low,1,low,False,False,0.1407658698198198
ledger_failure,at_least_k,medium,15,6780,1,medium,1,medium,False,False,0.1047196442477876
ledger_failure,augmented_exact_k,high,45,32340,1,high,1,high,False,False,0.0
ledger_failure,augmented_exact_k,low,25,11080,1,low,1,low,False,False,0.14666074729241876
ledger_failure,augmented_exact_k,medium,10,4580,1,medium,1,medium,False,False,0.0834059886462882
orientation_degradation,at_least_k,high,45,32340,1,high,1,high,False,False,0.0
orientation_degradation,at_least_k,low,20,8880,1,low,1,low,False,False,0.13918927837837838
orientation_degradation,at_least_k,medium,15,6780,1,medium,1,medium,False,False,0.1113569179941003
orientation_degradation,augmented_exact_k,high,45,32340,1,high,1,high,False,False,0.0
orientation_degradation,augmented_exact_k,low,25,11080,1,low,1,low,False,False,0.1415163451263538
orientation_degradation,augmented_exact_k,medium,10,4580,1,medium,1,medium,False,False,0.09388647685589518
selector_stress,at_least_k,high,45,32340,1,high,1,high,False,False,0.0
selector_stress,at_least_k,low,20,8880,1,low,1,low,False,False,0.0
selector_stress,at_least_k,medium,15,6780,1,medium,1,medium,False,False,0.0
selector_stress,augmented_exact_k,high,45,32340,1,high,1,high,False,False,0.0
selector_stress,augmented_exact_k,low,25,11080,1,low,1,low,False,False,0.0
selector_stress,augmented_exact_k,medium,10,4580,1,medium,1,medium,False,False,0.0
