artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-NATIVE-COMPONENT-DECOUPLE-SOURCE-v1-1,ra_native_component_decoupling.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/analysis/ra_native_component_decoupling.py,b69e0b52410540af9179ff5a70fdbf11421add13a22b744bb0cf3e8e7208644f,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/analysis/ra_native_component_decoupling.py,Installed SHA differs from packet original due to a 1e-12 tolerance fix in component_partial_correlation (lines 182-187). The packet's own test test_partial_correlation_has_no_orientation_variation_when_confounded explicitly required this behavior; numpy.linalg.lstsq returns ~1e-17 residuals when columns are linearly dependent rather than exact zero. All 5 unit tests pass post-fix.,active RAKB v0.5 14-column artifact upsert,analysis/ra_native_component_decoupling.py,analysis_source
ART-SIM-NATIVE-COMPONENT-DECOUPLE-RUNSCRIPT-v1-1,run_native_component_decoupling_v1_1.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/scripts/run_native_component_decoupling_v1_1.py,a25a76bb6750f2148804b488ba0845a5b9b0f109a48931d832b435c190616011,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/scripts/run_native_component_decoupling_v1_1.py,CLI wrapper for v1.1 decoupling audit; installed SHA matches packet original.,active RAKB v0.5 14-column artifact upsert,scripts/run_native_component_decoupling_v1_1.py,analysis_source
ART-SIM-NATIVE-COMPONENT-DECOUPLE-REPORT-v1-1,RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_Report_May05_2026.md,md,canonical_run_confirmed,formal_bridge_report,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_Report_May05_2026.md,2838a46bba90354b2c2710e5e5e045a16d06d6f150f9a6dc1b481086bcfea560,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_Report_May05_2026.md,Packet narrative report.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_Report_May05_2026.md,formal_bridge_report
ART-SIM-NATIVE-COMPONENT-DECOUPLE-BRIDGE-v1-1,simulator_to_rakb_native_component_decoupling_v1_1.md,md,canonical_run_confirmed,bridge_mapping,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/bridge/simulator_to_rakb_native_component_decoupling_v1_1.md,56e39528832fbde39ce8bec69d587a8e8639caa7146fd486d85d1c51f42a79b5,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/bridge/simulator_to_rakb_native_component_decoupling_v1_1.md,Simulator-to-RAKB mapping for component decoupling diagnostics.,active RAKB v0.5 14-column artifact upsert,bridge/simulator_to_rakb_native_component_decoupling_v1_1.md,bridge_mapping
ART-SIM-NATIVE-COMPONENT-DECOUPLE-VALIDATION-v1-1,validation_unittest_v1_1.log,log,canonical_run_confirmed,validation_log,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/reports/validation_unittest_v1_1.log,fc5c30b64a373fdedf0ee11612435a4bb1fd374ad2f81763cd30a2aa72171c55,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/reports/validation_unittest_v1_1.log,5 unit tests covering confounded-triplet detection / decoupled detection / specificity flagging / partial-correlation confounding / end-to-end. All pass post tolerance fix; the partial-correlation test was the one that originally caught the strict-equality bug.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v1_1.log,validation_log
ART-SIM-NATIVE-COMPONENT-DECOUPLE-SOURCE-AUDIT-v1-1,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_1_May05_2026.log,log,generated_source_audit,source_audit,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_1_May05_2026.log,e1cacc1bcee35ab6b756fcee7f746ff8f5f5b3fea75f1990e8cd2f034c1114ed,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_1_May05_2026.log,Source audit log for the packet.,active RAKB v0.5 14-column artifact upsert,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_1_May05_2026.log,source_audit
ART-SIM-NATIVE-COMPONENT-DECOUPLE-AUDIT-CSV-v1-1,ra_component_decoupling_audit_v1_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_component_decoupling_audit_v1_1.csv,bd407619f571469f5d83a7954170c9a2eb4a177b159a94557a9a367970a4a0ec,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_component_decoupling_audit_v1_1.csv,"Component-pair decoupling audit (6 rows: 5 pairs + triplet status); identifies orientation_confounded_with_support_frontier as headline finding.",active RAKB v0.5 14-column artifact upsert,outputs/ra_component_decoupling_audit_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-SPECIFICITY-v1-1,ra_orientation_specificity_by_mode_v1_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_orientation_specificity_by_mode_v1_1.csv,a96bea14f8264dfe2de08a8750e1aaeaf112f6ccaf668970efed57758bc35c08,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_orientation_specificity_by_mode_v1_1.csv,"Per-mode/semantics specificity table (6 rows); ledger weak_or_tied_specificity (margin ~0.046), orientation confounded.",active RAKB v0.5 14-column artifact upsert,outputs/ra_orientation_specificity_by_mode_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-PARTIAL-CORR-v1-1,ra_component_partial_correlation_v1_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_component_partial_correlation_v1_1.csv,403babe9ef0a304804b430b911cacd3351a632f8df84db8ff624dfeaf85b6007,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_component_partial_correlation_v1_1.csv,"OLS partial correlation table; orientation_overlap rows correctly status=no_independent_component_variation_after_support_frontier_control (post tolerance fix).",active RAKB v0.5 14-column artifact upsert,outputs/ra_component_partial_correlation_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-MATCHED-STRATA-v1-1,ra_matched_overlap_strata_v1_1.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_matched_overlap_strata_v1_1.csv,1cc6f38fc514216a9acf24d5826c29f45e34b87f8a4b6c82ffd2921277ef6f83,b8d7e769a3bd545d044b26918685dbdfc253ec18,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_May05_2026/outputs/ra_matched_overlap_strata_v1_1.csv,Matched-strata bin variation table; matched_orientation_variation_available=False at canonical scale.,active RAKB v0.5 14-column artifact upsert,outputs/ra_matched_overlap_strata_v1_1.csv,analysis_output
