mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,orientation_link_overlap,orientation_link_bin,support_frontier_overlap,support_frontier_bin,orientation_link_count_proxy,old_orientation_triplet_diff,orientation_surface_status,orientation_surface_adjusted_rescue_rate,orientation_specific_sensitivity_proxy,ledger_specific_sensitivity_proxy
ledger_failure,at_least_k,0.0,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2862968497176232,low,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.1070554725423565,0.0
ledger_failure,at_least_k,0.0,0.25,2,430,0.435563,0.435563,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.603523932111337,medium,0.333333,low,1,0.0,distinct_orientation_link_surface,0.0070036199999999995,0.05947141018329944,0.35018099999999996
ledger_failure,at_least_k,0.0,0.25,3,476,0.423733,0.423733,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.4669691047311987,medium,0.333333,low,2,0.0,distinct_orientation_link_surface,0.007619419999999999,0.0799546342903202,0.38097099999999995
ledger_failure,at_least_k,0.0,0.25,4,440,0.420024,0.420024,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.21571599732208424,low,0.333333,low,7,0.0,distinct_orientation_link_surface,0.00771364,0.11764260040168736,0.38568199999999997
ledger_failure,at_least_k,0.0,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4364633224962326,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.0845305016255651,0.0
ledger_failure,at_least_k,0.0,0.5,2,430,0.435563,0.435563,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.7108161819376426,high,0.333333,low,2,0.0,distinct_orientation_link_surface,0.0070036199999999995,0.04337757270935361,0.35018099999999996
ledger_failure,at_least_k,0.0,0.5,3,476,0.565849,0.565849,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.27573464176025647,low,0.5,medium,6,0.0,distinct_orientation_link_surface,0.00566676,0.10863980373596153,0.283338
ledger_failure,at_least_k,0.0,0.5,4,440,0.508639,0.508639,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.49495530649876973,medium,0.436364,medium,5,0.0,distinct_orientation_link_surface,0.006431039999999999,0.07575670402518454,0.32155199999999995
ledger_failure,at_least_k,0.0,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.568743743224236,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.06468843851636459,0.0
ledger_failure,at_least_k,0.0,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.534539803533573,medium,1.0,high,7,0.0,distinct_orientation_link_surface,0.0,0.06981902946996404,0.0
ledger_failure,at_least_k,0.0,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6593246928156847,medium,1.0,high,3,0.0,distinct_orientation_link_surface,0.0,0.05110129607764729,0.0
ledger_failure,at_least_k,0.0,0.75,4,440,0.649869,0.649869,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.8430408047395397,high,0.6,medium,3,0.0,distinct_orientation_link_surface,0.004480440000000001,0.023543879289069047,0.22402200000000005
ledger_failure,at_least_k,0.0,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6232588890007165,medium,1.0,high,3,0.0,distinct_orientation_link_surface,0.0,0.05651116664989253,0.0
ledger_failure,at_least_k,0.0,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2922819312188225,low,1.0,high,3,0.0,distinct_orientation_link_surface,0.0,0.10615771031717662,0.0
ledger_failure,at_least_k,0.0,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6383867393104726,medium,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.0542419891034291,0.0
ledger_failure,at_least_k,0.0,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3447595391741397,medium,1.0,high,3,0.0,distinct_orientation_link_surface,0.0,0.09828606912387904,0.0
ledger_failure,at_least_k,0.25,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29487815682999063,low,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.1057682764755014,0.0
ledger_failure,at_least_k,0.25,0.25,2,430,0.435563,0.435563,0.134884,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.697619731010948,high,0.333333,low,1,0.0,distinct_orientation_link_surface,0.043772624999999996,0.0453570403483578,0.35018099999999996
ledger_failure,at_least_k,0.25,0.25,3,476,0.423733,0.423733,0.136555,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.3384259959593111,medium,0.333333,low,1,0.0,distinct_orientation_link_surface,0.047621374999999994,0.09923610060610333,0.38097099999999995
ledger_failure,at_least_k,0.25,0.25,4,440,0.420024,0.420024,0.168182,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.7194785600396139,high,0.333333,low,3,0.0,distinct_orientation_link_surface,0.048210249999999996,0.04207821599405792,0.38568199999999997
ledger_failure,at_least_k,0.25,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714978550928409,medium,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.06427532173607386,0.0
