mode,family_semantics,rank,component,mean_overlap
ledger_failure,at_least_k,1,ledger_overlap,0.8565045625
ledger_failure,at_least_k,2,firewall_overlap,0.7950480625
ledger_failure,at_least_k,3,causal_past_overlap,0.7930510000000001
ledger_failure,at_least_k,4,bdg_kernel_overlap,0.7874658125
ledger_failure,at_least_k,5,support_overlap,0.7418560000000001
ledger_failure,at_least_k,6,frontier_overlap,0.7418560000000001
ledger_failure,at_least_k,7,orientation_overlap,0.7418560000000001
ledger_failure,at_least_k,8,native_orientation_link_overlap,0.47657993207094007
ledger_failure,augmented_exact_k,1,ledger_overlap,0.8385558750000002
ledger_failure,augmented_exact_k,2,firewall_overlap,0.7751506874999999
ledger_failure,augmented_exact_k,3,causal_past_overlap,0.7677907500000001
ledger_failure,augmented_exact_k,4,bdg_kernel_overlap,0.7623538749999998
ledger_failure,augmented_exact_k,5,support_overlap,0.710416625
ledger_failure,augmented_exact_k,6,frontier_overlap,0.710416625
ledger_failure,augmented_exact_k,7,orientation_overlap,0.710416625
ledger_failure,augmented_exact_k,8,native_orientation_link_overlap,0.49621185565655024
orientation_degradation,at_least_k,1,ledger_overlap,0.8565045625
orientation_degradation,at_least_k,2,firewall_overlap,0.7950480625
orientation_degradation,at_least_k,3,causal_past_overlap,0.7930510000000001
orientation_degradation,at_least_k,4,bdg_kernel_overlap,0.7874658125
orientation_degradation,at_least_k,5,support_overlap,0.7418560000000001
orientation_degradation,at_least_k,6,frontier_overlap,0.7418560000000001
orientation_degradation,at_least_k,7,orientation_overlap,0.7418560000000001
orientation_degradation,at_least_k,8,native_orientation_link_overlap,0.4847538090457422
orientation_degradation,augmented_exact_k,1,ledger_overlap,0.8385558750000002
orientation_degradation,augmented_exact_k,2,firewall_overlap,0.7751506874999999
orientation_degradation,augmented_exact_k,3,causal_past_overlap,0.7677907500000001
orientation_degradation,augmented_exact_k,4,bdg_kernel_overlap,0.7623538749999998
orientation_degradation,augmented_exact_k,5,support_overlap,0.710416625
orientation_degradation,augmented_exact_k,6,frontier_overlap,0.710416625
orientation_degradation,augmented_exact_k,7,orientation_overlap,0.710416625
orientation_degradation,augmented_exact_k,8,native_orientation_link_overlap,0.49347832762407295
selector_stress,at_least_k,1,ledger_overlap,0.8565045625
selector_stress,at_least_k,2,firewall_overlap,0.7950480625
selector_stress,at_least_k,3,causal_past_overlap,0.7930510000000001
selector_stress,at_least_k,4,bdg_kernel_overlap,0.7874658125
selector_stress,at_least_k,5,support_overlap,0.7418560000000001
selector_stress,at_least_k,6,frontier_overlap,0.7418560000000001
selector_stress,at_least_k,7,orientation_overlap,0.7418560000000001
selector_stress,at_least_k,8,native_orientation_link_overlap,0.4117963667829823
selector_stress,augmented_exact_k,1,ledger_overlap,0.8385558750000002
selector_stress,augmented_exact_k,2,firewall_overlap,0.7751506874999999
selector_stress,augmented_exact_k,3,causal_past_overlap,0.7677907500000001
selector_stress,augmented_exact_k,4,bdg_kernel_overlap,0.7623538749999998
selector_stress,augmented_exact_k,5,support_overlap,0.710416625
selector_stress,augmented_exact_k,6,frontier_overlap,0.710416625
selector_stress,augmented_exact_k,7,orientation_overlap,0.710416625
selector_stress,augmented_exact_k,8,native_orientation_link_overlap,0.4581413554166006
