mode,family_semantics,support_frontier_bin,orientation_bins,bin_count,rescue_gap_low_or_med_minus_high,matched_stratum_status
ledger_failure,at_least_k,high,high;low;medium,3,0.0,matched_native_orientation_variation_available
ledger_failure,at_least_k,low,medium,1,,insufficient_orientation_variation
ledger_failure,at_least_k,medium,medium,1,,insufficient_orientation_variation
ledger_failure,augmented_exact_k,high,low;medium,2,0.0,matched_native_orientation_variation_available
ledger_failure,augmented_exact_k,low,high;medium,2,-0.043382396969696965,matched_native_orientation_variation_available
ledger_failure,augmented_exact_k,medium,high;medium,2,0.05703240000000001,matched_native_orientation_variation_available
orientation_degradation,at_least_k,high,high;low;medium,3,0.13415573441585682,matched_native_orientation_variation_available
orientation_degradation,at_least_k,low,high;low;medium,3,0.09766488829167835,matched_native_orientation_variation_available
orientation_degradation,at_least_k,medium,high;low;medium,3,0.13301023778993987,matched_native_orientation_variation_available
orientation_degradation,augmented_exact_k,high,high;low;medium,3,0.13119783556634487,matched_native_orientation_variation_available
orientation_degradation,augmented_exact_k,low,high;low;medium,3,0.14241391743193033,matched_native_orientation_variation_available
orientation_degradation,augmented_exact_k,medium,high;low;medium,3,0.2163147177235954,matched_native_orientation_variation_available
selector_stress,at_least_k,high,low;medium,2,0.0,matched_native_orientation_variation_available
selector_stress,at_least_k,low,medium,1,,insufficient_orientation_variation
selector_stress,at_least_k,medium,medium,1,,insufficient_orientation_variation
selector_stress,augmented_exact_k,high,low;medium,2,0.0,matched_native_orientation_variation_available
selector_stress,augmented_exact_k,low,medium,1,,insufficient_orientation_variation
selector_stress,augmented_exact_k,medium,low;medium,2,0.0,matched_native_orientation_variation_available
