module,declaration,role,tags,weight,source_file,line
RA_CausalOrientation_Core,no_reverse_precedence,orientation_link,forward;orientation;precedence;reverse,1.7,RA_CausalOrientation_Core.lean,21
RA_CausalOrientation_Core,one_way_precedence,orientation_link,bdg;forward;orientation;precedence;reverse;stable;winding,2.05,RA_CausalOrientation_Core.lean,26
RA_CausalOrientation_Core,reverse_winding_filtered,orientation_link,bdg;forward;orientation;reverse;stable;symmetric;winding,2.0,RA_CausalOrientation_Core.lean,30
RA_CausalOrientation_Core,forward_winding_stable,orientation_link,bdg;forward;orientation;stable;symmetric;winding,1.9,RA_CausalOrientation_Core.lean,33
RA_CausalOrientation_Core,fixed_point_orientation_symmetric,orientation_link,bdg;orientation;symmetric,1.5,RA_CausalOrientation_Core.lean,36
RA_CausalOrientation_Core,orientation_one_way,orientation_link,bdg;orientation,1.35,RA_CausalOrientation_Core.lean,40
RA_CausalOrientation_Core,motif_depth2_profiles,orientation_link,bdg;ledger;orientation,1.55,RA_CausalOrientation_Core.lean,48
RA_CausalOrientation_Core,symmetric_branch_depth2_preserved_all,orientation_link,bdg;closure;ledger;orientation;stable;symmetric,1.9,RA_CausalOrientation_Core.lean,58
RA_CausalOrientation_Core,chain_escape_depth2_profile,orientation_link,asymmetric;bdg;ledger;orientation;symmetric,1.85,RA_CausalOrientation_Core.lean,65
RA_CausalOrientation_Core,asymmetric_branch_replica_depth2_profile,orientation_link,asymmetric;bdg;closure;ledger;orientation;symmetric,1.95,RA_CausalOrientation_Core.lean,69
RA_CausalOrientation_Core,asymmetric_branch_extensions_classified,orientation_link,asymmetric;bdg;closure;ledger;orientation;symmetric,1.95,RA_CausalOrientation_Core.lean,73
RA_CausalOrientation_Core,chain_depth2_fixed,orientation_link,bdg;ledger;orientation,1.55,RA_CausalOrientation_Core.lean,79
RA_CausalOrientation_Core,orientation_and_depth2_ledger_core,orientation_link,bdg;ledger;orientation,1.55,RA_CausalOrientation_Core.lean,88
RA_D1_NativeLedgerOrientation,depth2_ledger_values,orientation_link,bdg;ledger;orientation;symmetric,1.7,RA_D1_NativeLedgerOrientation.lean,16
RA_D1_NativeLedgerOrientation,depth2_ledger_preserved_symmetric,orientation_link,asymmetric;bdg;closure;ledger;orientation;stable;symmetric,2.05,RA_D1_NativeLedgerOrientation.lean,24
RA_D1_NativeLedgerOrientation,escape_to_chain4_preserves_depth2,orientation_link,bdg;closure;ledger;orientation,1.65,RA_D1_NativeLedgerOrientation.lean,33
RA_D1_NativeLedgerOrientation,orientation_asymmetry,orientation_link,asymmetric;bdg;ledger;orientation;stable;symmetric,1.95,RA_D1_NativeLedgerOrientation.lean,43
RA_D1_NativeLedgerOrientation,unique_symmetric_stable_endpoint,orientation_link,bdg;ledger;orientation;stable;symmetric,1.8,RA_D1_NativeLedgerOrientation.lean,51
RA_D1_NativeClosure,extensionScore_branchS,closure_extension,closure,1.1,RA_D1_NativeClosure.lean,16
RA_D1_NativeClosure,extensionScore_branchA,closure_extension,closure,1.1,RA_D1_NativeClosure.lean,34
RA_D1_NativeClosure,extensionScore_transitionA,closure_extension,closure,1.1,RA_D1_NativeClosure.lean,52
RA_D1_NativeClosure,extensionScore_transitionS,closure_extension,closure,1.1,RA_D1_NativeClosure.lean,87
RA_D1_NativeClosure,single_step_extension_classified_symmetric,closure_extension,asymmetric;closure;symmetric,1.4,RA_D1_NativeClosure.lean,154
RA_D1_NativeClosure,single_step_extension_classified_asymmetric,closure_extension,asymmetric;closure;symmetric,1.4,RA_D1_NativeClosure.lean,159
RA_D1_NativeClosure,transition_state_extension_classified_asymmetric,closure_extension,asymmetric;closure;symmetric,1.4,RA_D1_NativeClosure.lean,167
RA_D1_NativeClosure,transition_state_extension_classified_symmetric,closure_extension,closure;symmetric,1.25,RA_D1_NativeClosure.lean,175
RA_D1_NativeClosure,closure_under_admissible_extension,closure_extension,closure,1.1,RA_D1_NativeClosure.lean,184
RA_D1_NativeClosure,boundary_case_score,closure_extension,bdg;closure,1.15,RA_D1_NativeClosure.lean,207
RA_D1_NativeClosure,boundary_case_threshold,closure_extension,bdg;closure;stable,1.25,RA_D1_NativeClosure.lean,212
RA_D1_NativeClosure,boundary_case_between_filter_and_stable,closure_extension,bdg;closure;stable,1.25,RA_D1_NativeClosure.lean,218
RA_D1_GraphCutCombinatorics,macroscopic_ledger_demand,ledger_orientation,ledger,1.2,RA_D1_GraphCutCombinatorics.lean,56
RA_D1_NativeConfinement,filter_block_event_symmetric,closure_extension,asymmetric;bdg;closure;symmetric,1.45,RA_D1_NativeConfinement.lean,16
RA_D1_NativeConfinement,asymmetric_step1_admissible,closure_extension,asymmetric;bdg;closure;symmetric,1.45,RA_D1_NativeConfinement.lean,22
RA_D1_NativeConfinement,filter_block_event_asymmetric,closure_extension,asymmetric;bdg;closure;symmetric,1.45,RA_D1_NativeConfinement.lean,27
RA_D1_NativeConfinement,motif_extension_path_symmetric,closure_extension,bdg;closure;symmetric,1.3,RA_D1_NativeConfinement.lean,32
RA_D1_NativeConfinement,motif_extension_path_asymmetric,closure_extension,asymmetric;bdg;closure;symmetric,1.45,RA_D1_NativeConfinement.lean,41
RA_D1_NativeConfinement,motif_converges_to_chain4_symmetric,native_supporting,asymmetric;bdg;stable;symmetric,1.45,RA_D1_NativeConfinement.lean,52
RA_D1_NativeConfinement,motif_converges_to_chain4_asymmetric,native_supporting,asymmetric;bdg;symmetric,1.35,RA_D1_NativeConfinement.lean,60
RA_D1_NativeConfinement,closure_length_symmetric,closure_extension,asymmetric;bdg;closure;symmetric,1.45,RA_D1_NativeConfinement.lean,69
RA_D1_NativeConfinement,closure_length_asymmetric,closure_extension,asymmetric;bdg;closure;symmetric,1.45,RA_D1_NativeConfinement.lean,72
RA_D1_NativeConfinement,finite_closure_length,closure_extension,asymmetric;bdg;closure;symmetric,1.45,RA_D1_NativeConfinement.lean,75
RA_D4_CausalFirewall,internal_core,severance_exposure,severance_exposure,1.1,RA_D4_CausalFirewall.lean,14
RA_D4_CausalFirewall,shielded_system,severance_exposure,severance_exposure,1.1,RA_D4_CausalFirewall.lean,24
RA_D4_CausalFirewall,causal_firewall_persistence,severance_exposure,bdg;severance_exposure,1.15,RA_D4_CausalFirewall.lean,36
RA_D4_CausalFirewall,unshielded_collapse,severance_exposure,bdg;severance_exposure;stable,1.25,RA_D4_CausalFirewall.lean,56
